program,label,n,share,cum_share,sol_quoted,example
CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C,Raydium CP,76,0.38,0.38,3,hkQJPAjvSTeKwb59iJCEgMkjH66LtsBrMZJHoKjNjiZJVogKtb4N71Emi4x2B5ZaFdAy5jGgaHaSPhsUrKu8gFB
pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,Pump.fun Amm,68,0.34,0.72,63,423JEyH5ERFdGNzxCKoEy1ShJRJ46LQCceVmHmnjeukrVCxQCqM79c3eWe8dx63BHeFNqhHgEEsc4soxmPXqAeYh
cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,Meteora DAMM v2,17,0.085,0.805,7,5ZbNgWiJH9GoYoV22Pmbw6BgEuJHxWz96MKwFPJHX8y1EHH5Ezj3FqqiGpjtaUUKU6AYbXhZffdgYYvYNZuQW81E
LanMV9sAd7wArD4vJFi2qDdfnVhFxYSUg6eADduJ3uj,Raydium Launchlab,12,0.06,0.865,1,3vzWr8fvcP6RK8WfibqMJ2oXCbsvXpP2QyGKYCP8nSS62rADRyaQ3CqcjXjis8gUvmwNzLeFLn9YiTXXRHeKmhUe
LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,Meteora DLMM,9,0.045,0.91,9,2mmvU6RA4CgjYZLhab9FndHrN7MuK2kHYFpBsYnAiPDEqYYG8CFHDrx7vRnUnuzrEmC7FdL7DWSf43cULeRSaRF1
CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,Raydium CLMM,8,0.04,0.95,0,3yW2tZKuqtNPRdbdiQHRyrQfJ3qtWCwFHs6dvnT4ExWcmqxT8X1hWApdSB5mARbqrXJFAHaSXPUcusTG3H1DMoxs
6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,Pump.fun,6,0.03,0.98,0,2aiRx4WJVK4HA1w8JtzrbrFoZ8bnTZ2da4A9duq1hYway9TdECMxer9yc6acTuNbbdq8zVJomPNLg84Pq16inFFi
dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,Dynamic Bonding Curve,2,0.01,0.99,1,3RUafJ2VeEqPenwgwKoYstPcw2KaQMME8fV1RHMftCZTFAWSQPxfpgrmhB5i52CU7Pke7VuyfFCjDHTeuz2HJHdJ
whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc,Whirlpool,1,0.005,0.995,1,4bXUNTLPQmygKunzG4cCLZAq7JacKLaw3es9kjnEfdXbbcUEgwvQsLDkbXGfiuyk9Xj8VZJa5c6ex4GXgEeM1Z2p
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,Raydium,1,0.005,1.0,1,4vPsRrt1cNtqxChbZFKDnDTTN85BweBn3cRSsRfVmjXvs4e1pg39S9cEaXei2XDDHi3JwF1benw4bDmfPCWGFLdn
