row_kind,task,source,remark,trades_7d,growth_30s_median,growth_60s_median,share_x2_30s,crowd_30s_median,dt8_share,dt8_lag_median_slots,n_dt8_checked,n_dt8_before_source,n_growth_30s,n_growth_60s,n_crowd_30s,no_growth_30s_reasons,no_crowd_reasons,buys_rate_missing,first_entries_lt2,multi_mint_skipped,n_signatures_window,tx_fetch_failed,scan_complete,error
source,BATCH-5,5opd5KBmodmoNuAThQ5cmXKbRxHbQDfomWGKAs3uEUP9,soby,2,1.66,1.6892,0.5,50,0.0,,2,0,2,2,1,,в окне 30 с 3124 транзакций > предела 1500: 1,2,1,0,113,0,True,
source,BATCH-3,BA3nKHc4DoSANRrx4FcCupExzs6cWzw1wkPpqjnqJaCN,AviFelman,8,1.3861,1.428,0.3333,57,0.0,,8,0,6,6,7,ликвидность пула снята до точки (58YmUEGwzhim): 1; история хранилища в окне не выкачана: 1,окно не выкачано целиком (> 10000 подписей): 1,0,0,0,142,0,True,
source,BATCH-3,Fvkc2thk1YcAASdR2gi8uf9n67JW9Dqqr9iRd99MDhoB,Brez,22,1.5668,1.3509,0.2,209,0.0,,22,0,5,6,5,история хранилища в окне не выкачана: 13; пул: неоднозначная котировка: 2 встречных счетов (EPjFWd): 2; ликвидность пула снята до точки (3rJce5qMWwMS): 1; пул: неоднозначная котировка: 3 встречных счетов (EPjFWd): 1,окно не выкачано целиком (> 10000 подписей): 16; в окне 30 с 3034 транзакций > предела 1500: 1,1,0,0,598,0,True,
source,BATCH-5,EC2f5DnHzuNRit1ExqghSifDbp1wgrzktsRRZCtU92MJ,Theo,18,1.26,1.2817,0.0667,61,0.0,,18,0,15,16,17,ликвидность пула снята до точки (58Tqw9vMHmS1): 1; ликвидность пула снята до точки (3EDWBXBFyxyM): 1; ликвидность пула снята до точки (2HqwBSUue6DB): 1,в окне 30 с 1967 транзакций > предела 1500: 1,3,0,0,377,0,True,
source,BATCH-3,4vER1GJQs73HtN9oYRswHZV4PSe2dvWQ8NLFoDhXeZjm,Bitman,7,1.1468,1.1603,0.0,20,0.0,,7,0,7,7,7,,,1,1,0,337,0,True,
source,BATCH-3,GAsnqm4XkNkPVgrAofNQ65jWf8f3tKCLHhE9ZqSy2AP1,Nach,>=2 (неполно),1.159,1.1173,0.0,88,0.0,,2,0,2,2,1,,в окне 30 с 2043 транзакций > предела 1500: 1,6,1,1,862,0,False,"BudgetExceeded: суточный потолок C2 100000: потрачено 99992, нужно ещё 100"
source,BATCH-3,9zZCjLr9xfXfp3qdqvPh6YeaEaagepz21khLhca69B18,Pasterniq,4,1.2792,1.3902,0.0,113.0,0.0,,4,0,3,3,2,история хранилища в окне не выкачана: 1,окно не выкачано целиком (> 10000 подписей): 2,0,1,0,177,0,True,
source,BATCH-3,DAejzMs5cUeCCENNvapy9KWFwzwegh7LvcgNkZ6hnf1y,fomopumpguy,7,1.1521,1.1539,0.0,68.5,0.0,,7,0,6,5,4,история хранилища в окне не выкачана: 1,в окне 30 с 2048 транзакций > предела 1500: 1; окно не выкачано целиком (> 10000 подписей): 1; в окне 30 с 1682 транзакций > предела 1500: 1,1,0,0,2040,0,True,
source,BATCH-3,4hwPamSooBr5JhxHdcEC21HoxN5HUwYR2hGucLPyZAi8,jg,26,1.4247,1.4187,0.0,113,0.0385,1,26,0,19,19,17,"история хранилища в окне не выкачана: 5; ликвидность пула снята до точки (2Bnc436CKXvd): 1; пул: неоднозначная котировка: 2 встречных счетов (EPjFWd, Es9vMF): 1",окно не выкачано целиком (> 10000 подписей): 5; в окне 30 с 2218 транзакций > предела 1500: 1; в окне 30 с 1582 транзакций > предела 1500: 1; в окне 30 с 2141 транзакций > предела 1500: 1; в окне 30 с 1778 транзакций > предела 1500: 1,4,2,0,393,0,True,
source,BATCH-5,HYh78tNpGBUcxoHgPU9v7VeP2wqSbkapuTzrfYHjfyLo,CardinalSaint,4,1.2457,1.2354,0.0,29,0.0,,4,0,3,3,3,история хранилища в окне не выкачана: 1,окно не выкачано целиком (> 10000 подписей): 1,2,0,0,400,0,True,
source,BATCH-5,H3en1XWQHfbNWjEDRnRFi6HKVkZG1P7twdAHTvnCnYE3,MaxHuh,11,1.2318,1.2053,0.0,22.0,0.0,,11,0,6,6,6,история хранилища в окне не выкачана: 4; пул: неоднозначная котировка: 2 встречных счетов (EPjFWd): 1,окно не выкачано целиком (> 10000 подписей): 4; в окне 30 с 1842 транзакций > предела 1500: 1,0,0,0,223,0,True,
source,BATCH-5,F5MYbjEATQFD6rxwdS2zXzEHBGuUhSGvJkUhLFAcr4hv,Omakase,>=43 (неполно),1.1096,1.1268,0.0,51,0.0,,43,0,34,36,33,история хранилища в окне не выкачана: 6; ликвидность пула снята до точки (2X7qQ3FkAqwM): 1; ликвидность пула снята до точки (3jWs5r19aXVo): 1; ликвидность пула снята до точки (3ZoD5qMUGTzd): 1,окно не выкачано целиком (> 10000 подписей): 7; в окне 30 с 2145 транзакций > предела 1500: 1; в окне 30 с 1572 транзакций > предела 1500: 1; в окне 30 с 2076 транзакций > предела 1500: 1,2,3,1,519,0,False,"BudgetExceeded: суточный потолок C2 100000: потрачено 99994, нужно ещё 100"
