task,source,remark,signature,slot,index_in_block,block_time_utc,mint,spend_sol_equiv,stable_usd_spent,rate_usd_per_sol,rate_source,pool_vault,pool_owner,quote_mint,split_route,price_0,price_30s,growth_30s,last_trade_is_source_30s,why_no_growth_30s,price_60s,growth_60s,last_trade_is_source_60s,why_no_growth_60s,crowd_30s,crowd_30s_copy_wallets,crowd_30s_rule2,why_no_crowd,pool_program,spot_after,impact_source,growth_after_30s,growth_after_60s,why_no_after,failed_same_block_tx,failed_same_block_wallets,why_no_failed,dt8,dt8_slot,dt8_lag_slots,dt8_index_in_block,dt8_before_source,dt8_sig,dt8_why,window_tx_30s,window_tx_60s,price_30s_sig,price_60s_sig,anchor_slot
BATCH-5,EC2f5DnHzuNRit1ExqghSifDbp1wgrzktsRRZCtU92MJ,Theo,hkQJPAjvSTeKwb59iJCEgMkjH66LtsBrMZJHoKjNjiZJVogKtb4N71Emi4x2B5ZaFdAy5jGgaHaSPhsUrKu8gFB,447999214,1003,2026-09-18T06:14:13Z,Atf7KaBLF257KQosBM2rCxhhdRfDtRNnpwmUH4bkrMMV,32.259338,3400.0,105.39583927104526,same_tx,ESCp5pV2ZhNNQj6RqmvrmgtqNod2FeaTgw94A2B4BeMc,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,HTmQz7My6MehV7bjhJ6jde8nDND1yvsz68d24LP7YgUQ,False,0.02069090865755681972660935795,0.03028485650885337462179774936,1.463679,False,,0.03114452607530815701135296280,1.505228,False,,32,0,0,,CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C,0.02418651833964990478691835341,1.168944,1.252138,1.287681,,0,0,,нет,,,,,,,44,78,f8rHWrbHM9iykE9cMevh8vU7ohLkSA5oPjgPfLXARC6wGxeGDoGoCHTZkCbZJd13YhDMPccR5nWh8YdVqymTbQx,2XcWa8yunB6QfoVc3pM2MwZ1hyjqawnn4AoH9XDNVHKt1k98xWdYbwXZ7ADYXVLncyLi951biKfZWdXvUKc81e3N,447999450
BATCH-5,EC2f5DnHzuNRit1ExqghSifDbp1wgrzktsRRZCtU92MJ,Theo,3NnPjwvKmXHBogzAK5weD4G6MrXEQHJsooncJTfkAK1LBT9GCgDq24Utqx6qeBMfNcyykvfrdK6N2pFt5Lf1UixG,448018496,1251,2026-09-18T07:39:40Z,AmBKmofV3uvYfaaFAYqwZZXhdQfU2neCHW2Tk3eaNAFk,6.135422,650.0,105.94218902235697,ref_pool:ATRsNG:s4DCexiLFZ1THKhF,HhpjY4v52eWyZVvgs6E3dCfrZh73p9T5Jfs4PotPmc1j,WLHv2UAZm6z4KyaaELi5pjdbJh6RESMva1Rnn8pJVVh,3ZLekZYq2qkZiSpnSvabjit34tUkjSwD1JFuW9as9wBG,False,0.000006819126227607588675398945672,,,,ликвидность пула снята до точки (eXU8WVjExjLA),,,,ликвидность пула снята до точки (eXU8WVjExjLA),54,0,2,,LanMV9sAd7wArD4vJFi2qDdfnVhFxYSUg6eADduJ3uj,,,,,тип пула LanMV9sAd7wArD4vJFi2qDdfnVhFxYSUg6eADduJ3uj -- остатки хранилищ не дают спот,0,0,,нет,,,,,,,96,147,,,448018727
BATCH-5,EC2f5DnHzuNRit1ExqghSifDbp1wgrzktsRRZCtU92MJ,Theo,5ZbNgWiJH9GoYoV22Pmbw6BgEuJHxWz96MKwFPJHX8y1EHH5Ezj3FqqiGpjtaUUKU6AYbXhZffdgYYvYNZuQW81E,448034644,926,2026-09-18T08:51:13Z,6GvqRJHmR9QZtV5hwad8KHYamtJXE1WQmpRnBYAaqC8j,9.264604,980.0,105.77894476903616,ref_pool:5HVJhiFje3ggkcyK,EeijaFBsMGYdQ1FrJd9g5HEfJN7vxWYN4hzPqSwwtdh1,HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,HcRLc9VDgjLeK154xDawfb1dmVJ98DoSqcwTHGqiDeJR,False,0.001423500201730990427401025120,0.001793540926127409349849924134,1.259951,False,,0.001776755385480068768841043773,1.24816,False,,21,0,0,,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,,,,,тип пула cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG -- остатки хранилищ не дают спот,0,0,,нет,,,,,,,26,34,5nhGfEMjU8iGXEUgSEsqLbTGKtP6xBrgyZA9toUoAXxBFkkQbptkF8gw1aVdAjS4Ruepn7FEJJuERofR85GjmBQ6,3rwiVyAKSpKsUAmFUt1ZN1bTMZR1kGK4ToZKVR3Z8FJqvR1QedRTRj1U4Z8MkoU6qBkmeNWQjK6mSMbPcoea2EJ3,448034869
BATCH-5,EC2f5DnHzuNRit1ExqghSifDbp1wgrzktsRRZCtU92MJ,Theo,5pRGLMvaRPKeooeJh8jcHV1FfURqnvGksjhwJNULFZJMPRULUw6TkzmmDZj35mHq68G1THZChAB9oS9mKuA1Yhuo,448042000,24,2026-09-18T09:23:53Z,5gDnzAC4EEFmTjFzFjHUXS7wx5Cdvi2NTKGZT61meta,51.824829,5500.0,106.12673721820441,ref_pool:3LdpXAaZs77xNUaT,84XTGDwqXX9yYLez1PVQEKqu5C7nRt4tXZgVktotCAN7,HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,True,0.03995498403022323068164316454,0.04373981908577352882136586997,1.094727,False,,0.04174314424635332252836304700,1.044754,False,,39,0,1,,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,,,,,тип пула cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG -- остатки хранилищ не дают спот,93,25,,нет,,,,,,,431,716,3Q5fbRqwAjXYxFVfayL5zzYYUs5bsyEZve4x21HBRhyV6wkBjAAZsn2bghWBzac91JLFYkdd2MP9VUQijQH69n77,4ZnFVUyoD1VAQXMDXWV29Qi7sWTfiR5zijErXjhFbqMWm2Gifo26SJwfhGQFA1zB3RamCtYyboZxWdSsGiyUemH8,448042236
BATCH-5,EC2f5DnHzuNRit1ExqghSifDbp1wgrzktsRRZCtU92MJ,Theo,4Y9FQjjkndP3F6mCpjvp8rqc814tLNwnh36TUGV8bJVYdTfSYKP4Ym5x9VEpm5a5jqq63PT4NwSxitGZCQ9Ueezm,448118272,1029,2026-09-18T15:02:57Z,YteuJZz7Rk7yL8ZZ5ixvPihoipq36jiSJPUjdtemZuD,13.59674,1500.0,110.32056201407542,same_tx,AHeEB9fSimUKL1Dyka4AUo4J1yz3qWtvZZhtbGtdhSyE,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,USNv3NkKA27Dh4nsHJDPhW4VoEcTQmjoZyJt2dqdwFu,False,3.159890476043847822082279747E-7,7.810316718176724766515575071E-7,2.471705,False,,6.583546968393957929122648835E-7,2.083473,False,,91,0,1,,CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C,3.862284246031306706902455366E-7,1.222284,2.022201,1.704573,,0,0,,нет,,,,,,,184,266,4HxMTHBGAbztkXSUDJoMjGnJLqAnTbZ33vitjX6syitRymBH4xVBh91T6xMMTTJpdEuiYZw42J2tcCtwmE8QYzzz,3fc15YdRp2iG3iYrjPWY5ALtyo4ZnNS9K9XuoXmZCh3vMosyEwXHhzrFGnW4aAyToQTkjE5tuM9SskTf4dqvjiDd,448118503
BATCH-5,EC2f5DnHzuNRit1ExqghSifDbp1wgrzktsRRZCtU92MJ,Theo,2mmvU6RA4CgjYZLhab9FndHrN7MuK2kHYFpBsYnAiPDEqYYG8CFHDrx7vRnUnuzrEmC7FdL7DWSf43cULeRSaRF1,448380492,171,2026-09-19T10:28:04Z,HTmQz7My6MehV7bjhJ6jde8nDND1yvsz68d24LP7YgUQ,89.290757,10000.0,111.99367439295239,same_tx,6oYfJ1yWCuUfX6Q61AEUwEiF2rzii6t9REwykRmnpsL1,8S2XFMPBNnUNBuzKTb1ZFC1B2DMJSRUFZQsbpSwFXhkx,So11111111111111111111111111111111111111112,True,0.00005256924725190563336304035867,0.00005402663420037210939565543973,1.027723,False,,0.00005402664152150078291219954630,1.027723,False,,18,0,1,,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,,,,,тип пула LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo -- остатки хранилищ не дают спот,0,0,,нет,,,,,,,33,57,2nbBaYo21yojW1HtZApXrFfGDBvBMQ1brYR6TSA7VkbPBXFCcbDoMffP4iFiXwCQMcrzz7sRb6bBiJUDD8JE1tWN,3xC65CkSnjFjJY32KLZvUnLvsBivxZy4YrGKtAMMKv6LpPBifgrQy5haaLvsSJnRVgNd2mt5P7obSfFwn6Rk8iSQ,448380723
BATCH-5,EC2f5DnHzuNRit1ExqghSifDbp1wgrzktsRRZCtU92MJ,Theo,4Ci9LigK8SUUaKBF1BCzkdjtboCqnqgWxg6V2HWNJAvMGF8KyMcBFEDUk8GvGDEuYhNjbJagr58Dga3nMrRBMHHa,448827887,599,2026-09-20T19:36:38Z,536Y2Cf53iJ64N8JsQHnVPkCTPoXLhAHx5dCRX7XW7fM,48.983616,5400.0,110.24094303352878,same_tx,A7TH3MDSYEpS6tCCvspeLLiD7rjsEXapyDFvFBTS1ixz,HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,So11111111111111111111111111111111111111112,False,0.000001883387100445842007580420625,0.000001798807993511518868539431121,0.955092,False,,0.000002097734315350374848944190891,1.113809,False,,76,1,0,,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,,,,,тип пула cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG -- остатки хранилищ не дают спот,6,2,,нет,,,,,,,128,191,3uinQajS2kxrdwN2PciR3kGkajtbakyEWbqJAPkYnATiXC42DEJhKRZzvuDQ55n812GUKNj4bUT4BCBvNk3yto83,2jkgvNkyNeMzkBRBk2SuYaA5xdooJzrKqPBRD3EGnBygKpLwy48ekFS3EsqMFjwbz7ZoWtv12VLizjcG3PJrguVM,448828118
BATCH-5,EC2f5DnHzuNRit1ExqghSifDbp1wgrzktsRRZCtU92MJ,Theo,5CKNHoUgWjZxzdUpTGBS1fBVnbG18WW8MTJTfPg5a5ZphWJ5Wc7xt9q3NcjUE9TdnbSt8UQNdPKFcD1CxG1uxU1f,448834601,478,2026-09-20T20:06:45Z,EqjNByrNag8V5sAn8pAJ2iHMRrrjTh3CwwgBxeNBckHd,27.160655,3000.0,110.45388969512062,ref_pool:ATRsNG:58xsAKq2HuXwzkPo,9YpWmcmxA3PQFLzbxFG3cA7z67PLreRmTtVpTy6thDJq,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS,False,1.205917763242105357621635703E-7,1.813379449036993560559656683E-7,1.503734,False,,1.780427548213944970213174053E-7,1.476409,False,,158,1,0,,CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C,1.420658855631661455470717269E-7,1.178073,1.276436,1.253241,,0,0,,нет,,,,,,,398,595,414aHCne8LAjUMqVzSJdK2RvKCggAQggMk1FLzZMofHqTYwvVkQpLs63YqMciJwwmJtz85fgto34cYtsFXLaKZ6f,4fFqNNjMdxwUDQgqjvS9ZLKBU9aChYywMUfdeEME9NvR55NizEqNcMTZnSeqoXq2TCZGCS8Dt6K9VH4biSDtyp26,448834832
BATCH-5,EC2f5DnHzuNRit1ExqghSifDbp1wgrzktsRRZCtU92MJ,Theo,2AkmbNbGLD2hPJ9mYKHyJ29PpPbSoNDx5s8CPb2NTdnjZ6JfKXNBgGxrCeMcBz7mZJ6pKrUeBPLqXPfxb4qArCM3,448907157,630,2026-09-21T01:29:54Z,B8PejdbbHFCFnYqMA5RLttSLDtDU8ZEdvrgc1UqPX3xP,13.354565,1500.0,112.32114421622806,ref_pool:ATRsNG:2ZaHGpJhYdyMdcBv,E7mjXwEazD8Sd1ByoVj62pUz4zyGxkqGouJ3UzLry471,2zLzUDZ6wm4qy2jUTfTN6GcS7GoYcCEBXoPTEtfS7c8M,XsoCS1TfEyfFhfvj8EtZ528L3CaKBDBRqRapnBbDF2W,False,5.762687177733232672431434743E-8,1.617451688086144827012799730E-7,2.806766,False,,1.555466880219038744189249354E-7,2.699204,False,,107,1,1,,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,,,,,тип пула CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK -- остатки хранилищ не дают спот,1,1,,нет,,,,,,,164,220,5we9f999s5cPwk3nqteR7AH3UGbAbgmHFi1DmeG1txV3xDA8XiGtQBt2M5DouUByHFMuc6bRQ9vUf9mT4RRZSfde,4h48SPDkTswgXJPLRjw3cL69TNsDWXXuUPyWtGdux3gkMhU9LFUGDuS7eTjdh68FJhvtP1DGswqrDKPG61hxwaTS,448907388
BATCH-5,EC2f5DnHzuNRit1ExqghSifDbp1wgrzktsRRZCtU92MJ,Theo,3yW2tZKuqtNPRdbdiQHRyrQfJ3qtWCwFHs6dvnT4ExWcmqxT8X1hWApdSB5mARbqrXJFAHaSXPUcusTG3H1DMoxs,448907297,870,2026-09-21T01:30:31Z,8U2tRCQZunwjEnEEtLtoKBSnmYPJ7nBodkg6pmqUdcca,14.243266,1600.0,112.3337865,ref_pool:akMUWwQyuQm3qz8u,9VgtmZUz2riahw6VpJfrVzr3wHU7j8qjDJscbCcgiLbz,HKZBuyefCUaRKeHB6bYZ2ymrxZvBKUnJgYm4AHUdrTP3,XsoCS1TfEyfFhfvj8EtZ528L3CaKBDBRqRapnBbDF2W,False,6.854717492697721951701768300E-8,1.311370506018124938064100400E-7,1.913092,False,,1.321358412349880081057918670E-7,1.927663,False,,81,1,1,,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,,,,,тип пула CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK -- остатки хранилищ не дают спот,0,0,,нет,,,,,,,157,193,gW5rMCeKHRuBZeVNpNZhYPDQPYa9wWv9fDQt976fZn6JJeo8kFEnmJPiTzjEi7ZpK24SBuSzdjowAbhAGAancAS,Hc9VWgi2MLjzdmJvRcug3gvcbaMKWK2g9BRjuza2USUMosetUsov78XdDExfKUBsyc3kWdh8UKKyUNnGa8Mz1tz,448907522
