column_name,data_type
contract_address,varbinary
call_success,boolean
call_tx_hash,varbinary
call_tx_from,varbinary
call_tx_to,varbinary
call_tx_index,integer
call_trace_address,array(bigint)
call_block_time,timestamp(3)
call_block_number,bigint
call_block_date,date
creator,varbinary
deadline,uint256
devbuyamountin,uint256
devbuyminout,uint256
expectedstarttick,integer
feerecipient,varbinary
metadatauri,varchar
name,varchar
output_devbuyout,uint256
output_pool,varbinary
output_token,varbinary
pairedasset,varbinary
salt,varbinary
symbol,varchar
