column_name,data_type
blockchain,varchar
project,varchar
version,varchar
block_month,date
block_date,date
block_time,timestamp(3) with time zone
block_number,bigint
token_bought_amount_raw,uint256
token_sold_amount_raw,uint256
token_bought_address,varbinary
token_sold_address,varbinary
taker,varbinary
maker,varbinary
project_contract_address,varbinary
tx_hash,varbinary
evt_index,integer
sender,varbinary
hooks,varbinary
fee,integer
liquidity,uint256
sqrtpricex96,uint256
tick,integer
call_trace_address,array(bigint)
