table_name,table_schema
mglo_call_accesscontrol,midas_rwa_robinhood
mglo_call_allowance,midas_rwa_robinhood
mglo_call_approve,midas_rwa_robinhood
mglo_call_balanceof,midas_rwa_robinhood
mglo_call_blacklisted_role,midas_rwa_robinhood
mglo_call_blacklist_operator_role,midas_rwa_robinhood
mglo_call_burn,midas_rwa_robinhood
mglo_call_decimals,midas_rwa_robinhood
mglo_call_decreaseallowance,midas_rwa_robinhood
mglo_call_default_admin_role,midas_rwa_robinhood
mglo_call_greenlisted_role,midas_rwa_robinhood
mglo_call_greenlist_operator_role,midas_rwa_robinhood
mglo_call_increaseallowance,midas_rwa_robinhood
mglo_call_initialize,midas_rwa_robinhood
mglo_call_metadata,midas_rwa_robinhood
mglo_call_m_glo_burn_operator_role,midas_rwa_robinhood
mglo_call_m_glo_mint_operator_role,midas_rwa_robinhood
mglo_call_m_glo_pause_operator_role,midas_rwa_robinhood
mglo_call_mint,midas_rwa_robinhood
mglo_call_name,midas_rwa_robinhood
mglo_call_pause,midas_rwa_robinhood
mglo_call_paused,midas_rwa_robinhood
mglo_call_setmetadata,midas_rwa_robinhood
mglo_call_symbol,midas_rwa_robinhood
mglo_call_totalsupply,midas_rwa_robinhood
mglo_call_transfer,midas_rwa_robinhood
mglo_call_transferfrom,midas_rwa_robinhood
mglo_call_unpause,midas_rwa_robinhood
mglodepositvault_call_accesscontrol,midas_rwa_robinhood
mglodepositvault_call_addpaymenttoken,midas_rwa_robinhood
mglodepositvault_call_addwaivedfeeaccount,midas_rwa_robinhood
mglodepositvault_call_approverequest,midas_rwa_robinhood
mglodepositvault_call_blacklisted_role,midas_rwa_robinhood
mglodepositvault_call_blacklist_operator_role,midas_rwa_robinhood
mglodepositvault_call_changetokenallowance,midas_rwa_robinhood
mglodepositvault_call_changetokenfee,midas_rwa_robinhood
mglodepositvault_call_currentrequestid,midas_rwa_robinhood
mglodepositvault_call_dailylimits,midas_rwa_robinhood
mglodepositvault_call_default_admin_role,midas_rwa_robinhood
mglodepositvault_call_depositinstant,midas_rwa_robinhood
mglodepositvault_call_depositrequest,midas_rwa_robinhood
mglodepositvault_call_feereceiver,midas_rwa_robinhood
mglodepositvault_call_fnpaused,midas_rwa_robinhood
mglodepositvault_call_freefromminamount,midas_rwa_robinhood
mglodepositvault_call_getpaymenttokens,midas_rwa_robinhood
mglodepositvault_call_greenlistedrole,midas_rwa_robinhood
mglodepositvault_call_greenlisted_role,midas_rwa_robinhood
mglodepositvault_call_greenlistenabled,midas_rwa_robinhood
mglodepositvault_call_greenlist_operator_role,midas_rwa_robinhood
