n_swaps,recipient,volume_raw_units
12850,0x51c72848c68a965f66fa7a88855f9f7784502a7f,95468296358
3106,0x01989c93890aed05a63d179b03424997075b6acf,39396714122
893,0x08fb33543ad633db94282df364ad80feb8d9fc35,16481058199
2141,0xbeeb9eee061925cc6d2122f05a4e6536f0feb000,12229396661
184,0x8b12ca0e3f55da41b11be7381d673efb96e61a8e,5684509154
2306,0x278d858f05b94576c1e6f73285886876ff6ef8d2,4503011821
727,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,2001533115
290,0x61040e143a77f165ba44543af4a079f2c809d14b,1844941895
401,0x8f10b468b06c6fd214b65f87778827f7d113f996,1002388680
401,0xc37e0e1fc73cf30378080c2df3904e26ba6229a1,765313321
41,0x8836dfc15ca9fdc43b371d7bbc46cf9f266fb1de,696569827
212,0x7747f8d2a76bd6345cc29622a946a929647f2359,660531532
6,0xb4bb788ea4133a5b23cc32848d59780ead78e797,435905125
1022,0x6ff5693b99212da76ad316178a184ab56d299b43,409229713
105,0xf3588f2a51b54df05bf664f44f4a1da68d815d3f,356038883
12,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,302202171
63,0xee5af97db978720107bc6c0b9913cfa81724ca67,291966026
77,0x29a95a3f3a32adb8bf4523c3af3754b4a0f83dfc,289588896
41,0x4446adc0b8136ffc55ddb7a488ba5509ace2a5ef,283608949
71,0xcdbdc59a5eeb54027f8b45b118e3cd1f675d79c5,275101341
