n_swaps,sender,volume_raw_units
12857,0x83d55acdc72027ed339d267eebaf9a41e47490d5,95518624072
2129,0xc174cfd48383e7041d0224b004192cbcca3eeb7b,24517244248
893,0x08fb33543ad633db94282df364ad80feb8d9fc35,16481058199
977,0xd08b938153ffaa75fbe19339a56cc35ca11c0fbc,14879469874
2141,0x6c6f13d731a53e58ef182ea46fe726ca06360cf8,12229396661
184,0xa5610319da909ec606b879251adf846353459f8e,5684509154
2306,0x278d858f05b94576c1e6f73285886876ff6ef8d2,4503011821
1113,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,3194334540
290,0x8ad399967db9cae7dbd09e59485879a968772e17,1844941895
7834,0x2626664c2603336e57b271c5c0b26f421741e481,1468558607
402,0x8f10b468b06c6fd214b65f87778827f7d113f996,1002834872
403,0xc37e0e1fc73cf30378080c2df3904e26ba6229a1,769378833
215,0x7747f8d2a76bd6345cc29622a946a929647f2359,660531577
1495,0x6ff5693b99212da76ad316178a184ab56d299b43,617686212
64,0xee5af97db978720107bc6c0b9913cfa81724ca67,373462736
22,0x1bf28070bc69cc6ec18bc4df226a9459e7d2e79c,359043385
105,0xf3588f2a51b54df05bf664f44f4a1da68d815d3f,356038883
66,0x1c9637f9103d51e257b38712e514dfcdd4a55812,353094437
91,0x182b51037a9085a1532b63e5aac63bed0789e49c,336013327
78,0x29a95a3f3a32adb8bf4523c3af3754b4a0f83dfc,305698733
