table_name,table_schema
aeonpoolrh_evt_swap,aeon_robinhood
swapshell_evt_swapexecuted,arcus_robinhood
beefyswapper_evt_swap,beefy_robinhood
butterrouterv31_evt_swapandbridge,butter_robinhood
alleypair_evt_swap,catnip_robinhood
dopplerhookinitializer_evt_swap,doppler_robinhood
dopplerhookmigrator_evt_swap,doppler_robinhood
classicpool_evt_swap,gigadex_robinhood
clpool_evt_swap,gigadex_robinhood
upgradablemeson_evt_swapposted,meson_robinhood
upgradablemeson_evt_swapunlocked,meson_robinhood
metaswap_evt_swap,metamask_robinhood
feetakingrouter_evt_swapexecuted,mytoken_robinhood
instantv3factory_evt_swaprouterupdated,mytoken_robinhood
aquaswapvmrouter_evt_swapped,oneinch_robinhood
aggregator_evt_swaporderid,pancakeswap_hub_robinhood
pancakepair_evt_swap,pancakeswap_v2_robinhood
pancakev3pool_evt_swap,pancakeswap_v3_robinhood
rainbowrouter_evt_swaptargetadded,rainbow_swap_aggregator_robinhood
rainbowrouter_evt_swaptargetremoved,rainbow_swap_aggregator_robinhood
dlmmpool_evt_swap,ramsesxyz_robinhood
pair_evt_swap,ramsesxyz_robinhood
ramsesv3pool_evt_swap,ramsesxyz_robinhood
uniswapv3pool_evt_swap,robinswap_robinhood
algebrapool_evt_swap,sheriff_robinhood
algebrapool_evt_swapfee,sheriff_robinhood
sheriffpool_evt_swap,sheriff_robinhood
stonkstockrouterv2_evt_swappedtostock,stonkbrokers_robinhood
stoxesfuntraderouter_evt_swapbuyfor,stoxesfun_robinhood
stoxesfuntraderouter_evt_swapsellfor,stoxesfun_robinhood
uniswapv2pair_evt_swap,sushiswap_v2_robinhood
uniswapv3pool_evt_swap,sushiswap_v3_robinhood
pancakev3pool_evt_swap,swaphood_robinhood
swaphoodpair_evt_swap,swaphood_robinhood
uniswapv2pair_evt_swap,uniswap_v2_robinhood
uniswapv3pool_evt_swap,uniswap_v3_robinhood
poolmanager_evt_swap,uniswap_v4_robinhood
clfactory_evt_swapfeemanagerchanged,uponrh_robinhood
clfactory_evt_swapfeemodulechanged,uponrh_robinhood
clpool_evt_swap,uponrh_robinhood
