n_swaps,recipient,volume_usd
5314639,0x65050a9b7e5075a2ba5ced7b1b64ee66262c40dc,792502437.127341
98238,0x51c72848c68a965f66fa7a88855f9f7784502a7f,520645308.564333
556587,0x39b38686a19836ac10162c490e4558e120cbbe5f,257104777.910081
65518,0x37e44a04c05e7cda4bcf17f748b7f823c73e3fe0,231230359.116878
48671,0xfbcc34e25937282a3d0fbde054a9a49e9968c51a,206270864.969998
284939,0x8876789976decbfcbbbe364623c63652db8c0904,200123795.978741
20098,0xcef7501b9b060a599a81735bead6641c0e6baf46,131580881.272777
981842,0x4a86009a36fcec5aa341ffceb3205a911fcf6f60,129988215.412982
16708,0x7dec8663bc55f3419a130fac7a7209b959ed8d90,121597392.161667
84274,0x8f10b468b06c6fd214b65f87778827f7d113f996,108951069.187643
190756,0x6e2a35a7ad683cf634d91492d73bb7ff774c6919,79679507.949956
283015,0x38140f2d60383fb4d1dd24d7092130d59a60cd6f,72540948.159048
36742,0x8366a39cc670b4001a1121b8f6a443a643e40951,60772043.252318
34094,0x1521027b665fa38fa4a642991607ad708376dd7b,42739217.058058
14894,0xb05500000fb581817143bd4d0369828da0efd71d,40101809.961259
203833,0xdf040d9df9fd77cd3318f54a8cdc44112a354c30,38584384.152965
224036,0x71305171a22f3fb8a67c6970838f77ad821d3c83,37923465.740082
13372,0x6a29521012ea53ad24c77e9e1a933d35ae503855,35663643.165484
228814,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,32732905.36982
111318,0x00000000e91fc5bad977c0cc4ad60557c06886a2,28069517.316228
