n_swaps,sender,volume_usd
5324324,0x65050a9b7e5075a2ba5ced7b1b64ee66262c40dc,796617059.455962
98245,0x520ed467860d840ec6ca20f1dacb9c0fa5168aa7,520655079.39407
789789,0x39b38686a19836ac10162c490e4558e120cbbe5f,290511922.262228
1248313,0xcaf681a66d020601342297493863e78c959e5cb2,289915056.946403
366306,0x8876789976decbfcbbbe364623c63652db8c0904,264084320.493123
65524,0x37e44a04c05e7cda4bcf17f748b7f823c73e3fe0,231236689.784204
48672,0xef0954e178802288524e7b2e13697793d7ad3961,206272169.769998
981867,0x4a86009a36fcec5aa341ffceb3205a911fcf6f60,129993867.052252
16708,0x7dec8663bc55f3419a130fac7a7209b959ed8d90,121597392.161667
85330,0x8f10b468b06c6fd214b65f87778827f7d113f996,109541421.290596
28885,0x6a29521012ea53ad24c77e9e1a933d35ae503855,80239677.733845
194276,0x2a7f3d7486641c77600b9b9256132755c8aebb4f,80130290.295002
6392,0x33a586b67211907979fddac69eff5e52f3dc8561,54120433.681616
4973,0x39b37fe004b9bcda781784345d2ffc84ef4b8ce6,48265508.443951
34095,0x1521027b665fa38fa4a642991607ad708376dd7b,42739740.112464
14894,0xb05500000fb581817143bd4d0369828da0efd71d,40101809.961259
8734,0x1e8ee74b4f48a5004abfe28670b895e485efb492,29195813.407287
111512,0x00000000e91fc5bad977c0cc4ad60557c06886a2,28213975.249535
18225,0x09ad820aac5779683b481c4674208a4e1b024afa,23259566.399934
112933,0x3a7f029e3ad003ab5aa78ccf101b1b543eaed6f9,22393560.78387
