rnk,sender,volume_usd,week_start
1,0xe72688f7d25d7318b9a81f21edda640ca948c83b,112102197.890941,2026-07-06 00:00:00.000 UTC
2,0x1e8ee74b4f48a5004abfe28670b895e485efb492,47632462.467764,2026-07-06 00:00:00.000 UTC
3,0x8876789976decbfcbbbe364623c63652db8c0904,17392276.749632,2026-07-06 00:00:00.000 UTC
4,0x278d858f05b94576c1e6f73285886876ff6ef8d2,15122059.20925,2026-07-06 00:00:00.000 UTC
5,0x2a7f3d7486641c77600b9b9256132755c8aebb4f,10596540.646498,2026-07-06 00:00:00.000 UTC
1,0x1e8ee74b4f48a5004abfe28670b895e485efb492,170324779.200904,2026-07-13 00:00:00.000 UTC
2,0xe72688f7d25d7318b9a81f21edda640ca948c83b,123309406.124641,2026-07-13 00:00:00.000 UTC
3,0x278d858f05b94576c1e6f73285886876ff6ef8d2,98279719.163938,2026-07-13 00:00:00.000 UTC
4,0x2a7f3d7486641c77600b9b9256132755c8aebb4f,45505092.798793,2026-07-13 00:00:00.000 UTC
5,0x37e44a04c05e7cda4bcf17f748b7f823c73e3fe0,42526780.10006,2026-07-13 00:00:00.000 UTC
1,0x278d858f05b94576c1e6f73285886876ff6ef8d2,99519626.00491,2026-07-20 00:00:00.000 UTC
2,0x1d4b86491ec211257cbedd77a4380a7494624eff,83450296.386645,2026-07-20 00:00:00.000 UTC
3,0x65050a9b7e5075a2ba5ced7b1b64ee66262c40dc,75126195.056025,2026-07-20 00:00:00.000 UTC
4,0x37e44a04c05e7cda4bcf17f748b7f823c73e3fe0,71635289.015774,2026-07-20 00:00:00.000 UTC
5,0x1e8ee74b4f48a5004abfe28670b895e485efb492,66207708.0404,2026-07-20 00:00:00.000 UTC
1,0x520ed467860d840ec6ca20f1dacb9c0fa5168aa7,181429483.341162,2026-07-27 00:00:00.000 UTC
2,0x278d858f05b94576c1e6f73285886876ff6ef8d2,135242925.292573,2026-07-27 00:00:00.000 UTC
3,0x37e44a04c05e7cda4bcf17f748b7f823c73e3fe0,92112111.726494,2026-07-27 00:00:00.000 UTC
4,0x1e8ee74b4f48a5004abfe28670b895e485efb492,79578257.197343,2026-07-27 00:00:00.000 UTC
5,0x39b38686a19836ac10162c490e4558e120cbbe5f,29975939.852593,2026-07-27 00:00:00.000 UTC
1,0x520ed467860d840ec6ca20f1dacb9c0fa5168aa7,120062058.605959,2026-08-03 00:00:00.000 UTC
2,0x37e44a04c05e7cda4bcf17f748b7f823c73e3fe0,86148309.005324,2026-08-03 00:00:00.000 UTC
3,0x278d858f05b94576c1e6f73285886876ff6ef8d2,63313761.992729,2026-08-03 00:00:00.000 UTC
4,0x1e8ee74b4f48a5004abfe28670b895e485efb492,46436998.196356,2026-08-03 00:00:00.000 UTC
5,0x8876789976decbfcbbbe364623c63652db8c0904,42856591.849877,2026-08-03 00:00:00.000 UTC
1,0x520ed467860d840ec6ca20f1dacb9c0fa5168aa7,188774962.765901,2026-08-10 00:00:00.000 UTC
2,0x37e44a04c05e7cda4bcf17f748b7f823c73e3fe0,99169482.95542,2026-08-10 00:00:00.000 UTC
3,0x1e8ee74b4f48a5004abfe28670b895e485efb492,49925565.584132,2026-08-10 00:00:00.000 UTC
4,0x8876789976decbfcbbbe364623c63652db8c0904,40425264.403123,2026-08-10 00:00:00.000 UTC
5,0x1cd59f182af92bfd9ef0a010d8281d1bc2b74cef,39458251.404267,2026-08-10 00:00:00.000 UTC
1,0x520ed467860d840ec6ca20f1dacb9c0fa5168aa7,306370634.35761,2026-08-17 00:00:00.000 UTC
2,0x1cd59f182af92bfd9ef0a010d8281d1bc2b74cef,120467095.503968,2026-08-17 00:00:00.000 UTC
3,0x37e44a04c05e7cda4bcf17f748b7f823c73e3fe0,98977802.316804,2026-08-17 00:00:00.000 UTC
4,0x1e8ee74b4f48a5004abfe28670b895e485efb492,67055073.105643,2026-08-17 00:00:00.000 UTC
5,0x8876789976decbfcbbbe364623c63652db8c0904,35766933.227005,2026-08-17 00:00:00.000 UTC
1,0x520ed467860d840ec6ca20f1dacb9c0fa5168aa7,296182188.725311,2026-08-24 00:00:00.000 UTC
2,0x65050a9b7e5075a2ba5ced7b1b64ee66262c40dc,169595120.998032,2026-08-24 00:00:00.000 UTC
3,0x8876789976decbfcbbbe364623c63652db8c0904,102861663.607249,2026-08-24 00:00:00.000 UTC
4,0xcaf681a66d020601342297493863e78c959e5cb2,90609363.110805,2026-08-24 00:00:00.000 UTC
5,0x39b38686a19836ac10162c490e4558e120cbbe5f,86903524.315553,2026-08-24 00:00:00.000 UTC
1,0x65050a9b7e5075a2ba5ced7b1b64ee66262c40dc,689693171.921021,2026-08-31 00:00:00.000 UTC
2,0x520ed467860d840ec6ca20f1dacb9c0fa5168aa7,450197823.458841,2026-08-31 00:00:00.000 UTC
3,0x39b38686a19836ac10162c490e4558e120cbbe5f,238249917.628521,2026-08-31 00:00:00.000 UTC
4,0xcaf681a66d020601342297493863e78c959e5cb2,237698732.637759,2026-08-31 00:00:00.000 UTC
5,0x8876789976decbfcbbbe364623c63652db8c0904,215691742.461976,2026-08-31 00:00:00.000 UTC
