n_transfers,sender,total_amount_lit
3,0x091d1c972cb1648537a2ba78eaba371b1ce18336,7636000.0
3,0x5ee84d30c7ee57f63f71c92247ff31f95e26916b,7613856.566376
232,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,4627044.6895632
2,0x09671d2a9a43bf70cd282318f75c9c9f122a0440,3836000.0
2,0xf343fcfea0963b769b094bea624929a7bafc34d8,3820000.0
398,0xf89d7b9c864f589bbf53a82105107622b35eaa40,3240444.2744362503
119,0x91d40e4818f4d4c57b4578d9eca6afc92ac8debe,3029982.83389999
6,0x040d6d590f4deb5013cdfdd7cd0df46ec9fe0f3f,2158266.908
148,0x3b4d794a66304f130a4db8f2551b0070dfcf5ca7,1544298.1102225005
1,0xb4d1792710c449b01615df7c87f653b6155375cb,1099999.43
96,0xf8191d98ae98d2f7abdfb63a9b0b812b93c873aa,1077290.0
3363,0x000000000004444c5dc75cb358380d2e3de08a90,945724.5668259145
1,0xe9919217ed7715f9750f24b9575506e5b8b8a00e,899999.4299999999
30,0x0051cc1d8bbf0b3373b02e22ea5a2fe483266cea,844238.1881980001
80,0x4a4aaa0155237881fbd5c34bfae16e985a7b068d,793213.4380999999
155,0x0d0707963952f2fba59dd06f2b425ace40b492fe,776317.5585188001
901,0x51c72848c68a965f66fa7a88855f9f7784502a7f,759581.9404332922
230,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,650373.2491898239
34,0xb180647d5ad76abeb6be0d363f6e182bd8df46d1,559383.656658
57,0xb38c67d8841c38a8ee85bcda884f9aa3c5dc1ad8,551278.3091602606
