n_transfers,sender,total_amount_lit
119,0xf89d7b9c864f589bbf53a82105107622b35eaa40,1727079.1602240198
121,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,1530465.3573199324
58,0x9400d96518b97fefc52fa0950e153da9309631fe,1161055.7714729467
13,0x2ffc2b2398130bd4febaa48696771c1ceca2833e,1046000.0
97,0x3b4d794a66304f130a4db8f2551b0070dfcf5ca7,1030612.4246822704
148,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,846989.5102541822
43,0x40b72bb73b1e9380629b205e7880fa409ae7fcc9,811841.5955308614
51,0xf8191d98ae98d2f7abdfb63a9b0b812b93c873aa,799174.091
98,0x4a4aaa0155237881fbd5c34bfae16e985a7b068d,796222.1765000002
3,0x4322fd98f95a219d2aae2bba6664e3574b4c3708,785105.1912943377
1,0x7fdafde5cfb5465924316eced2d3715494c517d1,775365.82707275
1,0x6448dbc9e99be98109c858c6624410c8f494346b,775365.82707275
121,0x0d0707963952f2fba59dd06f2b425ace40b492fe,707591.6109199498
23,0x0051cc1d8bbf0b3373b02e22ea5a2fe483266cea,503182.5632760001
92,0x91d40e4818f4d4c57b4578d9eca6afc92ac8debe,455167.822
483,0x51c72848c68a965f66fa7a88855f9f7784502a7f,415138.0471422642
128,0x9008d19f58aabd9ed0d60971565aa8510560ab41,333530.9687915846
13,0xb180647d5ad76abeb6be0d363f6e182bd8df46d1,320348.46102499997
13,0x8782163068c7cd74d2510768a61135c1e4eb07b3,250670.29615977
3,0x477771c22dffb86218ffa5b6fa811057cae8bda3,234363.26880371405
