t,o,h,l,c
1783209600000,307.74,307.88,307.46,307.48
1783213200000,307.45,307.55,307.29,307.31
1783216800000,307.36,307.45,307.2,307.23
1783220400000,307.34,307.35,306.98,307.27
1783224000000,307.23,307.34,307.2,307.26
1783227600000,307.29,308.09,307.24,307.97
1783231200000,307.98,308.26,307.75,307.86
1783234800000,307.99,308.18,307.91,308.11
1783238400000,308.03,308.12,307.67,307.7
1783242000000,307.85,308.03,307.2,307.22
1783245600000,307.19,308.06,307.19,307.59
1783249200000,307.7,307.7,307.26,307.43
1783252800000,307.47,307.6,307.25,307.35
1783256400000,307.34,307.86,307.25,307.77
1783260000000,307.87,308.06,307.67,307.67
1783263600000,307.91,308.09,307.66,307.89
1783267200000,308.03,308.03,307.51,307.57
1783270800000,307.56,308.31,307.53,308.22
1783274400000,308.23,308.79,308.23,308.57
1783278000000,308.67,308.84,308.66,308.81
1783281600000,308.81,308.81,308.42,308.5
1783285200000,308.51,308.51,307.85,308.39
1783288800000,308.33,308.33,307.06,308.23
1783292400000,308.01,309.01,307.74,308.59
1783296000000,308.37,308.37,305.06,306.07
1783299600000,305.98,306.38,305.57,305.94
1783303200000,305.94,307.14,305.73,306.61
1783306800000,306.71,306.86,305.9,306.07
1783310400000,306.2,306.57,306.07,306.23
1783314000000,306.25,307.14,305.97,306.17
1783317600000,306.14,306.48,305.69,305.69
1783321200000,305.68,306.13,305.51,305.95
1783324800000,306.04,306.58,305.0,305.66
1783328400000,305.59,305.67,305.11,305.44
1783332000000,305.65,305.84,305.39,305.72
1783335600000,305.65,306.98,305.65,306.9
1783339200000,306.81,307.88,306.75,307.35
1783342800000,307.38,309.68,305.89,309.3
1783346400000,309.3,312.43,308.74,312.43
1783350000000,312.52,313.96,312.4,313.4
1783353600000,313.41,313.55,311.66,312.37
1783357200000,312.29,312.61,311.95,312.43
1783360800000,312.41,313.12,312.17,313.02
1783364400000,313.01,313.41,312.16,312.5
1783368000000,312.46,312.68,312.26,312.38
1783371600000,312.35,312.66,312.2,312.49
1783375200000,312.45,312.62,312.11,312.41
1783378800000,312.38,312.75,312.23,312.62
1783382400000,312.7,313.3,312.54,313.14
1783386000000,313.14,314.83,312.92,313.93
1783389600000,313.86,313.97,313.36,313.37
1783393200000,313.42,314.02,313.1,314.02
1783396800000,313.9,314.33,313.71,314.31
1783400400000,314.33,315.57,311.06,313.15
1783404000000,313.16,313.19,312.34,312.4
1783407600000,312.42,313.33,312.42,312.75
1783411200000,312.75,314.19,312.53,313.95
1783414800000,313.92,314.78,313.71,314.41
1783418400000,314.4,315.32,314.09,314.24
1783422000000,314.16,314.85,314.12,314.73
1783425600000,314.76,315.42,314.55,314.86
1783429200000,314.87,315.34,309.76,311.15
1783432800000,311.34,313.15,310.84,312.63
1783436400000,312.61,314.52,312.47,314.06
1783440000000,314.1,314.1,312.57,313.5
1783443600000,313.4,313.4,311.9,311.9
1783447200000,311.73,312.85,311.64,311.88
