t,o,h,l,c
1783209600000,531.66,531.94,530.82,531.68
1783213200000,531.99,532.75,531.61,531.9
1783216800000,532.58,532.89,531.92,532.68
1783220400000,532.91,533.3,532.59,533.07
1783224000000,533.24,533.58,532.7,533.58
1783227600000,533.61,533.71,532.95,533.49
1783231200000,533.5,533.84,533.08,533.8
1783234800000,533.48,533.9,532.43,533.34
1783238400000,533.57,533.61,531.64,532.37
1783242000000,532.09,534.32,531.39,534.24
1783245600000,534.35,535.4,533.69,534.9
1783249200000,534.93,535.71,534.53,534.87
1783252800000,534.87,536.24,534.79,536.24
1783256400000,536.32,537.12,535.12,536.99
1783260000000,537.07,537.7,536.45,537.7
1783263600000,537.43,537.56,536.66,536.99
1783267200000,537.45,537.58,536.21,536.42
1783270800000,536.55,537.03,536.09,536.43
1783274400000,536.78,537.54,536.37,537.54
1783278000000,537.32,538.29,536.89,538.2
1783281600000,538.39,538.7,537.62,538.06
1783285200000,538.06,538.95,536.91,537.37
1783288800000,537.82,540.3,535.09,539.5
1783292400000,539.47,541.5,536.3,536.63
1783296000000,536.57,537.54,528.78,533.66
1783299600000,533.65,533.65,525.19,527.0
1783303200000,526.67,528.51,522.91,525.52
1783306800000,525.6,530.09,525.37,527.94
1783310400000,527.86,531.15,527.05,530.65
1783314000000,530.85,531.12,529.31,530.99
1783317600000,531.11,532.33,529.47,532.21
1783321200000,532.22,532.28,530.17,531.27
1783324800000,531.41,533.77,528.93,531.86
1783328400000,531.74,533.73,529.38,532.46
1783332000000,531.9,533.25,530.99,532.75
1783335600000,532.05,538.53,532.05,535.93
1783339200000,536.03,540.18,534.74,539.25
1783342800000,539.01,561.7,527.55,559.7
1783346400000,560.07,571.79,559.08,566.59
1783350000000,566.35,570.64,559.54,565.54
1783353600000,565.0,566.1,557.52,557.96
1783357200000,558.21,559.39,552.17,552.51
1783360800000,552.81,557.51,552.16,553.86
1783364400000,554.31,559.15,551.8,552.26
1783368000000,552.36,553.76,550.94,553.76
1783371600000,553.48,555.46,553.37,554.98
1783375200000,554.69,555.29,551.37,551.69
1783378800000,551.64,553.2,548.77,548.8
1783382400000,549.16,552.25,548.27,548.36
1783386000000,548.53,550.96,543.89,548.85
1783389600000,549.12,550.58,546.67,546.93
1783393200000,546.86,547.52,538.89,540.79
1783396800000,540.72,541.41,537.87,538.14
1783400400000,538.29,542.73,535.35,542.02
