t,o,h,l,c
1783209600000,244.21,244.7,244.08,244.32
1783213200000,244.24,244.56,244.24,244.41
1783216800000,244.23,244.42,244.23,244.4
1783220400000,244.4,244.75,244.3,244.65
1783224000000,244.65,244.86,244.56,244.86
1783227600000,244.86,244.89,244.75,244.79
1783231200000,244.84,244.86,244.74,244.86
1783234800000,244.91,245.16,244.88,245.16
1783238400000,245.07,245.15,245.01,245.1
1783242000000,245.1,245.11,244.4,244.51
1783245600000,244.69,244.92,244.59,244.86
1783249200000,244.91,244.91,244.69,244.69
1783252800000,244.74,244.9,244.29,244.79
1783256400000,244.71,244.73,244.46,244.65
1783260000000,244.62,244.66,244.52,244.63
1783263600000,244.69,244.69,244.46,244.58
1783267200000,244.59,244.63,244.56,244.62
1783270800000,244.65,244.66,244.55,244.65
1783274400000,244.69,244.75,244.59,244.69
1783278000000,244.66,244.79,244.66,244.69
1783281600000,244.64,244.72,244.53,244.53
1783285200000,244.54,245.01,244.54,244.92
1783288800000,245.01,245.23,243.78,244.99
1783292400000,244.94,245.33,244.38,245.08
1783296000000,245.08,245.19,243.86,244.37
1783299600000,244.37,244.42,244.04,244.37
1783303200000,244.37,244.42,244.11,244.29
1783306800000,244.29,244.5,244.08,244.27
1783310400000,244.27,244.34,244.06,244.18
1783314000000,244.17,244.27,243.6,243.77
1783317600000,243.77,244.03,243.53,243.88
1783321200000,243.94,244.44,243.83,244.17
1783324800000,244.25,244.9,244.13,244.82
1783328400000,244.84,246.29,244.63,246.23
1783332000000,246.21,246.41,245.58,245.85
1783335600000,245.73,245.73,244.32,244.46
1783339200000,244.48,244.75,244.1,244.43
1783342800000,244.5,245.61,241.1,241.77
1783346400000,241.72,243.77,241.64,242.81
1783350000000,242.9,245.81,242.76,245.58
1783353600000,245.6,246.14,244.68,244.82
1783357200000,244.94,245.89,244.87,245.12
1783360800000,245.02,245.9,244.54,245.58
1783364400000,245.64,245.96,244.21,244.33
1783368000000,244.37,244.67,244.06,244.56
1783371600000,244.6,244.83,244.52,244.77
1783375200000,244.68,244.91,244.63,244.83
1783378800000,244.88,244.98,244.46,244.7
1783382400000,244.73,245.14,244.64,244.82
1783386000000,244.91,245.2,244.74,244.83
1783389600000,244.83,244.97,244.66,244.75
1783393200000,244.73,244.74,243.93,243.93
1783396800000,244.01,244.47,243.91,244.38
1783400400000,244.37,244.47,243.88,244.36
1783404000000,244.38,244.51,244.08,244.44
1783407600000,244.49,244.73,244.43,244.5
1783411200000,244.42,247.06,244.42,247.03
1783414800000,246.93,248.83,246.88,248.1
1783418400000,247.98,248.57,246.7,246.7
1783422000000,246.65,247.45,245.51,245.94
1783425600000,245.94,246.09,244.88,246.09
1783429200000,245.97,249.03,244.85,247.9
1783432800000,248.01,248.11,244.15,244.52
1783436400000,244.42,244.6,242.85,243.93
1783440000000,243.95,246.32,243.75,245.84
1783443600000,245.89,246.5,245.02,246.43
1783447200000,246.51,246.89,245.66,245.98
1783450800000,245.92,246.26,245.41,245.92
1783454400000,245.89,246.2,245.57,245.75
1783458000000,245.77,245.77,245.02,245.04
1783461600000,245.12,245.42,244.97,245.3
1783465200000,245.28,245.72,245.27,245.34
1783468800000,245.44,245.77,245.43,245.69
1783472400000,245.63,245.66,245.33,245.64
1783476000000,245.64,245.91,245.57,245.86
1783479600000,245.85,245.98,245.64,245.64
1783483200000,245.68,245.85,245.67,245.76
1783486800000,245.79,245.9,245.66,245.8
1783490400000,245.76,245.86,245.53,245.58
1783494000000,245.71,245.91,245.47,245.68
1783497600000,245.75,245.91,242.34,242.7
1783501200000,242.68,242.9,241.62,242.53
1783504800000,242.44,242.74,241.68,242.12
1783508400000,242.17,243.15,241.69,242.75
1783512000000,242.71,244.27,242.7,243.41
1783515600000,243.43,244.81,241.21,242.26
1783519200000,242.26,244.2,241.29,241.29
1783522800000,241.16,242.39,240.68,241.17
1783526400000,241.14,242.3,241.05,242.23
1783530000000,242.17,242.84,241.78,241.88
1783533600000,241.73,242.89,241.56,242.58
1783537200000,242.69,244.4,242.3,243.83
1783540800000,243.8,243.96,243.01,243.11
1783544400000,243.04,243.11,242.78,243.09
1783548000000,243.0,243.2,242.83,243.01
1783551600000,243.02,243.21,242.93,243.2
1783555200000,243.3,243.6,243.0,243.44
1783558800000,243.5,243.59,243.13,243.29
1783562400000,243.29,243.78,243.17,243.34
1783566000000,243.25,243.74,243.16,243.67
1783569600000,243.7,244.0,243.65,243.96
1783573200000,243.96,244.31,243.62,244.24
1783576800000,244.24,244.24,243.67,243.82
1783580400000,243.84,243.86,243.6,243.72
1783584000000,243.73,243.91,242.9,243.04
1783587600000,243.04,243.46,242.97,243.39
1783591200000,243.38,243.45,241.73,242.11
1783594800000,242.18,242.21,240.71,241.07
1783598400000,241.12,241.39,239.06,240.02
1783602000000,240.0,243.32,238.48,242.84
1783605600000,242.95,243.03,239.5,241.4
1783609200000,241.44,242.07,241.31,241.75
1783612800000,241.87,242.93,241.15,242.26
1783616400000,242.36,244.62,242.36,243.79
1783620000000,243.82,245.21,243.82,244.45
1783623600000,244.42,247.36,244.32,247.02
1783627200000,247.08,247.14,246.23,246.46
1783630800000,246.41,246.64,246.31,246.64
1783634400000,246.72,246.72,246.41,246.57
1783638000000,246.58,246.69,246.43,246.69
1783641600000,246.61,246.86,246.12,246.38
1783645200000,246.38,246.69,246.28,246.63
1783648800000,246.56,246.71,246.4,246.69
1783652400000,246.63,246.75,246.58,246.59
1783656000000,246.66,246.69,246.48,246.48
1783659600000,246.51,246.66,246.42,246.56
1783663200000,246.55,246.81,246.55,246.79
1783666800000,246.78,247.46,246.68,246.84
1783670400000,246.83,248.39,246.64,247.53
1783674000000,247.57,248.25,247.29,247.52
1783677600000,247.6,248.57,247.45,247.45
1783681200000,247.59,247.66,246.88,247.12
1783684800000,247.11,248.43,247.0,248.18
1783688400000,248.23,251.38,246.02,246.02
1783692000000,246.05,246.86,244.66,245.69
1783695600000,245.61,246.82,244.76,246.43
1783699200000,246.41,246.68,245.69,246.06
1783702800000,246.11,246.11,244.52,245.07
1783706400000,245.07,245.85,244.86,245.34
1783710000000,245.36,246.08,245.23,245.41
1783713600000,245.44,245.9,245.37,245.87
1783717200000,245.85,246.0,245.77,245.77
1783720800000,245.73,245.76,245.61,245.67
1783724400000,245.7,245.79,245.63,245.73
1783728000000,245.75,245.82,245.67,245.75
1783731600000,245.7,245.99,245.67,245.72
1783735200000,245.72,245.76,245.63,245.76
1783738800000,245.77,246.02,245.76,245.87
1783742400000,245.9,245.95,245.72,245.73
1783746000000,245.82,245.86,245.78,245.86
1783749600000,245.87,246.04,245.78,245.95
1783753200000,245.95,246.12,245.9,246.1
1783756800000,246.1,246.1,245.96,246.01
