t,o,h,l,c
1783209600000,96.88,96.88,96.835,96.835
1783213200000,96.835,96.835,96.803,96.803
1783216800000,96.837,96.837,96.803,96.803
1783220400000,96.775,96.775,96.774,96.774
1783224000000,96.774,96.774,96.774,96.774
1783227600000,96.946,96.947,96.946,96.947
1783231200000,96.947,96.947,96.947,96.947
1783234800000,96.964,96.964,96.964,96.964
1783238400000,97.078,97.119,97.069,97.089
1783242000000,97.001,97.001,96.847,96.847
1783245600000,96.806,96.835,96.726,96.801
1783249200000,96.801,96.801,96.781,96.8
1783252800000,96.959,97.06,96.959,97.06
1783256400000,96.941,96.941,96.649,96.7
1783260000000,96.751,96.859,96.751,96.859
1783263600000,96.888,96.888,96.64,96.64
1783267200000,96.701,96.765,96.683,96.761
1783270800000,96.743,96.918,96.621,96.828
1783274400000,96.677,96.778,96.621,96.621
1783278000000,96.621,96.716,96.621,96.621
1783281600000,96.621,97.007,96.6,96.956
1783285200000,97.046,97.136,96.956,97.099
1783288800000,97.012,97.121,96.816,97.119
1783292400000,96.938,97.058,96.891,96.931
1783296000000,96.75,98.024,96.75,97.484
1783299600000,97.483,97.483,94.704,96.074
1783303200000,96.392,99.234,96.392,98.56
1783306800000,98.626,98.626,97.616,97.616
1783310400000,97.782,97.815,97.693,97.742
1783314000000,97.48,97.695,97.173,97.173
1783317600000,97.061,97.551,96.933,97.462
1783321200000,97.537,97.857,96.979,97.857
1783324800000,97.713,98.009,97.578,97.933
1783328400000,98.024,98.06,97.637,97.719
1783332000000,97.651,97.943,97.581,97.828
1783335600000,97.494,97.747,97.369,97.376
1783339200000,97.443,97.768,97.119,97.119
1783342800000,97.023,98.084,96.843,97.136
1783346400000,97.258,97.302,96.539,96.623
1783350000000,97.019,97.974,96.92,97.901
1783353600000,97.851,97.851,97.529,97.529
1783357200000,97.581,97.736,97.533,97.572
1783360800000,97.409,97.674,97.37,97.674
1783364400000,97.803,98.069,97.731,98.018
1783368000000,98.053,98.202,97.967,98.111
1783371600000,98.178,98.233,98.061,98.061
1783375200000,98.158,98.239,98.072,98.239
1783378800000,98.34,98.388,98.256,98.273
1783382400000,98.261,98.261,97.866,97.866
1783386000000,97.91,101.29,97.792,100.4
1783389600000,100.33,102.46,99.385,99.555
1783393200000,99.977,100.06,98.841,98.841
1783396800000,99.072,99.218,99.072,99.081
1783400400000,99.092,99.092,98.187,98.187
1783404000000,98.195,98.195,97.834,98.004
1783407600000,97.641,97.892,97.376,97.771
1783411200000,97.841,98.239,97.734,97.914
1783414800000,97.904,97.946,97.789,97.86
1783418400000,97.85,97.949,96.798,97.297
1783422000000,97.437,97.776,96.056,96.719
1783425600000,96.655,96.99,96.655,96.826
1783429200000,97.018,99.823,97.018,99.148
1783432800000,98.991,99.128,97.977,98.552
1783436400000,98.277,98.277,97.564,97.698
1783440000000,97.683,98.117,97.681,98.053
1783443600000,98.034,98.54,97.906,98.471
1783447200000,98.422,98.51,98.078,98.092
1783450800000,98.024,98.132,97.739,97.988
1783454400000,98.034,98.384,98.019,98.151
1783458000000,98.177,98.31,98.136,98.138
1783461600000,98.229,98.288,98.144,98.177
1783465200000,98.176,98.231,98.113,98.15
1783468800000,98.246,98.704,98.117,98.189
1783472400000,98.314,101.22,98.141,101.04
1783476000000,101.02,101.49,100.42,100.88
1783479600000,101.15,106.98,101.15,105.53
1783483200000,105.45,105.65,104.54,105.12
1783486800000,105.29,110.09,105.11,109.17
1783490400000,109.15,110.77,108.47,108.85
1783494000000,108.92,110.36,108.13,109.77
1783497600000,109.69,109.69,107.0,107.61
1783501200000,107.55,108.22,106.59,107.93
1783504800000,107.9,108.27,107.47,107.79
1783508400000,107.73,107.73,106.73,107.12
1783512000000,107.04,107.24,105.97,106.83
1783515600000,106.87,108.48,105.78,108.42
1783519200000,108.49,109.22,108.01,108.22
1783522800000,108.45,109.04,108.22,108.72
1783526400000,108.77,109.23,108.77,108.8
1783530000000,108.79,109.8,108.77,109.24
1783533600000,109.09,109.6,109.09,109.35
1783537200000,109.31,109.54,108.89,109.01
1783540800000,108.99,109.45,108.98,109.37
1783544400000,109.51,110.26,109.39,110.12
1783548000000,110.16,110.82,110.16,110.51
1783551600000,110.31,110.4,109.39,110.07
1783555200000,109.99,110.03,109.44,109.93
1783558800000,109.81,114.42,109.72,114.36
1783562400000,114.33,114.78,111.9,111.9
1783566000000,111.84,112.0,110.67,110.91
1783569600000,111.2,111.24,110.72,110.81
1783573200000,111.0,111.83,109.9,110.43
1783576800000,110.42,111.39,109.49,110.87
1783580400000,110.7,110.93,109.68,109.81
1783584000000,109.86,110.22,109.45,109.5
1783587600000,109.48,109.53,108.63,109.23
1783591200000,109.16,109.44,108.72,108.84
1783594800000,108.89,109.56,108.67,109.39
1783598400000,109.34,109.47,109.07,109.26
1783602000000,109.25,111.03,108.89,110.49
1783605600000,110.67,111.84,110.34,111.58
1783609200000,111.56,111.9,111.45,111.75
1783612800000,111.81,111.81,111.17,111.19
1783616400000,111.33,111.97,111.24,111.85
1783620000000,111.82,112.16,111.49,111.49
1783623600000,111.56,111.61,111.14,111.26
1783627200000,111.27,111.63,111.1,111.58
1783630800000,111.55,111.58,111.22,111.38
1783634400000,111.47,111.7,111.47,111.68
1783638000000,111.9,111.9,111.72,111.82
1783641600000,111.99,112.07,110.67,111.08
1783645200000,111.22,114.93,110.96,113.78
1783648800000,113.58,114.9,113.13,113.86
1783652400000,113.97,114.94,113.96,113.96
1783656000000,114.13,114.13,113.94,114.11
1783659600000,114.13,114.13,112.47,113.15
1783663200000,112.97,113.54,112.95,113.1
1783666800000,112.99,113.23,112.14,112.27
1783670400000,112.31,112.71,112.2,112.42
1783674000000,112.45,113.63,112.45,113.44
1783677600000,113.6,113.93,113.48,113.75
1783681200000,113.85,113.94,113.39,113.42
1783684800000,113.41,113.62,113.3,113.61
1783688400000,113.51,114.7,112.97,114.59
1783692000000,114.59,115.59,113.24,113.53
1783695600000,113.44,113.46,112.64,112.7
1783699200000,112.73,113.19,112.65,113.11
1783702800000,113.16,113.16,112.44,112.5
1783706400000,112.45,112.65,112.16,112.6
1783710000000,112.64,112.74,112.06,112.32
1783713600000,112.37,112.56,112.35,112.47
1783717200000,112.4,112.66,112.39,112.64
1783720800000,112.51,112.75,112.47,112.49
1783724400000,112.43,112.75,112.4,112.5
1783728000000,112.57,112.76,112.41,112.44
1783731600000,112.46,112.7,112.46,112.7
1783735200000,112.55,112.67,112.47,112.66
1783738800000,112.49,112.8,112.47,112.58
1783742400000,112.63,112.77,112.49,112.66
1783746000000,112.54,112.93,112.47,112.77
1783749600000,112.85,112.98,112.57,112.81
1783753200000,112.76,113.01,112.58,112.75
1783756800000,112.96,112.96,112.68,112.68
1783760400000,112.69,112.79,112.69,112.69
1783764000000,112.77,112.92,112.77,112.92
1783767600000,112.76,112.76,112.67,112.68
1783771200000,112.76,112.88,112.71,112.81
1783774800000,112.84,112.94,112.77,112.91
1783778400000,112.92,113.0,112.81,112.88
1783782000000,112.87,112.89,112.67,112.72
1783785600000,112.67,112.69,112.58,112.58
1783789200000,112.58,112.6,112.58,112.6
1783792800000,112.7,112.7,112.69,112.69
1783796400000,112.83,112.83,112.73,112.73
1783800000000,112.78,112.78,112.73,112.73
1783803600000,112.79,112.87,112.75,112.79
1783807200000,112.88,113.39,112.88,112.98
1783810800000,113.01,113.3,113.0,113.08
1783814400000,113.08,113.42,113.08,113.27
1783818000000,113.27,113.4,113.27,113.35
1783821600000,113.3,113.33,113.17,113.23
1783825200000,113.26,113.31,113.26,113.27
1783828800000,113.28,113.28,113.15,113.17
1783832400000,113.18,113.18,113.08,113.12
1783836000000,113.08,113.08,112.94,113.03
1783839600000,113.11,113.13,113.07,113.07
1783843200000,113.03,113.19,113.03,113.19
1783846800000,113.18,113.18,113.03,113.03
1783850400000,113.03,113.04,113.03,113.03
1783854000000,113.03,113.09,113.03,113.08
1783857600000,113.1,113.11,113.09,113.11
1783861200000,113.11,113.11,112.78,112.78
1783864800000,112.78,113.1,112.73,113.1
1783868400000,113.04,113.07,113.03,113.05
1783872000000,113.06,113.06,112.88,112.88
1783875600000,112.9,112.9,112.85,112.85
1783879200000,112.88,112.88,112.84,112.84
1783882800000,112.86,112.9,112.86,112.87
1783886400000,112.91,113.07,112.87,112.88
1783890000000,112.85,113.13,112.63,113.11
1783893600000,113.01,113.13,112.9,112.93
1783897200000,112.93,112.93,112.66,112.66
1783900800000,112.64,112.94,111.99,112.24
1783904400000,112.05,117.08,111.89,115.67
1783908000000,115.87,116.38,113.66,113.8
1783911600000,113.8,114.13,113.26,113.28
1783915200000,113.17,113.26,113.11,113.21
1783918800000,113.2,114.75,113.04,113.84
1783922400000,113.63,113.63,112.91,113.19
1783926000000,113.08,113.37,112.87,113.04
1783929600000,113.05,113.51,113.05,113.19
1783933200000,113.25,113.28,112.71,112.71
1783936800000,112.72,113.18,112.72,113.18
1783940400000,113.0,113.0,112.72,112.73
1783944000000,112.71,112.71,111.95,112.46
1783947600000,112.48,114.18,112.32,114.0
1783951200000,113.8,113.88,112.55,113.38
1783954800000,113.53,113.53,113.06,113.14
1783958400000,113.13,113.48,112.65,112.74
1783962000000,113.01,113.18,112.52,112.63
1783965600000,112.63,112.81,112.44,112.81
1783969200000,112.8,112.88,111.86,112.3
1783972800000,112.4,112.47,111.9,112.07
1783976400000,112.04,112.07,111.95,112.05
1783980000000,112.07,112.1,111.91,111.93
1783983600000,111.92,112.07,111.91,112.03
1783987200000,111.99,112.69,111.86,112.69
1783990800000,112.71,113.23,109.31,109.92
1783994400000,109.96,112.57,109.96,110.87
1783998000000,110.97,111.26,109.98,110.76
1784001600000,110.77,110.91,110.68,110.83
1784005200000,111.04,113.53,111.04,113.27
1784008800000,113.76,114.52,113.16,113.28
1784012400000,113.25,114.02,113.2,113.39
1784016000000,113.35,113.41,113.0,113.13
1784019600000,113.11,113.25,113.1,113.1
1784023200000,113.14,113.15,112.86,112.9
1784026800000,112.8,112.85,111.94,112.17
1784030400000,112.1,113.61,112.1,112.48
1784034000000,112.44,113.12,111.38,111.97
1784037600000,111.9,113.34,111.87,113.17
1784041200000,113.09,113.27,112.4,112.85
1784044800000,112.82,113.12,112.42,112.58
1784048400000,112.53,112.55,112.34,112.52
1784052000000,112.46,112.7,112.39,112.59
1784055600000,112.48,112.65,112.29,112.54
1784059200000,112.29,112.72,112.29,112.71
1784062800000,112.71,112.75,112.61,112.71
1784066400000,112.67,112.75,112.6,112.75
1784070000000,112.69,112.74,112.61,112.68
1784073600000,112.7,112.94,112.67,112.84
1784077200000,112.88,116.18,111.71,116.08
1784080800000,116.1,116.65,114.04,114.37
1784084400000,114.19,116.93,114.19,116.49
1784088000000,116.42,116.58,116.35,116.51
1784091600000,115.98,116.51,115.22,116.46
1784095200000,116.32,116.56,115.56,115.87
1784098800000,115.87,116.16,115.4,115.67
1784102400000,115.66,118.63,115.41,118.57
1784106000000,118.67,119.37,117.61,117.97
1784109600000,117.91,118.53,117.1,117.13
1784113200000,117.13,117.18,116.35,116.44
1784116800000,116.47,117.14,116.41,117.09
1784120400000,117.0,120.94,116.95,120.83
1784124000000,120.82,121.27,119.09,119.29
1784127600000,119.34,119.45,118.59,118.76
1784131200000,118.9,118.98,118.46,118.87
1784134800000,119.0,119.1,118.55,118.9
1784138400000,118.89,118.94,117.81,117.81
1784142000000,118.03,118.05,117.62,117.82
1784145600000,117.77,118.24,117.76,118.18
1784149200000,118.16,118.79,118.16,118.57
1784152800000,118.58,118.92,118.58,118.59
1784156400000,118.62,118.78,118.62,118.73
1784160000000,118.7,118.83,118.12,118.43
1784163600000,118.38,121.69,118.38,119.79
1784167200000,119.84,121.38,119.35,120.77
1784170800000,120.79,122.0,120.62,121.18
1784174400000,121.01,121.28,120.87,121.19
1784178000000,121.08,121.63,120.26,120.43
1784181600000,120.46,120.47,118.58,119.61
1784185200000,119.6,119.98,119.16,119.32
1784188800000,119.3,119.64,118.97,119.57
1784192400000,119.54,119.55,118.9,119.19
1784196000000,119.18,119.35,119.01,119.15
1784199600000,119.14,119.25,118.91,119.09
1784203200000,119.08,119.12,118.29,118.45
1784206800000,118.46,120.0,118.08,118.85
1784210400000,118.88,119.24,118.48,118.8
1784214000000,118.83,119.35,118.47,118.64
1784217600000,118.67,118.71,117.97,118.61
1784221200000,118.61,118.61,118.13,118.23
1784224800000,118.24,118.49,118.07,118.38
1784228400000,118.37,118.37,117.6,117.63
1784232000000,117.73,117.8,117.35,117.42
1784235600000,117.39,117.69,117.38,117.68
1784239200000,117.7,117.86,117.57,117.62
1784242800000,117.59,117.66,117.35,117.56
1784246400000,117.65,117.72,117.43,117.65
1784250000000,117.7,119.98,116.02,117.29
1784253600000,117.31,117.36,115.2,115.52
1784257200000,115.52,116.6,114.91,115.14
1784260800000,115.13,115.14,113.82,114.01
1784264400000,114.01,115.05,112.96,114.37
1784268000000,114.42,115.8,114.13,114.29
1784271600000,114.23,114.74,114.01,114.45
1784275200000,114.44,115.06,114.06,114.58
1784278800000,114.57,114.91,114.37,114.8
1784282400000,114.81,115.42,114.81,115.17
1784286000000,115.19,115.51,114.97,115.27
1784289600000,115.25,115.69,115.02,115.43
1784293200000,115.43,115.49,114.05,115.24
1784296800000,115.26,115.57,114.67,114.86
1784300400000,114.54,115.71,114.23,115.49
1784304000000,115.5,115.93,115.32,115.51
1784307600000,115.59,115.73,115.43,115.47
1784311200000,115.42,115.6,115.09,115.6
1784314800000,115.54,115.62,115.06,115.09
1784318400000,115.08,115.23,115.02,115.12
1784322000000,115.03,115.17,115.03,115.12
1784325600000,115.15,115.34,115.12,115.31
1784329200000,115.1,115.13,115.1,115.12
