t,o,h,l,c
1783209600000,278.81,278.81,278.59,278.69
1783213200000,278.18,278.98,277.22,277.22
1783216800000,277.9,277.9,277.73,277.73
1783220400000,277.53,277.53,277.53,277.53
1783224000000,277.64,277.64,277.64,277.64
1783227600000,278.36,278.36,278.36,278.36
1783231200000,277.05,277.05,275.71,275.71
1783234800000,275.53,275.53,275.53,275.53
1783238400000,275.41,275.97,275.41,275.97
1783242000000,275.97,275.97,275.97,275.97
1783245600000,276.65,279.86,276.65,279.86
1783249200000,279.88,280.79,279.37,280.79
1783252800000,280.26,280.26,279.58,279.81
1783256400000,279.61,279.89,279.53,279.53
1783260000000,279.7,280.07,278.84,279.47
1783263600000,280.78,282.85,280.34,281.65
1783267200000,281.7,282.12,280.49,280.49
1783270800000,280.49,285.28,280.49,283.13
1783274400000,282.89,284.18,282.88,284.08
1783278000000,283.76,283.76,282.04,282.94
1783281600000,283.24,283.29,282.5,282.5
1783285200000,282.97,284.39,282.97,284.21
1783288800000,283.69,284.83,283.19,283.19
1783292400000,283.49,286.16,283.14,285.6
1783296000000,285.08,285.55,276.12,279.6
1783299600000,279.29,280.5,277.46,278.93
1783303200000,278.5,279.91,277.44,277.59
1783306800000,277.99,279.09,277.97,278.76
1783310400000,278.95,280.26,278.95,280.06
1783314000000,280.57,281.12,279.83,280.19
1783317600000,280.72,282.09,280.07,282.0
1783321200000,282.1,283.06,282.1,282.48
1783324800000,282.55,282.82,280.09,282.4
1783328400000,281.38,281.67,280.96,280.96
1783332000000,281.51,282.34,281.05,281.85
1783335600000,281.33,281.38,280.63,281.37
1783339200000,280.76,282.13,280.73,281.74
1783342800000,281.41,303.57,277.3,303.57
1783346400000,303.33,304.87,297.28,298.23
1783350000000,297.83,299.87,294.1,294.97
1783353600000,295.01,298.24,291.62,291.93
1783357200000,291.94,296.06,288.24,289.33
1783360800000,289.34,295.1,287.05,287.74
1783364400000,287.61,295.1,287.5,294.93
1783368000000,294.31,295.16,293.93,294.36
1783371600000,294.37,296.29,293.87,296.29
1783375200000,296.0,296.61,295.59,295.77
1783378800000,295.86,295.9,290.01,291.71
1783382400000,291.13,291.84,287.0,290.32
1783386000000,289.75,291.05,287.0,290.39
1783389600000,289.7,290.47,287.0,287.59
1783393200000,287.03,287.18,281.11,281.29
1783396800000,282.98,285.2,281.0,282.72
1783400400000,282.72,287.28,280.5,286.94
1783404000000,286.84,286.84,285.12,286.18
1783407600000,286.43,287.41,285.94,286.63
1783411200000,285.43,285.91,282.37,282.37
1783414800000,282.11,283.12,281.21,281.63
1783418400000,282.16,285.1,282.16,284.43
1783422000000,284.44,284.6,281.74,283.93
1783425600000,284.52,286.99,282.76,283.09
1783429200000,281.69,291.25,275.94,277.98
1783432800000,277.52,278.57,262.4,266.05
1783436400000,266.1,268.84,261.88,264.62
1783440000000,264.59,270.31,264.59,268.5
1783443600000,268.81,271.55,266.99,270.98
1783447200000,271.62,272.48,265.99,266.08
1783450800000,265.77,269.8,263.06,269.8
1783454400000,269.4,273.23,269.26,270.21
1783458000000,270.43,270.43,267.58,268.64
1783461600000,267.91,269.26,267.91,268.69
1783465200000,268.9,268.9,265.09,265.09
1783468800000,265.84,273.25,264.4,273.25
1783472400000,273.01,274.0,271.24,271.83
1783476000000,270.14,272.64,270.08,272.64
1783479600000,272.5,273.78,272.11,272.38
1783483200000,272.08,272.71,269.57,270.16
1783486800000,270.86,270.86,266.8,267.37
1783490400000,266.71,267.16,263.98,263.98
1783494000000,262.61,265.72,262.6,264.74
1783497600000,265.24,266.04,252.55,254.13
1783501200000,254.05,255.08,250.61,254.7
1783504800000,254.67,257.7,252.96,257.11
1783508400000,256.58,261.37,255.29,261.08
1783512000000,261.47,265.63,260.94,262.97
1783515600000,263.22,269.65,257.0,266.81
1783519200000,266.66,266.66,250.0,250.8
1783522800000,250.89,250.89,243.08,246.38
1783526400000,246.96,251.85,245.76,246.56
1783530000000,244.18,250.09,235.35,245.85
1783533600000,245.41,253.15,243.38,251.37
1783537200000,251.78,255.35,248.06,254.59
1783540800000,254.31,256.06,252.09,252.6
1783544400000,253.1,254.41,250.89,253.7
1783548000000,253.43,253.93,253.3,253.87
1783551600000,252.97,254.21,251.47,253.87
1783555200000,253.85,256.27,253.57,255.14
1783558800000,254.32,256.56,254.27,255.25
1783562400000,253.25,254.87,251.65,251.81
1783566000000,252.11,252.96,250.27,252.92
1783569600000,252.95,254.31,252.95,253.85
1783573200000,253.82,256.81,253.69,256.81
1783576800000,257.31,260.53,256.76,260.31
1783580400000,260.24,262.2,260.2,261.94
1783584000000,261.52,268.4,260.51,263.92
1783587600000,263.72,267.08,263.1,265.8
1783591200000,265.6,265.63,263.48,263.92
1783594800000,263.78,266.56,261.74,263.41
1783598400000,263.68,271.54,263.45,270.6
