t,o,h,l,c
1783209600000,173.09,173.28,172.69,172.85
1783213200000,172.93,173.09,172.67,172.99
1783216800000,172.97,173.1,172.15,172.41
1783220400000,172.47,172.57,171.69,172.03
1783224000000,171.97,172.58,171.9,172.14
1783227600000,172.09,172.21,171.94,172.18
1783231200000,172.01,172.53,171.98,172.53
1783234800000,172.56,173.17,172.36,173.04
1783238400000,173.13,173.55,172.85,172.96
1783242000000,173.01,173.12,171.75,172.34
1783245600000,172.21,172.88,172.12,172.88
1783249200000,172.94,173.12,172.14,172.45
1783252800000,172.48,172.71,172.08,172.49
1783256400000,172.46,172.8,172.23,172.63
1783260000000,172.65,172.65,172.14,172.61
1783263600000,172.67,172.85,172.12,172.43
1783267200000,172.39,172.84,171.79,172.43
1783270800000,172.48,172.52,172.02,172.23
1783274400000,172.09,172.9,172.08,172.69
1783278000000,172.54,172.74,172.47,172.69
1783281600000,172.75,172.95,172.54,172.6
1783285200000,172.46,173.23,171.98,173.15
1783288800000,172.94,175.09,172.8,174.37
1783292400000,174.48,175.09,174.28,174.28
1783296000000,174.43,174.43,169.46,170.67
1783299600000,170.7,170.97,169.41,169.74
1783303200000,170.03,170.09,168.96,168.96
1783306800000,169.7,169.71,168.63,168.98
1783310400000,169.15,169.7,169.15,169.3
1783314000000,169.16,169.18,168.29,168.97
1783317600000,168.75,169.07,168.56,168.56
1783321200000,168.39,169.58,168.38,169.58
1783324800000,169.61,170.85,169.5,170.12
1783328400000,170.13,170.13,168.54,168.89
1783332000000,168.96,169.63,168.2,168.6
1783335600000,168.21,168.46,166.94,166.94
1783339200000,166.95,167.21,163.81,164.54
1783342800000,164.37,165.56,160.27,164.13
1783346400000,164.03,165.33,162.62,164.36
1783350000000,164.33,169.83,164.0,169.47
1783353600000,169.35,170.71,168.68,170.08
1783357200000,170.17,171.75,168.38,168.57
1783360800000,168.63,169.7,168.34,168.96
1783364400000,168.97,170.66,168.74,168.87
1783368000000,168.88,169.74,168.57,169.48
1783371600000,169.42,171.07,169.35,170.93
1783375200000,170.83,170.95,169.98,169.98
1783378800000,170.0,170.28,169.62,169.79
1783382400000,169.82,170.22,168.97,169.4
1783386000000,169.06,169.18,168.4,168.43
1783389600000,168.61,168.69,167.43,167.43
1783393200000,167.7,167.7,166.02,166.19
1783396800000,165.96,166.49,165.91,166.11
1783400400000,166.21,166.89,165.3,166.89
1783404000000,166.77,167.31,166.07,167.31
1783407600000,167.1,167.56,166.71,166.81
1783411200000,166.71,167.57,165.14,166.26
1783414800000,165.99,168.66,165.99,168.35
1783418400000,168.77,168.95,167.32,167.58
1783422000000,167.32,168.69,167.1,168.5
1783425600000,168.59,170.03,168.21,168.22
1783429200000,168.32,170.08,164.59,165.46
1783432800000,165.43,165.7,161.77,164.77
