t,o,h,l,c
1783209600000,6.2494,6.2512,6.2465,6.2512
1783213200000,6.2521,6.2521,6.2476,6.2511
1783216800000,6.2516,6.2517,6.2476,6.2511
1783220400000,6.2511,6.253,6.2426,6.2487
1783224000000,6.2508,6.2508,6.24,6.2472
1783227600000,6.2479,6.2495,6.2479,6.2495
1783231200000,6.2489,6.2519,6.2488,6.2493
1783234800000,6.2479,6.2519,6.2448,6.2519
1783238400000,6.252,6.2569,6.2513,6.2542
1783242000000,6.2502,6.2537,6.2354,6.2425
1783245600000,6.242,6.2563,6.242,6.2563
1783249200000,6.2534,6.2537,6.2502,6.2537
1783252800000,6.253,6.253,6.243,6.2475
1783256400000,6.2467,6.2516,6.2467,6.2469
1783260000000,6.2491,6.2505,6.2468,6.2468
1783263600000,6.2469,6.2469,6.2468,6.2468
1783267200000,6.2468,6.2469,6.2398,6.241
1783270800000,6.2412,6.2486,6.2338,6.2429
1783274400000,6.2434,6.2481,6.243,6.2447
1783278000000,6.2447,6.246,6.2428,6.244
1783281600000,6.2475,6.2501,6.2454,6.2476
1783285200000,6.2475,6.2475,6.2318,6.2375
1783288800000,6.2374,6.3198,6.2202,6.2385
1783292400000,6.2382,6.2515,6.2361,6.2361
1783296000000,6.2367,6.2584,6.229,6.249
1783299600000,6.2479,6.2637,6.2421,6.2421
1783303200000,6.2434,6.246,6.2117,6.214
1783306800000,6.2158,6.2289,6.2081,6.2139
1783310400000,6.2147,6.2147,6.205,6.2136
1783314000000,6.2161,6.2285,6.2093,6.2179
1783317600000,6.2195,6.2275,6.2096,6.2119
1783321200000,6.2116,6.2571,6.2116,6.2571
1783324800000,6.2569,6.2576,6.2201,6.2284
1783328400000,6.2262,6.2312,6.2139,6.2165
1783332000000,6.2169,6.2322,6.2137,6.2305
1783335600000,6.229,6.2385,6.2178,6.2236
1783339200000,6.2244,6.2309,6.1755,6.1776
1783342800000,6.1821,6.2145,6.1734,6.2107
1783346400000,6.2122,6.2333,6.1998,6.2064
1783350000000,6.2077,6.2402,6.2077,6.2267
1783353600000,6.2275,6.2397,6.2201,6.2342
1783357200000,6.2355,6.2494,6.2355,6.2453
1783360800000,6.2432,6.2544,6.2416,6.2538
1783364400000,6.2529,6.257,6.2491,6.2556
1783368000000,6.2556,6.2556,6.2439,6.2439
1783371600000,6.2441,6.2552,6.2441,6.2503
1783375200000,6.2491,6.254,6.2445,6.2464
1783378800000,6.247,6.247,6.2365,6.2375
1783382400000,6.2357,6.2455,6.2333,6.2333
1783386000000,6.2234,6.2561,6.2154,6.255
1783389600000,6.253,6.2719,6.2282,6.2304
1783393200000,6.2298,6.2354,6.2071,6.2134
1783396800000,6.2111,6.2193,6.1992,6.2021
1783400400000,6.2022,6.2143,6.1879,6.211
1783404000000,6.2126,6.2239,6.1963,6.219
1783407600000,6.2231,6.2258,6.2121,6.2121
1783411200000,6.2126,6.239,6.2126,6.2306
1783414800000,6.233,6.25,6.233,6.2431
1783418400000,6.2428,6.2466,6.2263,6.2364
1783422000000,6.2355,6.2382,6.2227,6.2378
1783425600000,6.2383,6.2482,6.2267,6.2302
1783429200000,6.2357,6.2791,6.2313,6.2445
1783432800000,6.2502,6.2669,6.2296,6.2407
1783436400000,6.2393,6.2411,6.2084,6.22
1783440000000,6.218,6.2392,6.2146,6.23
1783443600000,6.2285,6.2285,6.2112,6.2136
1783447200000,6.2151,6.2166,6.1929,6.1954
1783450800000,6.1938,6.1938,6.17,6.1924
1783454400000,6.1935,6.1945,6.1746,6.1766
1783458000000,6.1752,6.21,6.17,6.193
1783461600000,6.1922,6.1922,6.1735,6.1745
1783465200000,6.1745,6.175,6.1668,6.1668
1783468800000,6.1699,6.1873,6.165,6.1873
1783472400000,6.1873,6.195,6.1749,6.1914
1783476000000,6.193,6.2,6.1832,6.1935
1783479600000,6.1953,6.2219,6.1953,6.2158
1783483200000,6.2096,6.2163,6.2078,6.2078
1783486800000,6.2106,6.2197,6.2038,6.2165
1783490400000,6.2152,6.2248,6.1915,6.1915
1783494000000,6.1925,6.1927,6.1587,6.1724
1783497600000,6.1706,6.1812,6.1,6.1006
1783501200000,6.0988,6.1012,6.0749,6.0951
1783504800000,6.0959,6.1047,6.0859,6.0873
1783508400000,6.0833,6.0942,6.0683,6.0881
1783512000000,6.0844,6.1056,6.0738,6.0944
1783515600000,6.0945,6.1141,6.0815,6.1054
1783519200000,6.1054,6.115,6.0866,6.0884
1783522800000,6.0887,6.09,6.0681,6.074
