t,o,h,l,c
1783209600000,67.612,67.632,67.297,67.532
1783213200000,67.531,67.89,67.381,67.89
1783216800000,67.88,67.899,67.521,67.75
1783220400000,67.75,67.84,67.586,67.819
1783224000000,67.822,68.321,67.753,67.997
1783227600000,68.081,68.116,67.856,67.98
1783231200000,67.943,68.114,67.885,67.996
1783234800000,68.01,68.351,67.964,68.306
1783238400000,68.333,68.431,68.143,68.392
1783242000000,68.309,68.363,67.635,67.758
1783245600000,67.711,67.97,67.514,67.929
1783249200000,67.929,68.03,67.808,67.866
1783252800000,67.854,68.213,67.809,68.193
1783256400000,68.19,68.342,68.065,68.276
1783260000000,68.3,68.4,68.129,68.372
1783263600000,68.333,68.518,68.19,68.192
1783267200000,68.232,68.363,68.13,68.235
1783270800000,68.226,68.478,68.148,68.292
1783274400000,68.302,68.577,68.27,68.523
1783278000000,68.519,68.75,68.415,68.626
1783281600000,68.603,68.69,68.396,68.606
1783285200000,68.572,69.544,68.5,69.474
1783288800000,69.435,70.505,69.219,69.881
1783292400000,69.861,70.209,68.949,69.24
1783296000000,69.17,69.17,67.632,68.329
1783299600000,68.099,68.106,66.754,66.984
1783303200000,67.026,67.106,66.6,66.93
1783306800000,66.958,67.1,66.427,66.579
1783310400000,66.621,67.013,66.5,66.848
1783314000000,66.799,66.98,66.604,66.894
1783317600000,66.887,66.934,66.65,66.752
1783321200000,66.779,67.61,66.714,67.579
1783324800000,67.492,67.829,66.806,67.434
1783328400000,67.41,67.41,66.777,66.847
1783332000000,66.826,67.176,66.5,66.86
1783335600000,66.819,66.921,66.2,66.222
1783339200000,66.222,66.244,64.648,65.097
1783342800000,65.097,66.948,63.229,66.416
1783346400000,66.488,66.502,65.014,66.459
1783350000000,66.514,69.579,66.325,69.13
1783353600000,69.123,69.792,68.728,68.883
1783357200000,68.838,69.539,68.129,68.183
1783360800000,68.243,68.734,68.089,68.261
1783364400000,68.256,70.0,68.256,68.716
1783368000000,68.723,69.2,68.618,68.872
1783371600000,68.842,69.4,68.776,69.239
1783375200000,69.22,69.277,68.647,68.647
1783378800000,68.644,68.762,68.143,68.298
1783382400000,68.458,68.986,68.331,68.655
1783386000000,68.598,68.632,67.764,67.992
1783389600000,67.91,68.024,67.263,67.473
1783393200000,67.576,67.78,67.101,67.161
1783396800000,67.268,67.401,67.0,67.228
1783400400000,67.321,67.719,66.677,67.556
1783404000000,67.566,68.226,67.291,68.153
1783407600000,68.12,68.338,67.829,67.829
1783411200000,67.84,68.26,67.62,68.26
1783414800000,68.118,68.785,68.098,68.646
1783418400000,68.703,68.865,68.245,68.284
1783422000000,68.277,68.863,68.02,68.729
1783425600000,68.778,69.058,68.198,68.329
1783429200000,68.303,69.073,66.829,67.419
1783432800000,67.445,67.856,64.776,66.46
1783436400000,66.348,66.747,65.835,66.602
1783440000000,66.608,67.456,66.55,67.107
1783443600000,67.083,67.485,66.519,67.303
1783447200000,67.248,67.252,65.047,65.047
1783450800000,65.047,65.543,64.615,65.166
1783454400000,65.189,65.492,65.062,65.409
1783458000000,65.416,65.532,65.149,65.198
1783461600000,65.219,65.28,64.948,65.246
1783465200000,65.254,65.466,65.12,65.166
1783468800000,65.198,66.26,65.139,65.993
1783472400000,65.956,65.976,65.0,65.451
1783476000000,65.451,65.984,65.143,65.878
1783479600000,65.925,66.143,65.5,65.5
1783483200000,65.467,65.477,64.991,65.298
1783486800000,65.395,65.623,64.982,65.18
1783490400000,65.158,65.211,64.729,64.995
1783494000000,64.976,65.285,64.798,65.176
