t,o,h,l,c
1783209600000,84.347,84.596,84.256,84.516
1783213200000,84.554,84.652,84.418,84.635
1783216800000,84.63,84.778,84.591,84.757
1783220400000,84.76,84.922,84.674,84.902
1783224000000,84.921,84.95,84.499,84.884
1783227600000,84.924,84.95,84.823,84.844
1783231200000,84.837,84.9,84.733,84.9
1783234800000,84.931,84.95,84.85,84.886
1783238400000,84.886,84.95,84.841,84.95
1783242000000,84.95,84.962,84.764,84.861
1783245600000,84.831,85.133,84.691,85.133
1783249200000,85.15,85.297,85.099,85.155
1783252800000,85.1,85.274,84.951,85.273
1783256400000,85.291,85.323,85.16,85.206
1783260000000,85.154,85.154,84.857,84.908
1783263600000,84.914,85.025,84.755,84.82
1783267200000,84.82,84.902,84.659,84.793
1783270800000,84.787,85.58,84.787,85.51
1783274400000,85.524,85.84,85.211,85.833
1783278000000,85.716,85.791,85.53,85.698
1783281600000,85.699,85.846,85.398,85.644
1783285200000,85.765,85.849,85.53,85.62
1783288800000,85.586,85.963,85.169,85.78
1783292400000,85.785,86.04,85.492,85.569
1783296000000,85.377,85.377,83.714,84.274
1783299600000,84.201,84.201,83.143,83.581
1783303200000,83.664,83.692,82.869,83.073
1783306800000,83.135,83.473,82.996,83.156
1783310400000,83.203,83.929,83.094,83.865
1783314000000,83.804,83.919,83.387,83.741
1783317600000,83.814,83.963,83.52,83.886
1783321200000,83.96,84.14,83.89,83.998
1783324800000,83.967,84.21,83.798,84.187
1783328400000,84.142,84.28,83.77,84.042
1783332000000,84.002,84.101,83.82,83.987
1783335600000,84.0,84.27,83.427,83.883
1783339200000,83.809,84.411,83.793,84.222
1783342800000,84.202,86.851,82.64,85.951
1783346400000,85.961,86.793,85.228,85.899
1783350000000,85.915,87.143,85.378,86.879
1783353600000,86.839,87.56,86.41,86.506
1783357200000,86.521,87.258,85.68,85.68
1783360800000,85.577,86.627,85.414,86.317
1783364400000,86.441,86.715,85.771,86.543
1783368000000,86.428,86.986,86.423,86.986
1783371600000,86.946,87.125,86.946,87.07
1783375200000,87.14,87.14,87.04,87.04
1783378800000,86.918,87.053,86.022,86.039
1783382400000,85.86,86.329,85.57,85.693
1783386000000,85.663,85.663,84.766,85.38
1783389600000,85.37,85.599,85.303,85.326
1783393200000,85.515,85.543,84.326,84.476
1783396800000,84.586,84.69,84.156,84.216
1783400400000,84.156,84.771,83.986,84.771
1783404000000,85.033,85.213,84.735,85.115
1783407600000,85.011,85.274,84.917,84.917
1783411200000,85.07,85.45,85.033,85.267
1783414800000,85.074,85.319,84.99,85.184
1783418400000,85.232,85.643,85.02,85.02
1783422000000,84.945,84.96,84.248,84.427
1783425600000,84.689,85.479,84.576,84.641
1783429200000,84.629,85.248,81.671,82.466
1783432800000,82.336,82.45,79.604,81.323
1783436400000,81.14,82.642,81.131,82.573
1783440000000,82.689,83.69,82.689,82.927
1783443600000,82.92,83.607,82.891,83.504
1783447200000,83.542,84.537,82.001,82.001
1783450800000,81.884,83.795,81.667,83.632
1783454400000,83.577,84.075,83.038,83.038
1783458000000,83.1,83.135,82.352,82.483
1783461600000,82.296,82.815,82.296,82.815
1783465200000,82.767,82.767,81.95,81.95
1783468800000,82.25,84.045,81.941,83.918
1783472400000,83.95,84.033,83.474,83.474
1783476000000,83.32,83.652,83.16,83.652
1783479600000,83.641,83.997,83.577,83.577
1783483200000,83.646,83.854,83.42,83.556
1783486800000,83.698,83.744,83.273,83.429
1783490400000,83.216,83.216,82.521,82.734
1783494000000,82.594,83.226,82.594,82.737
1783497600000,82.728,83.517,80.43,80.542
1783501200000,80.456,80.629,79.478,80.073
1783504800000,80.186,81.158,80.089,80.803
1783508400000,80.923,81.754,80.731,81.41
1783512000000,81.232,82.26,81.232,81.865
1783515600000,81.655,87.238,81.23,87.018
1783519200000,86.894,88.182,85.879,86.621
1783522800000,86.634,86.634,84.424,84.769
1783526400000,84.819,85.928,84.819,85.928
1783530000000,85.776,86.968,85.12,86.605
1783533600000,86.567,88.0,86.567,87.584
1783537200000,87.445,90.134,87.445,90.037
1783540800000,89.92,90.18,88.713,88.922
1783544400000,88.824,89.217,88.65,89.137
1783548000000,88.998,89.055,88.786,88.933
1783551600000,88.968,89.391,88.773,89.391
1783555200000,89.42,89.867,89.224,89.354
1783558800000,89.327,89.924,88.962,88.962
1783562400000,89.12,89.56,88.41,88.41
1783566000000,88.472,89.009,88.23,88.969
1783569600000,88.9,89.19,88.8,88.976
1783573200000,89.088,90.0,88.979,90.0
1783576800000,89.9,90.586,89.72,90.586
1783580400000,90.421,90.945,90.421,90.849
1783584000000,90.464,91.27,90.18,90.701
1783587600000,90.632,90.737,90.32,90.67
1783591200000,90.629,90.908,90.392,90.468
1783594800000,90.59,93.019,90.407,92.52
1783598400000,92.496,93.55,92.359,92.646
1783602000000,92.589,95.124,91.81,93.576
1783605600000,93.466,93.999,90.379,92.613
1783609200000,92.774,93.261,92.296,92.913
1783612800000,92.834,93.124,91.653,91.909
1783616400000,91.862,92.54,91.38,92.385
1783620000000,92.467,92.88,90.471,90.612
1783623600000,90.52,90.537,89.406,89.675
1783627200000,89.652,89.765,89.0,89.557
1783630800000,89.545,89.614,89.055,89.516
1783634400000,89.561,89.63,89.45,89.624
1783638000000,89.63,90.028,89.591,90.013
1783641600000,89.812,89.812,88.97,89.802
1783645200000,89.817,90.2,89.613,89.969
1783648800000,89.993,90.084,89.678,90.084
1783652400000,90.13,90.265,90.085,90.167
1783656000000,90.233,90.347,89.94,89.94
1783659600000,89.885,90.046,89.77,89.791
1783663200000,89.553,89.588,89.182,89.316
1783666800000,89.313,89.35,89.0,89.149
1783670400000,89.104,89.247,88.203,89.13
1783674000000,88.93,89.8,88.93,89.403
1783677600000,89.549,89.73,89.476,89.665
1783681200000,89.932,90.627,89.618,89.866
1783684800000,89.822,90.28,89.4,89.56
1783688400000,89.564,90.578,88.091,89.71
1783692000000,89.451,91.3,89.252,89.748
1783695600000,89.776,90.235,88.697,89.283
1783699200000,89.383,90.171,89.052,90.029
1783702800000,90.083,90.27,89.516,89.738
1783706400000,89.722,90.646,89.638,89.717
1783710000000,89.706,89.893,88.839,88.997
1783713600000,88.911,88.962,88.72,88.89
1783717200000,88.887,88.922,88.8,88.8
1783720800000,88.852,88.966,88.707,88.88
1783724400000,88.877,88.93,88.751,88.831
1783728000000,88.789,89.076,88.707,89.074
1783731600000,89.085,89.091,88.975,89.001
1783735200000,88.961,89.129,88.813,89.112
1783738800000,89.189,89.322,88.632,89.188
1783742400000,89.082,89.145,89.051,89.082
1783746000000,89.06,89.322,89.01,89.064
1783749600000,88.99,89.308,88.842,89.308
1783753200000,89.321,89.322,89.147,89.176
1783756800000,89.189,89.215,89.105,89.105
1783760400000,89.1,89.456,88.904,89.256
1783764000000,89.211,89.4,89.192,89.3
1783767600000,89.298,89.328,89.233,89.286
1783771200000,89.29,89.297,89.202,89.262
1783774800000,89.26,89.289,89.24,89.289
1783778400000,89.123,89.353,88.941,89.346
1783782000000,89.333,89.53,89.148,89.29
1783785600000,89.283,89.483,89.273,89.445
1783789200000,89.45,89.904,89.412,89.808
1783792800000,89.816,89.992,89.705,89.974
1783796400000,89.973,89.975,89.91,89.946
1783800000000,89.953,89.953,89.837,89.94
1783803600000,89.96,89.984,89.774,89.774
1783807200000,89.767,90.49,89.76,90.305
1783810800000,90.243,90.284,89.696,89.951
1783814400000,89.968,90.176,89.789,89.93
1783818000000,89.86,89.86,89.701,89.743
1783821600000,89.8,89.809,89.736,89.783
1783825200000,89.674,89.674,89.487,89.515
1783828800000,89.64,89.78,89.457,89.63
1783832400000,89.579,89.604,89.57,89.57
1783836000000,89.393,89.51,89.384,89.454
1783839600000,89.444,89.594,89.4,89.419
1783843200000,89.453,89.484,89.407,89.425
1783846800000,89.441,89.584,89.287,89.584
1783850400000,89.557,89.565,89.4,89.415
1783854000000,89.422,89.729,89.422,89.682
1783857600000,89.59,89.711,89.457,89.65
1783861200000,89.56,89.822,89.559,89.714
1783864800000,89.626,89.626,89.53,89.558
1783868400000,89.561,89.57,89.419,89.526
1783872000000,89.526,89.837,89.494,89.742
1783875600000,89.743,89.743,89.597,89.597
1783879200000,89.65,90.025,89.586,89.976
1783882800000,89.864,90.329,89.864,90.229
1783886400000,90.356,90.362,90.15,90.15
1783890000000,90.141,90.249,90.109,90.2
1783893600000,90.14,90.23,89.72,89.851
1783897200000,89.856,89.96,88.922,89.011
1783900800000,88.935,88.935,87.79,87.8
1783904400000,87.878,88.03,86.928,86.928
1783908000000,86.947,87.352,86.798,86.798
1783911600000,86.76,86.787,86.318,86.633
1783915200000,86.592,86.614,85.937,86.156
1783918800000,86.156,86.156,85.77,85.91
1783922400000,85.91,85.91,85.521,85.675
1783926000000,85.767,85.98,85.724,85.901
1783929600000,86.1,86.936,86.084,86.936
1783933200000,86.771,87.25,86.729,87.04
1783936800000,87.03,87.211,86.742,86.827
1783940400000,86.862,87.534,86.862,87.061
1783944000000,87.072,87.134,86.049,86.49
1783947600000,86.445,86.926,84.355,85.174
1783951200000,85.127,88.748,84.955,87.057
1783954800000,87.478,87.688,85.731,85.793
1783958400000,85.925,86.14,83.585,84.158
1783962000000,84.207,84.376,82.975,83.179
1783965600000,83.158,83.587,82.79,83.166
1783969200000,83.183,83.676,83.058,83.331
1783972800000,83.329,83.351,82.848,83.071
1783976400000,83.142,83.154,83.048,83.053
1783980000000,83.08,83.149,82.943,82.943
1783983600000,82.93,82.93,82.109,82.4
1783987200000,82.42,83.32,82.086,83.32
1783990800000,83.424,83.707,83.378,83.56
1783994400000,83.268,83.344,82.4,82.532
1783998000000,82.48,82.498,81.783,82.388
1784001600000,82.481,83.261,82.34,83.253
1784005200000,83.295,83.983,83.295,83.847
1784008800000,83.811,84.164,83.811,83.965
1784012400000,83.798,84.19,83.798,84.084
1784016000000,84.018,84.224,83.74,83.87
1784019600000,83.798,84.073,83.746,84.0
1784023200000,83.91,85.14,83.91,84.03
1784026800000,84.482,84.99,83.614,84.825
1784030400000,84.67,86.343,84.514,85.306
1784034000000,85.284,85.675,82.45,83.518
1784037600000,83.354,83.354,81.431,82.199
1784041200000,82.295,82.372,80.381,80.542
1784044800000,80.542,80.69,79.44,79.57
1784048400000,79.553,79.888,78.466,79.641
1784052000000,79.62,80.064,79.25,80.064
1784055600000,80.15,80.632,79.8,79.92
1784059200000,79.997,80.202,79.91,80.202
1784062800000,80.1,80.192,80.1,80.156
1784066400000,80.16,80.198,79.961,79.999
1784070000000,79.995,80.55,79.972,80.54
1784073600000,80.29,80.736,80.119,80.652
1784077200000,80.602,80.781,80.459,80.763
1784080800000,80.759,81.197,80.759,80.83
1784084400000,80.77,81.212,80.77,81.212
1784088000000,81.2,81.2,80.614,80.725
1784091600000,80.874,80.952,80.64,80.75
1784095200000,80.83,80.91,80.805,80.805
1784098800000,80.851,81.071,80.6,80.78
1784102400000,80.86,80.89,80.22,80.37
1784106000000,80.57,80.732,80.528,80.586
1784109600000,80.517,80.63,80.244,80.414
1784113200000,80.374,80.374,79.426,79.511
1784116800000,79.552,80.508,79.361,80.049
1784120400000,80.11,80.57,78.061,78.593
1784124000000,78.72,78.987,76.83,77.68
1784127600000,77.8,77.93,76.46,76.62
1784131200000,76.618,77.103,74.91,77.103
1784134800000,77.2,78.204,77.069,77.866
1784138400000,77.909,78.57,76.967,77.015
1784142000000,77.075,77.614,76.699,77.135
1784145600000,77.143,77.193,76.69,77.109
1784149200000,77.102,77.102,76.886,76.917
1784152800000,76.87,76.974,76.742,76.924
1784156400000,76.93,76.946,76.802,76.802
1784160000000,76.82,77.14,76.46,76.46
1784163600000,76.579,76.769,76.32,76.76
1784167200000,76.504,76.824,76.491,76.796
1784170800000,77.066,77.21,77.066,77.153
1784174400000,77.162,77.171,76.874,76.99
1784178000000,77.107,77.557,76.93,77.13
1784181600000,77.129,77.3,76.79,76.818
1784185200000,76.627,76.63,76.169,76.169
1784188800000,76.146,76.291,75.47,76.25
1784192400000,76.252,76.377,75.989,76.14
1784196000000,75.912,75.912,75.666,75.843
1784199600000,75.675,76.204,75.309,75.416
1784203200000,75.575,75.619,75.061,75.35
1784206800000,75.586,75.862,72.818,73.532
1784210400000,73.675,74.741,73.43,73.87
1784214000000,73.878,73.89,72.465,72.9
1784217600000,72.834,73.924,72.33,73.87
1784221200000,73.549,73.551,72.17,72.202
1784224800000,72.281,73.537,72.17,73.081
1784228400000,73.116,73.519,72.549,73.024
1784232000000,73.024,73.241,72.697,73.205
1784235600000,73.179,73.205,73.029,73.069
1784239200000,73.258,73.308,72.524,72.578
1784242800000,72.507,72.721,71.237,71.671
1784246400000,71.77,71.86,70.877,71.396
1784250000000,71.395,71.964,70.979,71.159
1784253600000,71.143,71.171,70.494,70.616
1784257200000,70.84,71.44,70.84,71.16
1784260800000,71.147,71.147,70.419,70.58
1784264400000,70.516,70.708,69.45,69.59
1784268000000,69.519,70.47,69.519,70.16
1784271600000,70.183,70.35,69.879,69.965
1784275200000,70.052,70.39,69.663,70.357
1784278800000,70.254,71.223,70.15,71.047
1784282400000,70.99,71.93,70.99,71.517
1784286000000,71.5,71.618,70.987,71.274
1784289600000,71.2,71.2,70.622,70.793
1784293200000,70.74,71.056,68.677,70.475
1784296800000,70.433,74.383,70.433,73.496
1784300400000,73.316,74.29,72.388,74.246
1784304000000,74.286,74.534,71.03,73.228
1784307600000,73.276,74.335,73.276,73.974
1784311200000,74.004,74.246,73.355,73.866
1784314800000,73.741,74.003,72.353,73.409
1784318400000,73.307,73.899,72.98,73.521
1784322000000,73.456,73.468,73.33,73.432
1784325600000,73.368,73.55,73.354,73.528
1784329200000,73.486,73.513,73.26,73.267
1784332800000,73.24,73.368,73.039,73.368
1784336400000,73.368,73.478,73.34,73.395
1784340000000,73.405,73.478,73.377,73.463
1784343600000,73.4,73.418,73.4,73.41
1784347200000,73.449,73.449,73.449,73.449
1784350800000,73.374,73.435,73.271,73.418
1784354400000,73.237,73.287,73.23,73.287
1784358000000,73.224,73.359,73.224,73.339
1784361600000,73.24,73.24,73.102,73.226
1784365200000,73.284,73.313,73.106,73.161
1784368800000,73.146,73.926,73.146,73.368
1784372400000,73.377,73.587,73.361,73.587
1784376000000,73.588,73.588,73.426,73.507
1784379600000,73.436,73.685,73.398,73.685
1784383200000,73.581,73.581,73.471,73.515
1784386800000,73.503,73.56,73.471,73.471
1784390400000,73.471,74.377,73.36,74.359
1784394000000,74.377,74.452,74.222,74.353
1784397600000,74.385,74.385,74.118,74.299
1784401200000,74.23,74.411,74.23,74.263
1784404800000,74.288,74.288,74.045,74.132
1784408400000,74.045,74.25,73.99,74.089
