t,o,h,l,c
1783209600000,1.1438,1.144,1.1438,1.144
1783213200000,1.1438,1.144,1.1434,1.1439
1783216800000,1.1439,1.1439,1.1439,1.1439
1783220400000,1.1439,1.1439,1.1439,1.1439
1783224000000,1.1439,1.1439,1.1439,1.1439
1783227600000,1.1439,1.1439,1.1439,1.1439
1783231200000,1.144,1.144,1.1433,1.1433
1783234800000,1.1438,1.1438,1.1438,1.1438
1783238400000,1.1436,1.1436,1.1436,1.1436
1783242000000,1.1436,1.1436,1.1436,1.1436
1783245600000,1.1432,1.1432,1.1432,1.1432
1783249200000,1.1439,1.144,1.1433,1.1438
1783252800000,1.1438,1.1438,1.1438,1.1438
1783256400000,1.1437,1.1437,1.1432,1.1435
1783260000000,1.1438,1.1439,1.1436,1.1436
1783263600000,1.1438,1.1442,1.1435,1.1442
1783267200000,1.1442,1.1442,1.1442,1.1442
1783270800000,1.1441,1.1445,1.1438,1.1445
1783274400000,1.1441,1.1441,1.144,1.144
1783278000000,1.144,1.1443,1.144,1.1442
1783281600000,1.1442,1.1444,1.1441,1.1444
1783285200000,1.1443,1.1443,1.144,1.1442
1783288800000,1.1442,1.1445,1.144,1.1444
1783292400000,1.1443,1.1443,1.1439,1.1442
1783296000000,1.1439,1.1445,1.1435,1.1445
1783299600000,1.1442,1.1442,1.144,1.144
1783303200000,1.1435,1.144,1.1431,1.144
1783306800000,1.1441,1.1441,1.1433,1.1436
1783310400000,1.1439,1.1439,1.1437,1.1439
1783314000000,1.1435,1.1435,1.1431,1.1431
1783317600000,1.1431,1.1431,1.1424,1.1428
1783321200000,1.1425,1.1431,1.1422,1.1431
1783324800000,1.1428,1.1428,1.1419,1.1419
1783328400000,1.1422,1.1426,1.142,1.142
1783332000000,1.1419,1.1422,1.1416,1.1419
1783335600000,1.1421,1.1424,1.1419,1.1421
1783339200000,1.1423,1.1423,1.1416,1.142
1783342800000,1.1419,1.1424,1.1416,1.1416
1783346400000,1.1417,1.1419,1.1416,1.1416
1783350000000,1.1421,1.1426,1.142,1.1426
1783353600000,1.1427,1.1433,1.1427,1.1431
1783357200000,1.1434,1.1442,1.1434,1.1438
1783360800000,1.1438,1.1449,1.1438,1.1447
1783364400000,1.1446,1.1447,1.1439,1.1447
1783368000000,1.1445,1.1447,1.1442,1.1447
1783371600000,1.1448,1.1452,1.1447,1.1449
1783375200000,1.1446,1.145,1.144,1.145
1783378800000,1.1451,1.1453,1.1444,1.1447
1783382400000,1.1442,1.1445,1.1442,1.1445
1783386000000,1.1442,1.1454,1.144,1.1449
1783389600000,1.1451,1.1451,1.1444,1.1444
1783393200000,1.1444,1.1444,1.1438,1.1439
1783396800000,1.1439,1.1439,1.1439,1.1439
1783400400000,1.1438,1.1438,1.1431,1.1431
1783404000000,1.143,1.1434,1.143,1.1434
1783407600000,1.1429,1.1434,1.1428,1.1428
1783411200000,1.1434,1.1439,1.1431,1.1437
1783414800000,1.1433,1.1433,1.1431,1.1431
1783418400000,1.1433,1.1439,1.1431,1.1435
1783422000000,1.1438,1.1443,1.1433,1.1437
1783425600000,1.1436,1.1448,1.1436,1.1444
1783429200000,1.144,1.1445,1.1435,1.1438
1783432800000,1.1438,1.1439,1.1432,1.1438
1783436400000,1.1434,1.1439,1.1426,1.1427
1783440000000,1.1427,1.1427,1.142,1.1424
1783443600000,1.1426,1.143,1.1425,1.143
1783447200000,1.1429,1.1435,1.1422,1.1422
1783450800000,1.142,1.142,1.1413,1.142
1783454400000,1.1418,1.1418,1.1414,1.1417
1783458000000,1.1417,1.1423,1.1407,1.1415
1783461600000,1.141,1.1414,1.1408,1.1409
1783465200000,1.1412,1.1412,1.1407,1.1407
1783468800000,1.1407,1.1418,1.1407,1.1413
1783472400000,1.1408,1.1412,1.1404,1.1412
1783476000000,1.1408,1.1418,1.1408,1.1416
1783479600000,1.1416,1.142,1.1416,1.142
1783483200000,1.1419,1.142,1.1414,1.1417
1783486800000,1.1419,1.1426,1.1417,1.1426
1783490400000,1.1427,1.143,1.1422,1.1428
1783494000000,1.1426,1.1436,1.1426,1.1428
1783497600000,1.1431,1.1431,1.1402,1.1417
1783501200000,1.1412,1.1416,1.1403,1.1409
1783504800000,1.141,1.1416,1.1408,1.1414
1783508400000,1.1409,1.1414,1.1396,1.1404
1783512000000,1.1409,1.1412,1.1403,1.1403
1783515600000,1.1401,1.1417,1.1401,1.1412
1783519200000,1.1415,1.1415,1.1405,1.1405
1783522800000,1.141,1.1412,1.1392,1.1397
1783526400000,1.1397,1.1417,1.1397,1.1415
1783530000000,1.1416,1.143,1.1416,1.1427
1783533600000,1.1423,1.1431,1.1422,1.1431
1783537200000,1.143,1.1435,1.1427,1.1427
1783540800000,1.1429,1.1429,1.1419,1.1421
1783544400000,1.1419,1.1427,1.1411,1.1418
1783548000000,1.1422,1.1429,1.1417,1.1421
