t,o,h,l,c
1783209600000,1.3344,1.3344,1.3344,1.3344
1783213200000,1.3344,1.3344,1.3344,1.3344
1783216800000,1.3344,1.3344,1.3344,1.3344
1783220400000,1.3344,1.3344,1.3344,1.3344
1783224000000,1.3344,1.3344,1.3344,1.3344
1783227600000,1.3344,1.3344,1.3344,1.3344
1783231200000,1.3344,1.3344,1.3344,1.3344
1783234800000,1.3324,1.3349,1.3324,1.3349
1783238400000,1.3349,1.3349,1.3349,1.3349
1783242000000,1.3349,1.3349,1.3349,1.3349
1783245600000,1.3349,1.3349,1.3349,1.3349
1783249200000,1.3349,1.3349,1.3349,1.3349
1783252800000,1.3326,1.3326,1.3306,1.3306
1783256400000,1.3307,1.3327,1.3292,1.3294
1783260000000,1.3291,1.3334,1.3288,1.3331
1783263600000,1.3312,1.3325,1.3278,1.3302
1783267200000,1.3303,1.3307,1.3278,1.3278
1783270800000,1.3274,1.3275,1.327,1.3271
1783274400000,1.3271,1.3294,1.327,1.3271
1783278000000,1.3271,1.3313,1.3258,1.3266
1783281600000,1.3262,1.3289,1.3261,1.3262
1783285200000,1.326,1.3341,1.326,1.3327
1783288800000,1.3328,1.3349,1.3328,1.3348
1783292400000,1.3348,1.3348,1.3347,1.3347
1783296000000,1.3347,1.3348,1.3343,1.3348
1783299600000,1.3349,1.3349,1.3338,1.3339
1783303200000,1.3339,1.3339,1.3334,1.3334
1783306800000,1.3334,1.3334,1.3334,1.3334
1783310400000,1.3334,1.3334,1.3334,1.3334
1783314000000,1.3334,1.3334,1.333,1.333
1783317600000,1.333,1.3331,1.3324,1.3324
1783321200000,1.3324,1.3339,1.3322,1.3339
1783324800000,1.3332,1.3332,1.3327,1.3327
1783328400000,1.3335,1.3335,1.3325,1.3325
1783332000000,1.3337,1.3337,1.3337,1.3337
1783335600000,1.3337,1.3337,1.3337,1.3337
1783339200000,1.3332,1.3332,1.3332,1.3332
1783342800000,1.3341,1.3347,1.3341,1.3346
1783346400000,1.3348,1.3364,1.3345,1.3353
1783350000000,1.3351,1.3364,1.3351,1.3364
1783353600000,1.3366,1.3369,1.3366,1.3369
1783357200000,1.3373,1.3373,1.3373,1.3373
1783360800000,1.3373,1.3389,1.3372,1.3389
1783364400000,1.3393,1.3393,1.3387,1.3387
1783368000000,1.3387,1.3387,1.3387,1.3387
1783371600000,1.3396,1.3396,1.3396,1.3396
1783375200000,1.3388,1.3389,1.3388,1.3389
1783378800000,1.3394,1.3397,1.3394,1.3397
1783382400000,1.3397,1.3397,1.3397,1.3397
1783386000000,1.3387,1.3387,1.3387,1.3387
1783389600000,1.3387,1.3387,1.3387,1.3387
1783393200000,1.3394,1.3402,1.3394,1.3402
1783396800000,1.3388,1.3388,1.3388,1.3388
1783400400000,1.3377,1.3377,1.3374,1.3374
1783404000000,1.3374,1.3374,1.3374,1.3374
1783407600000,1.3374,1.3374,1.3374,1.3374
1783411200000,1.3379,1.3389,1.3379,1.3386
1783414800000,1.3389,1.3389,1.3386,1.3386
1783418400000,1.3374,1.3382,1.3359,1.3381
1783422000000,1.3381,1.3388,1.3381,1.3388
1783425600000,1.3388,1.3388,1.3388,1.3388
1783429200000,1.3379,1.3381,1.3379,1.3381
1783432800000,1.3381,1.3381,1.3381,1.3381
1783436400000,1.3372,1.3372,1.3368,1.3368
1783440000000,1.3368,1.3368,1.3368,1.3368
1783443600000,1.3355,1.3355,1.3352,1.3352
1783447200000,1.3358,1.3358,1.3358,1.3358
1783450800000,1.3353,1.3356,1.3353,1.3356
1783454400000,1.3346,1.3346,1.3346,1.3346
1783458000000,1.3346,1.3346,1.3346,1.3346
1783461600000,1.3348,1.3355,1.3348,1.3353
1783465200000,1.3356,1.3356,1.3356,1.3356
