t,o,h,l,c
1783209600000,4176.0,4176.1,4176.0,4176.0
1783213200000,4176.0,4176.3,4176.0,4176.2
1783216800000,4176.2,4176.3,4173.2,4173.6
1783220400000,4173.6,4174.1,4173.6,4173.8
1783224000000,4173.9,4174.3,4173.8,4174.2
1783227600000,4174.1,4175.3,4174.1,4175.3
1783231200000,4175.3,4175.6,4175.2,4175.6
1783234800000,4175.5,4175.6,4175.2,4175.2
1783238400000,4175.2,4175.9,4175.2,4175.6
1783242000000,4175.6,4176.2,4171.2,4174.4
1783245600000,4174.4,4175.7,4174.3,4175.7
1783249200000,4175.7,4177.8,4175.7,4177.8
1783252800000,4177.8,4178.6,4177.6,4177.9
1783256400000,4177.8,4177.9,4176.3,4176.4
1783260000000,4176.4,4177.1,4175.9,4177.1
1783263600000,4176.2,4177.9,4176.2,4177.4
1783267200000,4177.5,4177.5,4177.0,4177.1
1783270800000,4177.0,4179.3,4177.0,4179.0
1783274400000,4179.0,4179.2,4176.3,4178.8
1783278000000,4178.7,4181.3,4177.1,4180.1
1783281600000,4180.1,4182.8,4180.1,4182.6
1783285200000,4182.5,4182.6,4179.5,4182.2
1783288800000,4182.1,4192.3,4175.4,4189.8
1783292400000,4189.8,4202.7,4181.1,4185.0
1783296000000,4185.5,4190.7,4174.5,4183.0
1783299600000,4182.3,4203.9,4176.1,4188.5
1783303200000,4188.5,4189.7,4171.2,4176.9
1783306800000,4176.8,4178.3,4163.3,4167.5
1783310400000,4167.3,4168.0,4160.4,4161.7
1783314000000,4161.6,4162.0,4147.4,4149.0
1783317600000,4152.1,4161.2,4148.7,4152.2
1783321200000,4151.9,4167.6,4149.7,4165.9
1783324800000,4165.9,4166.9,4150.0,4152.4
1783328400000,4152.0,4152.3,4137.8,4145.9
1783332000000,4145.8,4156.8,4144.7,4155.7
1783335600000,4155.8,4159.9,4153.3,4155.7
1783339200000,4155.7,4158.9,4133.6,4141.5
1783342800000,4141.3,4151.4,4139.2,4141.6
1783346400000,4142.9,4146.9,4131.2,4139.5
1783350000000,4140.4,4154.1,4140.0,4149.0
1783353600000,4148.9,4158.2,4142.7,4158.1
1783357200000,4158.0,4164.0,4154.3,4162.2
1783360800000,4162.2,4170.0,4157.9,4165.1
1783364400000,4165.1,4167.0,4161.5,4165.3
1783368000000,4166.0,4167.3,4163.9,4167.3
1783371600000,4167.2,4171.9,4167.2,4169.3
1783375200000,4169.1,4170.4,4166.3,4166.5
