t,o,h,l,c
1783209600000,359.67,359.67,359.22,359.26
1783213200000,359.33,359.73,359.29,359.56
1783216800000,359.48,359.78,359.29,359.63
1783220400000,359.52,359.57,359.26,359.5
1783224000000,359.62,360.29,359.62,360.2
1783227600000,360.33,360.5,360.24,360.28
1783231200000,360.54,360.56,360.34,360.45
1783234800000,360.49,360.59,360.48,360.59
1783238400000,360.53,360.57,360.43,360.43
1783242000000,360.57,360.6,359.92,360.04
1783245600000,360.12,360.4,360.12,360.33
1783249200000,360.49,360.57,359.99,360.29
1783252800000,360.48,360.48,359.96,360.17
1783256400000,360.22,360.22,359.87,359.93
1783260000000,359.91,360.4,359.68,360.05
1783263600000,360.0,360.5,359.68,360.42
1783267200000,360.45,360.57,360.0,360.23
1783270800000,360.5,360.99,360.5,360.84
1783274400000,360.73,361.12,360.69,361.04
1783278000000,361.03,361.22,360.8,361.22
1783281600000,361.01,361.55,361.0,361.36
1783285200000,361.31,361.37,360.81,361.24
1783288800000,361.4,361.6,360.0,360.99
1783292400000,360.95,361.56,360.74,361.38
1783296000000,361.32,361.75,360.28,360.69
1783299600000,360.65,360.81,360.06,360.3
1783303200000,360.39,360.39,359.13,359.35
1783306800000,359.45,359.58,358.86,359.13
1783310400000,358.97,359.8,358.92,359.75
1783314000000,360.0,360.16,359.67,359.95
1783317600000,360.04,360.41,359.86,360.34
1783321200000,360.23,360.48,360.14,360.28
1783324800000,360.5,361.14,360.16,360.75
1783328400000,360.92,361.82,360.79,361.67
1783332000000,361.76,362.19,361.63,361.73
1783335600000,361.64,362.87,360.81,360.81
1783339200000,360.76,361.44,360.26,361.13
1783342800000,361.43,363.64,357.74,357.77
1783346400000,357.86,362.3,357.68,361.79
1783350000000,361.67,364.05,361.11,363.63
1783353600000,363.64,365.21,363.62,364.15
1783357200000,364.16,365.43,363.88,364.39
1783360800000,364.37,366.66,364.2,366.53
1783364400000,366.67,368.0,366.47,366.76
1783368000000,366.68,366.77,366.15,366.18
1783371600000,366.33,366.77,366.13,366.21
1783375200000,366.17,366.66,366.15,366.34
1783378800000,366.47,366.78,366.35,366.78
1783382400000,366.71,367.47,365.71,366.59
1783386000000,366.63,366.83,365.78,365.88
1783389600000,365.89,366.14,365.7,365.82
1783393200000,365.89,366.24,364.3,365.15
1783396800000,365.21,365.21,363.5,363.94
1783400400000,363.96,365.59,362.86,365.59
1783404000000,365.65,365.68,365.13,365.68
1783407600000,365.7,365.82,365.51,365.82
1783411200000,365.78,369.4,365.73,368.62
1783414800000,368.53,370.47,368.15,369.7
1783418400000,369.83,369.84,368.35,368.76
1783422000000,368.66,369.2,366.98,367.2
1783425600000,367.2,367.74,367.01,367.48
1783429200000,367.64,373.21,367.0,371.08
1783432800000,371.35,372.5,367.49,367.57
1783436400000,367.77,369.55,367.44,369.27
1783440000000,369.32,370.45,368.23,369.92
1783443600000,369.85,370.58,369.5,370.12
1783447200000,370.25,370.71,368.74,368.77
1783450800000,368.91,369.05,365.68,366.94
1783454400000,367.26,367.26,366.33,366.69
1783458000000,366.72,366.88,365.93,365.94
1783461600000,365.85,366.85,365.84,366.79
1783465200000,366.8,367.6,366.75,367.05
1783468800000,367.0,367.65,366.55,367.11
1783472400000,367.1,367.17,366.66,366.96
1783476000000,366.96,367.9,366.72,367.9
1783479600000,367.56,367.78,367.05,367.05
1783483200000,367.1,367.51,367.01,367.32
1783486800000,367.47,367.47,366.6,366.95
1783490400000,366.9,367.81,366.81,367.64
1783494000000,367.66,368.64,367.4,368.61
1783497600000,368.52,369.12,362.05,362.32
1783501200000,362.15,362.67,361.04,362.24
1783504800000,362.28,362.77,361.76,362.32
1783508400000,362.3,363.32,361.73,362.93
1783512000000,362.82,363.75,362.29,363.05
1783515600000,363.01,367.34,362.52,362.67
1783519200000,362.6,363.24,360.93,361.58
1783522800000,361.61,362.05,360.04,360.37
1783526400000,360.49,361.91,360.43,361.44
1783530000000,361.38,361.63,359.0,359.08
1783533600000,359.19,359.87,358.18,359.34
1783537200000,359.36,363.0,358.54,362.14
1783540800000,362.05,362.32,360.96,361.44
1783544400000,361.46,361.81,360.83,361.75
1783548000000,361.66,361.85,361.51,361.52
1783551600000,361.52,362.05,361.42,362.0
1783555200000,361.96,362.6,360.74,362.15
1783558800000,362.19,362.66,361.98,361.98
1783562400000,362.13,362.5,361.65,361.65
1783566000000,361.52,362.47,361.5,362.22
1783569600000,362.23,362.62,361.96,362.58
1783573200000,362.45,362.87,362.05,362.82
1783576800000,362.82,362.88,362.25,362.54
1783580400000,362.62,363.16,362.1,362.2
1783584000000,362.31,362.65,360.57,360.65
1783587600000,360.69,360.92,360.18,360.41
1783591200000,360.5,360.63,359.48,360.14
1783594800000,360.19,361.02,357.83,358.58
1783598400000,358.56,358.82,356.21,356.94
1783602000000,356.93,359.5,353.87,356.85
1783605600000,357.01,357.61,351.44,353.77
1783609200000,353.66,354.15,352.57,353.09
1783612800000,353.09,355.61,352.95,355.43
1783616400000,355.62,356.39,355.13,356.24
1783620000000,356.3,357.57,356.3,357.22
1783623600000,357.15,359.36,357.07,358.87
1783627200000,358.81,358.83,358.26,358.26
1783630800000,358.27,358.51,358.2,358.46
1783634400000,358.39,358.63,357.31,357.48
1783638000000,357.42,358.15,357.21,357.47
1783641600000,357.42,357.77,356.79,357.16
1783645200000,357.06,358.07,357.03,357.77
1783648800000,357.78,358.69,357.64,358.66
1783652400000,358.55,358.66,357.83,358.03
1783656000000,358.11,358.27,357.11,357.2
1783659600000,357.16,357.71,357.1,357.15
1783663200000,357.22,357.29,356.6,357.17
1783666800000,356.91,357.5,356.68,356.83
1783670400000,356.94,358.19,356.94,358.05
1783674000000,358.11,358.92,357.79,358.53
1783677600000,358.51,360.81,358.45,359.52
1783681200000,359.5,359.65,356.94,357.21
1783684800000,357.25,358.14,355.53,357.43
1783688400000,357.36,358.08,354.85,356.5
1783692000000,356.82,357.15,353.26,353.41
1783695600000,353.36,355.17,353.06,354.79
1783699200000,354.87,356.09,354.43,355.41
1783702800000,355.44,355.47,354.07,355.08
1783706400000,355.16,356.09,354.93,355.71
1783710000000,355.79,357.62,355.77,357.19
1783713600000,357.09,357.56,356.79,357.17
1783717200000,357.24,357.5,357.06,357.29
1783720800000,357.25,357.36,356.95,357.05
1783724400000,356.97,357.27,356.89,357.11
1783728000000,357.15,357.52,357.12,357.12
1783731600000,357.12,357.32,357.08,357.29
1783735200000,357.39,357.65,357.08,357.65
1783738800000,357.65,357.82,357.18,357.34
1783742400000,357.41,358.0,357.41,357.81
1783746000000,357.77,358.44,357.73,358.23
1783749600000,358.05,358.38,357.73,358.24
1783753200000,358.24,358.49,357.86,358.2
1783756800000,358.2,358.2,357.09,357.73
1783760400000,357.73,358.57,357.6,357.83
1783764000000,357.77,357.98,357.62,357.69
1783767600000,357.69,357.7,357.11,357.45
1783771200000,357.46,358.14,357.26,357.36
1783774800000,357.3,357.55,356.96,357.12
1783778400000,357.12,357.76,356.76,357.31
1783782000000,357.29,358.03,357.11,357.8
1783785600000,357.79,357.79,357.36,357.36
1783789200000,357.45,358.02,357.45,358.02
1783792800000,358.09,358.16,357.95,358.12
1783796400000,358.21,358.94,357.77,358.26
1783800000000,358.29,358.48,358.03,358.37
1783803600000,358.38,358.75,358.08,358.38
1783807200000,358.45,359.41,358.45,359.35
1783810800000,359.3,359.3,358.59,358.8
1783814400000,358.86,359.29,358.69,358.74
1783818000000,358.72,359.02,358.55,358.91
1783821600000,358.92,358.93,358.53,358.77
1783825200000,358.67,358.77,358.48,358.68
1783828800000,358.65,358.83,358.48,358.74
1783832400000,358.63,358.78,358.5,358.62
1783836000000,358.57,358.67,358.42,358.57
1783839600000,358.57,358.71,358.42,358.71
1783843200000,358.71,358.73,358.5,358.61
1783846800000,358.61,358.64,357.75,357.85
1783850400000,357.88,358.01,357.78,357.91
1783854000000,357.92,358.27,357.86,358.27
1783857600000,358.25,358.42,358.17,358.3
1783861200000,358.32,358.42,357.87,357.94
1783864800000,357.94,358.52,357.86,358.35
1783868400000,358.29,358.34,357.35,358.13
1783872000000,358.14,358.35,358.14,358.3
1783875600000,358.32,358.34,358.16,358.22
1783879200000,358.21,358.31,358.11,358.22
1783882800000,358.31,358.7,358.21,358.21
1783886400000,358.37,358.45,358.18,358.43
1783890000000,358.43,358.49,357.82,357.9
1783893600000,357.81,357.94,355.72,356.3
1783897200000,356.42,356.89,355.51,356.26
1783900800000,356.26,357.14,355.77,355.78
1783904400000,355.74,356.34,355.3,355.87
1783908000000,355.87,356.23,355.5,355.5
1783911600000,355.45,356.0,355.08,355.73
1783915200000,355.66,355.8,355.07,355.25
1783918800000,355.24,355.63,354.58,355.5
1783922400000,355.54,356.08,355.19,355.83
1783926000000,355.97,356.46,355.74,356.07
1783929600000,356.18,358.15,356.06,357.22
1783933200000,357.3,357.94,357.04,357.85
1783936800000,357.89,358.07,357.21,357.22
1783940400000,357.23,357.23,355.9,355.9
1783944000000,356.06,356.2,355.4,356.0
1783947600000,356.35,358.0,354.56,356.94
1783951200000,357.0,357.14,354.49,355.85
1783954800000,355.77,356.7,355.1,355.71
1783958400000,355.83,357.0,355.19,355.81
1783962000000,355.73,356.81,355.34,355.36
1783965600000,355.34,356.14,355.04,355.1
1783969200000,355.1,355.63,352.1,352.89
1783972800000,352.74,352.95,352.21,352.77
1783976400000,352.78,352.84,352.21,352.71
1783980000000,352.77,352.99,352.46,352.55
1783983600000,352.52,353.27,352.27,353.07
1783987200000,353.13,353.46,352.2,353.2
1783990800000,353.03,353.09,352.38,352.57
