t,o,h,l,c
1783209600000,124.15,124.16,123.83,123.97
1783213200000,124.08,124.19,123.95,124.09
1783216800000,124.1,124.17,123.78,124.15
1783220400000,124.15,124.16,123.93,124.13
1783224000000,124.11,124.19,124.01,124.17
1783227600000,124.13,124.19,124.08,124.11
1783231200000,124.13,124.19,124.1,124.15
1783234800000,124.15,124.19,123.98,124.09
1783238400000,124.05,124.19,123.92,123.98
1783242000000,123.97,123.97,123.57,123.75
1783245600000,123.73,124.18,123.54,124.11
1783249200000,124.15,124.2,123.9,123.99
1783252800000,124.03,124.2,123.95,124.2
1783256400000,124.2,124.2,123.92,124.12
1783260000000,124.16,124.2,123.97,124.12
1783263600000,124.01,124.2,123.98,124.05
1783267200000,124.1,124.17,123.96,124.14
1783270800000,124.11,124.14,123.97,124.04
1783274400000,124.11,124.12,124.01,124.1
1783278000000,124.1,124.15,123.89,124.01
1783281600000,124.07,124.19,124.03,124.13
1783285200000,124.16,124.2,123.94,124.04
1783288800000,124.12,124.21,123.59,124.0
1783292400000,123.91,124.21,122.44,122.93
1783296000000,122.91,125.33,122.91,124.15
1783299600000,124.24,124.35,121.57,122.4
1783303200000,122.51,123.16,120.85,121.73
1783306800000,121.73,123.14,121.5,122.14
1783310400000,122.14,123.41,121.75,123.11
1783314000000,123.1,123.22,122.34,123.04
1783317600000,123.09,123.73,122.63,123.73
1783321200000,123.66,123.94,123.13,123.82
1783324800000,123.75,125.0,123.06,124.95
1783328400000,124.92,124.94,123.79,124.59
1783332000000,124.54,124.81,124.27,124.81
1783335600000,124.77,124.85,123.68,124.42
1783339200000,124.56,124.77,122.0,124.66
1783342800000,124.58,126.55,121.67,125.03
1783346400000,125.02,127.27,124.87,126.2
1783350000000,126.17,126.49,123.97,124.53
1783353600000,124.5,124.9,123.97,124.04
1783357200000,123.99,124.6,122.37,122.63
1783360800000,122.66,123.45,122.08,122.42
1783364400000,122.59,124.05,122.05,122.19
1783368000000,122.14,122.67,122.04,122.39
1783371600000,122.4,122.79,122.36,122.69
1783375200000,122.68,123.33,121.17,121.33
1783378800000,121.29,122.1,121.04,121.14
1783382400000,121.08,121.68,120.29,120.59
1783386000000,120.54,120.84,118.98,119.92
1783389600000,120.13,120.57,119.36,119.56
1783393200000,119.61,119.67,117.83,118.62
1783396800000,118.58,119.0,117.17,117.57
1783400400000,117.57,119.39,116.77,119.26
1783404000000,119.2,119.46,118.37,119.22
1783407600000,119.15,119.32,118.0,118.11
1783411200000,118.16,118.6,117.35,117.35
1783414800000,117.33,117.54,116.0,116.67
1783418400000,116.69,117.59,116.45,117.55
1783422000000,117.58,117.81,116.85,117.77
1783425600000,117.73,118.51,117.11,117.5
1783429200000,117.51,117.51,111.28,112.68
1783432800000,112.68,112.68,108.63,110.27
1783436400000,110.26,111.08,108.91,109.79
1783440000000,109.74,112.04,109.47,111.01
1783443600000,111.0,112.44,110.85,111.14
1783447200000,111.28,111.28,109.19,109.19
1783450800000,109.22,110.6,108.37,110.46
1783454400000,110.48,110.87,109.97,110.16
1783458000000,110.17,110.34,109.07,109.41
1783461600000,109.39,109.87,109.18,109.53
1783465200000,109.54,109.67,108.13,108.25
1783468800000,108.27,112.14,108.14,112.08
1783472400000,112.09,112.09,110.03,110.3
1783476000000,110.21,110.98,109.3,110.56
1783479600000,110.6,111.64,110.6,110.7
1783483200000,110.75,111.01,109.92,110.32
1783486800000,110.34,110.75,108.77,109.28
