t,o,h,l,c
1787061600000,45.85,45.85,42.242,42.498
1787065200000,42.303,45.004,42.071,42.586
1787068800000,43.01,43.01,42.496,42.726
1787072400000,42.548,42.58,41.984,42.121
1787076000000,42.04,42.311,41.885,41.975
1787079600000,41.934,42.32,41.735,42.025
1787083200000,41.93,42.135,41.764,41.998
1787086800000,41.977,41.977,41.844,41.871
1787090400000,41.895,41.936,41.293,41.54
1787094000000,41.497,41.705,41.39,41.528
1787097600000,41.298,41.884,41.147,41.884
1787101200000,41.789,42.138,41.606,41.993
1787104800000,41.882,41.882,41.391,41.633
1787108400000,41.632,41.639,41.39,41.39
1787112000000,41.481,41.482,41.101,41.104
1787115600000,41.325,41.395,41.112,41.112
1787119200000,41.136,41.698,40.838,41.696
1787122800000,41.593,41.963,41.374,41.963
1787126400000,42.211,42.43,41.867,42.182
1787130000000,42.28,42.281,41.532,41.721
1787133600000,41.413,41.56,41.289,41.468
1787137200000,41.718,41.718,40.581,40.849
1787140800000,41.016,42.732,40.814,42.613
1787144400000,42.613,42.695,39.692,40.188
1787148000000,40.115,41.548,39.56,41.453
1787151600000,41.375,42.513,41.227,42.364
1787155200000,42.999,43.39,42.897,43.299
1787158800000,43.253,43.253,42.089,42.458
1787162400000,42.76,42.799,42.056,42.056
1787166000000,42.119,42.77,42.058,42.77
1787169600000,42.9,43.469,42.886,43.469
1787173200000,43.29,43.567,43.185,43.51
1787176800000,43.47,43.709,43.284,43.63
1787180400000,43.607,43.715,43.361,43.428
1787184000000,43.462,43.816,43.298,43.716
1787187600000,43.756,43.965,43.611,43.665
1787191200000,43.851,43.92,43.468,43.738
1787194800000,43.597,43.686,43.568,43.668
1787198400000,43.786,43.832,43.671,43.671
1787202000000,43.572,43.67,43.572,43.67
1787205600000,43.759,43.945,43.644,43.9
1787209200000,43.858,43.926,43.553,43.698
1787212800000,43.62,43.8,42.746,42.931
1787216400000,43.156,43.846,43.156,43.735
1787220000000,43.916,44.333,43.632,43.934
1787223600000,44.024,44.024,42.903,42.966
1787227200000,43.005,43.09,42.407,43.09
1787230800000,43.07,43.582,41.715,42.21
1787234400000,42.214,42.49,41.529,42.32
1787238000000,42.46,42.724,41.283,41.719
1787241600000,41.507,42.073,41.428,42.073
1787245200000,41.758,41.835,41.511,41.634
1787248800000,41.642,41.689,41.255,41.469
1787252400000,41.697,42.795,41.504,42.795
1787256000000,42.817,42.817,42.486,42.608
1787259600000,42.555,42.739,42.552,42.685
1787263200000,42.608,42.635,42.402,42.635
1787266800000,42.514,42.632,42.472,42.594
1787270400000,42.406,42.79,42.406,42.66
1787274000000,42.6,43.22,42.6,42.951
1787277600000,42.959,43.277,42.894,43.175
1787281200000,43.054,43.054,42.857,43.029
1787284800000,42.852,42.992,42.751,42.946
1787288400000,42.989,43.03,42.82,42.82
1787292000000,42.867,43.05,42.819,42.947
1787295600000,42.949,43.418,42.93,43.357
1787299200000,43.357,44.02,43.067,43.921
1787302800000,43.921,44.032,43.474,43.842
1787306400000,43.837,43.988,43.697,43.863
1787310000000,43.832,43.832,43.423,43.509
1787313600000,43.463,43.667,43.252,43.567
1787317200000,43.574,45.86,43.424,43.949
1787320800000,44.084,44.212,40.827,41.542
1787324400000,41.488,42.08,41.056,41.638
1787328000000,41.74,42.04,41.116,41.116
1787331600000,41.014,41.399,40.979,41.321
1787335200000,41.279,41.724,41.183,41.28
1787338800000,41.219,41.878,41.171,41.857
1787342400000,41.885,41.969,41.752,41.946
1787346000000,41.933,42.074,41.92,42.001
1787349600000,42.021,42.049,41.54,41.838
1787353200000,41.801,41.838,41.496,41.838
1787356800000,41.789,41.945,41.7,41.7
1787360400000,41.7,41.704,41.7,41.704
1787364000000,41.743,41.764,41.612,41.612
1787367600000,41.761,41.761,41.607,41.623
1787371200000,41.673,41.703,41.615,41.676
1787374800000,41.6,41.739,39.387,40.766
1787378400000,40.733,40.733,40.499,40.536
1787382000000,40.48,40.545,40.431,40.486
1787385600000,40.507,40.662,40.309,40.386
1787389200000,40.436,40.519,40.351,40.352
1787392800000,40.364,40.645,40.208,40.347
1787396400000,40.361,40.593,40.352,40.55
1787400000000,40.55,40.698,40.55,40.55
1787403600000,40.608,40.632,40.581,40.584
1787407200000,40.584,40.647,40.55,40.647
1787410800000,40.643,40.66,40.633,40.647
1787414400000,40.65,40.777,40.633,40.633
1787418000000,40.642,40.655,40.602,40.632
1787421600000,40.618,40.623,40.601,40.613
1787425200000,40.618,40.66,40.611,40.631
1787428800000,40.61,40.652,40.594,40.598
1787432400000,40.605,40.632,40.566,40.632
1787436000000,40.625,40.66,40.598,40.639
1787439600000,40.637,40.767,40.615,40.754
1787443200000,40.755,40.856,40.711,40.829
1787446800000,40.815,40.891,40.766,40.784
1787450400000,40.784,40.784,40.784,40.784
1787454000000,40.74,40.824,40.74,40.824
1787457600000,40.711,40.723,40.684,40.684
1787461200000,40.723,40.797,40.659,40.7
1787464800000,40.666,40.69,40.55,40.657
1787468400000,40.69,40.87,40.663,40.87
1787472000000,40.832,40.891,40.767,40.873
1787475600000,40.876,40.959,40.805,40.805
1787479200000,40.899,41.039,40.899,41.039
1787482800000,41.049,41.312,40.998,41.024
1787486400000,41.076,41.127,41.01,41.116
1787490000000,41.116,41.116,41.116,41.116
1787493600000,41.042,41.052,40.672,40.958
