t,o,h,l,c
1783209600000,69661.0,69661.0,69291.0,69291.0
1783213200000,69291.0,69291.0,69291.0,69291.0
1783216800000,69532.0,69748.0,69293.0,69360.0
1783220400000,69294.0,69419.0,69294.0,69419.0
1783224000000,69468.0,69754.0,69464.0,69754.0
1783227600000,69669.0,69749.0,69669.0,69676.0
1783231200000,69501.0,69750.0,69500.0,69543.0
1783234800000,69543.0,69543.0,69543.0,69543.0
1783238400000,69552.0,69552.0,69552.0,69552.0
1783242000000,69552.0,69552.0,69552.0,69552.0
1783245600000,69549.0,69549.0,69501.0,69501.0
1783249200000,69575.0,69747.0,69575.0,69747.0
1783252800000,69662.0,69665.0,69501.0,69501.0
1783256400000,69566.0,69741.0,69502.0,69625.0
1783260000000,69623.0,69949.0,69545.0,69721.0
1783263600000,69725.0,69820.0,69502.0,69502.0
1783267200000,69674.0,69883.0,69672.0,69806.0
1783270800000,69792.0,69883.0,69500.0,69883.0
1783274400000,69682.0,69882.0,69682.0,69882.0
1783278000000,69762.0,69883.0,69512.0,69514.0
1783281600000,69610.0,69654.0,69518.0,69653.0
1783285200000,69653.0,69654.0,69653.0,69654.0
1783288800000,69646.0,69839.0,69591.0,69601.0
1783292400000,69801.0,70099.0,69723.0,69955.0
1783296000000,69949.0,70352.0,69440.0,69731.0
1783299600000,69631.0,69786.0,69168.0,69179.0
1783303200000,69284.0,69446.0,68855.0,69026.0
1783306800000,69009.0,69310.0,68961.0,69063.0
1783310400000,69153.0,69663.0,69128.0,69539.0
1783314000000,69521.0,69669.0,69268.0,69667.0
1783317600000,69632.0,69867.0,69538.0,69798.0
1783321200000,69818.0,69927.0,69710.0,69893.0
1783324800000,69925.0,70220.0,69811.0,69858.0
1783328400000,69918.0,70008.0,69789.0,69841.0
1783332000000,69841.0,70020.0,69800.0,69806.0
1783335600000,69788.0,69933.0,69774.0,69933.0
1783339200000,69912.0,69987.0,69869.0,69902.0
1783342800000,69898.0,70248.0,69814.0,70084.0
1783346400000,70061.0,70455.0,70060.0,70208.0
1783350000000,70104.0,70349.0,69962.0,70245.0
1783353600000,70202.0,70391.0,70158.0,70158.0
1783357200000,70150.0,70263.0,69913.0,70018.0
1783360800000,70040.0,70250.0,69971.0,70190.0
1783364400000,70197.0,70338.0,69995.0,70138.0
1783368000000,70152.0,70236.0,70094.0,70123.0
1783371600000,70185.0,70185.0,70038.0,70038.0
1783375200000,70117.0,70215.0,70052.0,70052.0
1783378800000,70154.0,70164.0,69539.0,69601.0
1783382400000,69571.0,70000.0,69200.0,69227.0
1783386000000,69235.0,69365.0,68701.0,68845.0
1783389600000,68854.0,69224.0,68800.0,68800.0
1783393200000,68784.0,69103.0,68480.0,68551.0
1783396800000,68545.0,68655.0,68215.0,68382.0
1783400400000,68380.0,68672.0,68001.0,68609.0
1783404000000,68590.0,68621.0,68134.0,68478.0
1783407600000,68446.0,68589.0,68370.0,68370.0
1783411200000,68368.0,68492.0,68252.0,68252.0
1783414800000,68202.0,68372.0,68200.0,68367.0
1783418400000,68458.0,68458.0,68266.0,68374.0
1783422000000,68330.0,68330.0,68144.0,68279.0
1783425600000,68276.0,68522.0,68218.0,68218.0
1783429200000,68281.0,68347.0,67937.0,68013.0
1783432800000,68069.0,68183.0,67487.0,67560.0
1783436400000,67627.0,67662.0,67357.0,67624.0
1783440000000,67636.0,67948.0,67636.0,67828.0
1783443600000,67912.0,68053.0,67862.0,68000.0
1783447200000,67997.0,67997.0,67673.0,67673.0
1783450800000,67604.0,67632.0,67531.0,67567.0
1783454400000,67660.0,67678.0,67468.0,67559.0
1783458000000,67535.0,67611.0,67347.0,67464.0
1783461600000,67465.0,67576.0,67318.0,67383.0
