t,o,h,l,c
1783209600000,161.38,161.38,161.16,161.31
1783213200000,161.32,161.38,161.26,161.38
1783216800000,161.38,161.38,161.32,161.38
1783220400000,161.34,161.37,161.34,161.35
1783224000000,161.32,161.34,161.32,161.32
1783227600000,161.34,161.35,161.33,161.35
1783231200000,161.35,161.46,161.33,161.45
1783234800000,161.46,161.46,161.45,161.45
1783238400000,161.46,161.46,161.45,161.45
1783242000000,161.46,161.46,161.45,161.46
1783245600000,161.45,161.46,161.45,161.45
1783249200000,161.46,161.46,161.45,161.45
1783252800000,161.45,161.46,161.43,161.43
1783256400000,161.42,161.45,161.33,161.44
1783260000000,161.43,161.44,160.9,161.04
1783263600000,161.06,161.29,160.83,161.14
1783267200000,161.15,161.35,161.08,161.29
1783270800000,161.3,161.34,161.28,161.34
1783274400000,161.34,161.37,161.34,161.37
1783278000000,161.36,161.36,161.24,161.31
1783281600000,161.33,161.33,161.31,161.31
1783285200000,161.32,161.36,161.18,161.24
1783288800000,161.25,161.41,161.25,161.4
1783292400000,161.4,161.44,161.36,161.39
1783296000000,161.41,161.51,161.37,161.4
1783299600000,161.44,161.72,161.44,161.72
1783303200000,161.72,161.76,161.65,161.7
1783306800000,161.69,161.75,161.69,161.75
1783310400000,161.75,161.89,161.71,161.84
1783314000000,161.84,161.98,161.84,161.97
1783317600000,161.98,162.21,161.97,162.18
1783321200000,162.2,162.23,162.08,162.08
1783324800000,162.09,162.24,162.09,162.16
1783328400000,162.16,162.3,162.15,162.28
1783332000000,162.28,162.3,162.28,162.28
1783335600000,162.3,162.3,162.0,162.25
1783339200000,162.25,162.3,161.64,162.3
1783342800000,162.29,162.33,162.12,162.27
1783346400000,162.27,162.31,162.22,162.3
1783350000000,162.3,162.31,162.2,162.2
1783353600000,162.2,162.39,162.19,162.21
1783357200000,162.21,162.51,161.91,162.1
1783360800000,162.1,162.17,161.97,161.97
1783364400000,161.98,162.09,161.98,162.02
1783368000000,162.02,162.11,162.0,162.04
1783371600000,162.04,162.22,161.93,162.01
1783375200000,162.01,162.03,161.93,161.99
1783378800000,161.99,162.04,161.9,162.03
1783382400000,162.03,162.11,162.03,162.04
1783386000000,162.05,162.08,161.71,161.8
1783389600000,161.8,161.89,161.74,161.86
1783393200000,161.86,161.86,161.75,161.79
1783396800000,161.8,161.87,161.65,161.72
1783400400000,161.73,161.82,161.67,161.79
1783404000000,161.8,161.99,161.8,161.96
1783407600000,161.96,162.02,161.7,161.91
1783411200000,161.86,161.87,161.79,161.82
1783414800000,161.84,161.92,161.81,161.92
1783418400000,161.9,161.9,161.81,161.82
1783422000000,161.84,161.92,161.82,161.91
1783425600000,161.86,161.86,161.72,161.81
1783429200000,161.77,161.84,161.76,161.83
