t,o,h,l,c
1783209600000,590.08,590.09,589.56,589.7
1783213200000,589.69,590.38,589.6,589.87
1783216800000,589.96,590.04,589.66,589.82
1783220400000,589.71,590.08,589.4,589.54
1783224000000,589.55,590.52,588.97,590.52
1783227600000,590.27,590.27,590.23,590.23
1783231200000,589.87,590.1,589.29,590.1
1783234800000,590.1,590.12,589.49,589.66
1783238400000,589.72,590.25,589.62,590.25
1783242000000,590.01,590.04,589.24,589.31
1783245600000,589.27,589.92,589.27,589.86
1783249200000,589.86,589.86,589.43,589.7
1783252800000,589.72,590.52,589.0,589.42
1783256400000,589.43,590.52,589.43,590.5
1783260000000,590.49,590.52,588.77,589.6
1783263600000,589.6,590.52,589.54,590.46
1783267200000,590.46,590.52,589.41,590.52
1783270800000,590.52,590.52,590.23,590.23
1783274400000,590.47,590.52,590.24,590.52
1783278000000,590.52,590.52,590.04,590.32
1783281600000,590.31,590.37,590.01,590.25
1783285200000,590.25,590.95,589.96,590.94
1783288800000,590.97,591.62,589.4,591.44
1783292400000,591.42,593.33,591.28,591.56
1783296000000,591.84,592.01,587.0,588.59
1783299600000,588.59,588.7,586.64,587.86
1783303200000,587.92,588.07,587.3,587.38
1783306800000,587.3,588.05,586.85,587.06
1783310400000,587.11,588.55,586.9,587.78
1783314000000,587.89,588.53,587.71,588.41
1783317600000,588.46,589.61,588.03,589.06
1783321200000,588.94,592.79,588.76,591.01
1783324800000,591.2,594.54,591.19,593.44
1783328400000,593.33,594.12,592.16,594.11
1783332000000,594.27,594.82,591.15,591.87
1783335600000,592.01,592.44,590.02,590.85
1783339200000,590.96,593.11,590.63,591.52
1783342800000,591.63,597.31,582.26,582.27
1783346400000,582.26,590.02,581.49,588.77
1783350000000,588.63,592.68,588.32,592.68
1783353600000,592.29,597.69,591.68,592.09
1783357200000,592.12,594.92,592.12,593.82
1783360800000,593.79,602.27,593.48,599.86
1783364400000,599.92,603.39,599.28,600.17
1783368000000,600.4,603.6,599.72,600.46
1783371600000,600.22,600.28,599.44,599.73
1783375200000,599.77,601.2,599.51,600.35
1783378800000,600.7,601.19,599.93,600.35
1783382400000,600.28,601.78,598.82,600.64
1783386000000,600.38,600.69,597.43,598.91
1783389600000,599.05,600.29,598.72,600.29
1783393200000,600.24,600.74,598.03,598.46
1783396800000,598.29,598.89,597.85,598.2
1783400400000,598.37,600.15,596.84,600.15
1783404000000,600.0,600.93,598.99,600.1
