t,o,h,l,c
1783209600000,391.42,391.42,390.95,390.95
1783213200000,391.11,391.36,391.0,391.09
1783216800000,391.3,391.42,391.19,391.19
1783220400000,391.08,391.08,390.88,390.88
1783224000000,391.3,391.54,391.27,391.45
1783227600000,391.23,391.5,391.23,391.23
1783231200000,391.47,391.53,391.2,391.25
1783234800000,391.38,391.4,391.04,391.04
1783238400000,391.3,391.3,391.1,391.25
1783242000000,391.13,391.26,390.71,390.71
1783245600000,391.0,391.03,390.91,390.91
1783249200000,391.05,391.22,390.95,390.95
1783252800000,391.1,391.2,390.94,391.14
1783256400000,391.08,391.79,391.05,391.75
1783260000000,391.77,391.97,391.47,391.97
1783263600000,391.95,392.01,391.2,391.47
1783267200000,391.88,392.03,391.88,392.03
1783270800000,392.02,392.3,391.76,392.17
1783274400000,392.21,392.68,392.14,392.63
1783278000000,392.62,392.66,391.72,391.73
1783281600000,391.8,392.31,391.78,392.31
1783285200000,392.43,392.89,392.43,392.64
1783288800000,392.76,393.47,392.21,393.23
1783292400000,393.15,393.84,392.91,393.27
1783296000000,393.31,393.35,391.03,391.58
1783299600000,391.47,391.47,389.62,390.85
1783303200000,390.98,391.16,390.31,390.56
1783306800000,390.58,390.58,389.68,390.19
1783310400000,390.16,390.9,390.12,390.45
1783314000000,390.34,390.45,389.55,389.62
1783317600000,389.68,390.08,389.53,389.82
1783321200000,389.78,391.09,389.53,390.82
1783324800000,391.02,392.51,390.5,391.51
1783328400000,391.4,391.76,390.98,391.74
1783332000000,391.75,391.78,390.91,391.14
1783335600000,390.98,391.16,388.37,388.38
1783339200000,388.59,388.68,386.7,387.47
1783342800000,387.47,388.95,381.6,384.76
1783346400000,385.0,385.5,382.69,385.33
1783350000000,385.37,387.07,385.21,386.18
1783353600000,386.18,386.32,383.82,385.12
1783357200000,385.41,386.3,384.28,384.85
1783360800000,384.91,386.94,384.29,386.02
1783364400000,386.18,387.36,385.81,387.1
1783368000000,387.11,387.55,386.94,387.49
1783371600000,387.54,387.7,386.94,387.31
1783375200000,387.2,387.59,387.07,387.15
1783378800000,387.2,387.33,384.86,386.54
