t,o,h,l,c
1783209600000,1033.5,1037.8,1030.7,1035.8
1783213200000,1035.8,1037.8,1035.0,1036.5
1783216800000,1036.7,1041.5,1034.3,1038.3
1783220400000,1038.2,1042.1,1035.5,1041.0
1783224000000,1041.2,1042.1,1037.3,1038.4
1783227600000,1038.3,1040.9,1035.6,1037.7
1783231200000,1037.7,1038.4,1035.7,1035.9
1783234800000,1036.0,1037.6,1032.6,1033.3
1783238400000,1033.6,1036.4,1032.7,1036.0
1783242000000,1035.6,1036.5,1027.8,1032.7
1783245600000,1032.6,1038.2,1031.4,1037.0
1783249200000,1037.1,1040.7,1036.6,1039.4
1783252800000,1039.5,1043.7,1038.3,1042.8
1783256400000,1042.9,1046.7,1040.7,1042.4
1783260000000,1042.4,1042.5,1036.5,1037.9
1783263600000,1037.8,1039.6,1033.7,1034.8
1783267200000,1035.1,1037.2,1033.6,1034.0
1783270800000,1034.1,1035.4,1032.0,1035.1
1783274400000,1035.1,1037.6,1034.1,1037.2
1783278000000,1037.4,1038.1,1035.9,1036.8
1783281600000,1036.7,1038.5,1036.4,1036.9
1783285200000,1036.9,1039.9,1035.2,1038.6
1783288800000,1039.1,1044.8,1034.8,1035.8
1783292400000,1035.6,1047.7,1020.5,1026.3
1783296000000,1025.8,1049.8,1022.9,1033.4
1783299600000,1033.7,1036.2,1004.3,1016.3
1783303200000,1016.4,1019.1,992.11,1003.9
1783306800000,1004.1,1014.7,1002.8,1009.4
1783310400000,1009.2,1018.0,1003.5,1014.4
1783314000000,1014.8,1015.6,1005.9,1013.9
1783317600000,1014.1,1016.5,1006.6,1013.4
1783321200000,1013.7,1015.1,1006.1,1006.4
1783324800000,1006.9,1012.2,998.48,1005.8
1783328400000,1005.8,1011.5,997.21,1003.1
1783332000000,1003.2,1004.2,993.24,1002.7
1783335600000,1002.6,1012.3,996.01,1007.2
1783339200000,1007.3,1014.1,1005.0,1013.5
1783342800000,1013.3,1013.6,989.69,995.1
1783346400000,995.11,1019.2,993.56,1013.1
1783350000000,1012.8,1013.6,994.05,1013.2
1783353600000,1012.9,1015.2,1000.5,1001.3
1783357200000,1001.6,1004.5,984.04,985.5
1783360800000,985.6,998.78,985.06,998.3
1783364400000,998.3,1006.5,983.33,985.03
1783368000000,985.35,990.24,984.01,987.91
1783371600000,987.63,991.5,986.98,988.8
1783375200000,988.86,991.82,967.1,972.81
1783378800000,972.82,979.94,956.93,960.34
1783382400000,960.33,971.36,951.7,954.0
1783386000000,954.45,957.59,934.2,943.77
1783389600000,944.21,950.78,938.09,941.41
1783393200000,941.49,948.29,928.31,932.74
1783396800000,932.64,935.13,924.0,926.4
1783400400000,926.72,943.89,917.09,939.7
1783404000000,939.93,950.0,931.97,949.43
1783407600000,949.62,950.6,939.1,939.65
1783411200000,939.65,942.31,928.79,929.15
1783414800000,929.18,933.13,921.47,930.22
1783418400000,930.23,937.43,927.12,935.16
1783422000000,935.29,935.96,923.19,930.95
1783425600000,931.0,947.61,931.0,935.8
1783429200000,935.56,937.17,911.56,919.58
1783432800000,918.74,927.0,893.8,916.7
1783436400000,916.7,928.3,904.1,917.8
1783440000000,918.04,932.18,917.33,930.43
1783443600000,930.51,940.19,928.62,936.7
1783447200000,936.7,937.75,916.5,917.35
1783450800000,917.07,941.5,908.04,939.81
1783454400000,939.52,945.93,932.52,938.11
1783458000000,937.89,940.25,923.51,924.78
1783461600000,924.77,928.66,921.18,924.85
1783465200000,924.9,926.21,912.65,915.15
1783468800000,915.15,962.12,911.72,958.54
1783472400000,958.59,960.27,925.81,934.78
1783476000000,934.57,939.72,927.32,937.15
1783479600000,937.81,949.95,937.38,938.37
1783483200000,938.62,940.12,919.88,928.69
1783486800000,928.77,933.56,914.45,919.42
1783490400000,919.24,919.93,900.0,905.32
1783494000000,905.11,914.4,903.01,911.36
1783497600000,911.64,916.22,880.17,886.42
1783501200000,887.01,891.58,875.7,888.3
1783504800000,888.83,905.75,888.21,897.59
1783508400000,897.99,905.39,891.8,902.67
1783512000000,902.05,914.88,900.76,907.0
1783515600000,907.0,957.73,900.5,955.45
1783519200000,955.09,958.44,928.3,936.17
1783522800000,936.02,937.78,914.5,921.2
1783526400000,921.6,946.92,920.36,942.94
1783530000000,942.64,948.0,932.2,934.31
1783533600000,934.51,944.51,933.59,941.85
1783537200000,942.08,951.29,940.69,949.3
1783540800000,949.32,949.81,937.75,940.07
1783544400000,940.07,946.8,939.34,944.82
1783548000000,944.86,947.65,943.05,947.45
1783551600000,947.65,958.36,944.46,957.97
1783555200000,958.01,980.21,957.51,958.48
1783558800000,958.48,971.75,946.68,947.37
1783562400000,947.43,958.03,936.57,937.24
1783566000000,937.4,947.87,930.26,944.59
1783569600000,944.74,947.44,935.42,944.67
1783573200000,944.56,956.39,936.86,956.39
1783576800000,956.28,973.31,951.47,969.92
1783580400000,969.71,985.93,968.77,984.49
1783584000000,984.24,994.7,980.56,984.48
1783587600000,984.26,988.8,977.05,981.5
1783591200000,981.59,988.91,979.53,981.09
1783594800000,981.12,1003.1,976.59,998.11
1783598400000,998.36,1013.1,996.53,1009.1
1783602000000,1009.0,1034.4,1007.3,1026.8
1783605600000,1027.6,1032.4,1003.3,1014.3
1783609200000,1014.4,1023.4,1012.7,1015.3
1783612800000,1015.3,1021.2,1008.6,1014.0
1783616400000,1014.1,1026.3,1013.8,1022.7
1783620000000,1022.6,1024.0,1005.7,1007.9
1783623600000,1007.8,1008.8,987.96,991.66
1783627200000,991.3,994.65,986.99,992.2
1783630800000,992.47,996.25,991.84,995.07
1783634400000,995.27,1001.2,994.68,1001.0
1783638000000,1000.6,1003.7,997.6,1002.0
1783641600000,1002.1,1002.8,978.22,994.47
1783645200000,994.19,997.08,987.42,990.12
1783648800000,990.23,993.54,985.3,993.54
1783652400000,993.53,993.54,986.92,991.32
1783656000000,991.37,993.46,986.14,987.35
1783659600000,987.37,988.6,977.37,979.83
1783663200000,979.97,980.29,960.91,970.4
1783666800000,970.96,971.36,963.32,966.86
1783670400000,967.24,970.44,959.09,965.23
1783674000000,965.21,981.08,960.13,974.84
1783677600000,975.09,980.64,971.71,979.02
1783681200000,979.08,989.19,978.04,981.53
1783684800000,981.65,983.97,968.59,968.67
1783688400000,968.64,978.87,957.55,972.4
1783692000000,972.55,983.34,968.35,970.3
1783695600000,970.17,984.75,955.11,970.12
1783699200000,970.12,984.17,970.05,981.94
1783702800000,982.56,998.11,979.54,990.58
1783706400000,990.81,994.02,986.17,991.69
1783710000000,991.69,995.0,978.52,979.47
1783713600000,979.46,981.95,976.2,980.56
1783717200000,980.43,981.05,978.5,979.0
1783720800000,979.28,980.41,976.57,978.21
1783724400000,978.54,983.8,977.24,983.0
1783728000000,983.0,983.89,979.41,980.05
1783731600000,979.72,981.94,976.52,979.1
1783735200000,979.11,983.75,978.0,982.18
1783738800000,982.17,983.6,981.64,982.06
1783742400000,982.06,983.18,981.5,982.06
1783746000000,982.07,983.37,981.8,982.75
1783749600000,982.77,985.74,982.35,984.29
1783753200000,984.2,986.88,983.55,984.28
1783756800000,984.37,986.69,984.04,986.0
1783760400000,985.73,989.63,984.6,985.99
1783764000000,985.9,988.0,984.79,987.56
1783767600000,987.56,988.03,986.3,987.88
1783771200000,987.88,990.2,986.8,986.94
1783774800000,986.94,987.0,983.96,985.72
1783778400000,985.7,985.7,982.73,984.0
1783782000000,983.94,985.98,982.45,983.26
1783785600000,983.14,985.37,982.64,983.94
1783789200000,983.91,987.38,983.83,987.02
1783792800000,987.0,987.0,984.57,985.68
1783796400000,985.72,987.8,985.65,987.39
1783800000000,987.18,987.4,985.75,986.14
1783803600000,986.08,986.7,984.44,985.32
1783807200000,985.52,987.0,979.99,981.05
1783810800000,981.07,981.49,974.3,978.49
1783814400000,978.28,979.82,976.5,977.82
1783818000000,977.84,979.2,975.25,976.93
1783821600000,977.15,978.7,975.21,976.6
1783825200000,976.34,978.68,976.28,978.08
1783828800000,978.03,978.74,976.81,978.42
1783832400000,978.41,978.74,976.88,978.4
1783836000000,978.24,978.33,973.87,975.36
1783839600000,975.36,975.4,973.31,975.01
1783843200000,974.93,977.95,974.52,977.94
1783846800000,977.95,980.29,977.31,978.4
1783850400000,978.43,981.0,978.0,979.97
1783854000000,980.0,983.16,979.9,982.84
1783857600000,982.9,983.27,979.81,980.64
1783861200000,980.64,982.3,980.14,981.33
1783864800000,981.33,982.44,980.79,981.1
1783868400000,981.14,981.99,980.42,981.35
1783872000000,981.39,982.8,980.94,982.5
1783875600000,982.55,983.88,980.22,980.41
1783879200000,980.45,981.16,979.49,980.24
1783882800000,980.41,984.05,980.23,983.25
1783886400000,983.16,983.25,981.52,981.62
1783890000000,981.64,981.8,978.59,979.2
1783893600000,979.08,979.9,970.9,977.19
1783897200000,977.19,977.24,964.59,966.48
1783900800000,966.5,989.12,960.5,962.88
1783904400000,962.63,965.17,939.67,942.33
1783908000000,942.57,946.35,930.0,930.1
1783911600000,930.29,934.95,925.48,928.57
1783915200000,928.57,929.57,921.68,925.3
1783918800000,925.4,929.53,917.78,925.85
1783922400000,926.25,927.36,915.03,918.13
1783926000000,918.32,925.39,915.25,919.64
1783929600000,919.75,933.24,913.46,930.06
1783933200000,930.2,932.6,927.1,931.3
1783936800000,931.37,932.11,924.14,927.85
1783940400000,927.8,942.37,927.8,935.64
1783944000000,935.64,937.12,923.26,926.72
1783947600000,926.7,932.27,903.58,923.74
1783951200000,924.14,942.8,921.19,942.79
1783954800000,942.8,943.87,928.69,932.39
1783958400000,932.4,938.45,920.81,930.29
1783962000000,929.86,935.83,926.16,929.8
1783965600000,929.88,933.4,923.09,929.9
1783969200000,930.21,942.1,928.07,936.99
1783972800000,937.11,938.94,926.53,930.02
