t,o,h,l,c
1783209600000,197.04,197.17,196.83,196.99
1783213200000,197.07,197.25,197.01,197.17
1783216800000,197.19,197.42,197.07,197.39
1783220400000,197.39,197.39,196.89,197.17
1783224000000,197.19,197.3,197.05,197.2
1783227600000,197.3,197.46,197.15,197.32
1783231200000,197.32,197.53,197.26,197.47
1783234800000,197.51,197.59,197.41,197.53
1783238400000,197.54,197.6,197.31,197.6
1783242000000,197.58,197.58,196.82,197.12
1783245600000,197.1,197.39,196.89,197.29
1783249200000,197.33,197.51,197.21,197.49
1783252800000,197.5,197.83,197.43,197.81
1783256400000,197.85,198.0,197.55,197.63
1783260000000,197.67,197.84,197.42,197.8
1783263600000,197.8,197.96,197.73,197.87
1783267200000,197.86,198.0,197.82,197.94
1783270800000,197.95,197.96,197.63,197.86
1783274400000,197.81,197.96,197.81,197.94
1783278000000,197.94,197.98,197.83,197.97
1783281600000,197.99,198.0,197.87,197.99
1783285200000,197.97,198.03,197.75,197.83
1783288800000,197.89,198.29,197.5,198.13
1783292400000,198.14,198.45,198.08,198.33
1783296000000,198.34,198.45,195.23,195.86
1783299600000,195.91,196.05,195.29,195.55
1783303200000,195.58,195.77,194.74,195.21
1783306800000,195.24,195.75,194.9,195.21
1783310400000,195.11,195.63,194.98,195.36
1783314000000,195.37,195.37,194.81,195.09
1783317600000,195.14,195.29,194.15,194.89
1783321200000,194.88,195.51,194.81,195.35
1783324800000,195.33,195.66,194.81,195.35
1783328400000,195.29,195.52,195.06,195.29
1783332000000,195.28,195.76,195.17,195.28
1783335600000,195.32,196.06,195.29,195.55
1783339200000,195.54,195.87,195.04,195.41
1783342800000,195.45,196.64,194.19,196.37
1783346400000,196.37,197.51,195.86,196.18
1783350000000,196.2,196.75,195.48,196.55
1783353600000,196.54,197.64,196.44,196.52
1783357200000,196.62,196.96,195.77,195.81
1783360800000,195.87,196.78,195.81,196.73
1783364400000,196.8,197.18,195.6,195.71
1783368000000,195.71,195.73,195.34,195.44
1783371600000,195.42,195.73,195.39,195.64
1783375200000,195.65,195.76,195.35,195.57
1783378800000,195.51,195.56,194.87,194.94
1783382400000,194.87,195.45,194.7,194.83
1783386000000,194.79,194.95,194.23,194.57
1783389600000,194.55,194.82,194.33,194.49
1783393200000,194.48,194.75,194.07,194.47
1783396800000,194.53,194.64,193.61,193.77
1783400400000,193.77,194.33,193.38,194.16
1783404000000,194.19,194.4,193.93,194.35
1783407600000,194.25,194.63,194.21,194.43
1783411200000,194.37,194.39,193.96,194.01
1783414800000,193.94,194.25,193.86,194.19
1783418400000,194.25,194.57,192.25,192.73
1783422000000,192.74,192.77,190.8,191.55
1783425600000,191.53,192.89,191.39,192.38
1783429200000,192.38,193.38,191.72,192.79
1783432800000,192.7,193.65,191.33,192.77
1783436400000,192.68,194.89,192.45,194.82
1783440000000,194.83,198.18,194.73,197.54
1783443600000,197.51,198.47,197.43,198.02
1783447200000,198.02,198.02,196.44,196.52
1783450800000,196.5,197.06,195.62,197.06
1783454400000,197.05,197.18,196.47,196.64
1783458000000,196.65,196.85,195.77,195.83
1783461600000,195.85,196.05,195.61,196.01
1783465200000,196.01,196.46,195.77,195.93
1783468800000,195.94,197.93,195.8,197.69
1783472400000,197.7,197.99,196.99,197.22
1783476000000,197.2,197.21,196.52,197.05
1783479600000,197.11,197.84,197.11,197.39
1783483200000,197.41,197.59,196.69,196.88
1783486800000,196.87,197.09,195.9,196.01
1783490400000,195.98,196.19,195.51,196.03
1783494000000,196.04,196.55,195.57,196.45
1783497600000,196.46,197.01,193.6,194.07
1783501200000,193.99,194.19,192.94,193.46
1783504800000,193.51,194.33,193.17,193.79
1783508400000,193.8,194.81,193.65,194.5
1783512000000,194.48,195.59,194.3,194.97
1783515600000,194.99,199.92,194.82,197.66
1783519200000,197.69,199.19,196.13,198.97
1783522800000,198.93,199.4,196.52,197.29
1783526400000,197.31,201.37,197.31,201.17
1783530000000,201.14,203.76,200.45,202.21
1783533600000,202.27,204.32,202.07,204.27
1783537200000,204.31,205.2,203.89,204.23
