t,o,h,l,c
1783209600000,143.19,143.19,142.88,143.1
1783213200000,143.14,143.55,142.96,143.52
1783216800000,143.56,143.6,143.15,143.25
1783220400000,143.3,143.44,143.2,143.44
1783224000000,143.43,143.58,143.33,143.48
1783227600000,143.56,143.61,143.38,143.61
1783231200000,143.54,143.57,143.27,143.43
1783234800000,143.44,143.65,143.09,143.65
1783238400000,143.67,143.67,143.51,143.66
1783242000000,143.59,143.63,143.03,143.07
1783245600000,143.09,143.59,142.95,143.45
1783249200000,143.5,143.67,143.26,143.62
1783252800000,143.62,143.75,143.52,143.72
1783256400000,143.75,143.92,143.75,143.92
1783260000000,143.89,143.94,143.47,143.94
1783263600000,143.93,144.0,143.71,143.97
1783267200000,143.97,144.02,143.77,143.91
1783270800000,143.91,144.15,143.48,143.85
1783274400000,143.84,143.93,143.81,143.93
1783278000000,143.95,143.95,143.76,143.95
1783281600000,143.88,144.13,143.8,144.02
1783285200000,144.04,144.25,143.89,144.18
1783288800000,144.22,144.4,143.81,144.06
1783292400000,144.12,144.4,143.79,143.93
1783296000000,143.95,144.0,142.54,143.02
1783299600000,142.99,143.22,142.68,142.8
1783303200000,142.79,143.14,142.56,142.81
1783306800000,142.76,143.01,142.65,142.78
1783310400000,142.75,143.23,142.62,143.1
1783314000000,143.09,143.27,142.92,143.14
1783317600000,143.12,143.57,143.07,143.4
1783321200000,143.44,144.22,143.38,143.77
1783324800000,143.81,146.92,143.81,145.59
1783328400000,145.59,145.91,145.31,145.39
1783332000000,145.39,145.54,144.82,145.11
1783335600000,145.06,145.06,143.64,143.64
1783339200000,143.71,144.35,143.48,143.81
1783342800000,144.13,145.54,141.57,142.54
1783346400000,142.77,143.3,141.38,141.97
1783350000000,142.15,143.13,142.03,142.58
1783353600000,142.54,144.41,142.54,143.74
1783357200000,143.64,144.84,143.56,143.59
1783360800000,143.66,143.96,143.22,143.27
1783364400000,143.48,144.54,143.07,143.87
1783368000000,143.69,144.11,143.36,143.83
1783371600000,143.83,144.01,143.73,143.87
1783375200000,143.9,144.33,143.84,144.33
1783378800000,144.32,144.37,143.49,143.58
1783382400000,143.58,144.2,143.44,144.01
1783386000000,143.97,143.97,142.68,143.18
