t,o,h,l,c
1783209600000,131.16,131.24,131.07,131.1
1783213200000,131.13,131.35,131.12,131.35
1783216800000,131.4,131.51,131.31,131.31
1783220400000,131.22,131.26,131.08,131.09
1783224000000,131.2,131.6,131.2,131.35
1783227600000,131.32,131.36,131.29,131.36
1783231200000,131.31,131.54,131.21,131.54
1783234800000,131.52,131.68,131.48,131.66
1783238400000,131.72,131.76,131.48,131.73
1783242000000,131.71,131.72,131.05,131.22
1783245600000,131.21,131.42,131.2,131.35
1783249200000,131.42,131.45,131.31,131.31
1783252800000,131.3,131.35,131.04,131.04
1783256400000,131.07,131.27,131.0,131.04
1783260000000,131.07,131.29,131.01,131.09
1783263600000,131.16,131.35,131.13,131.17
1783267200000,131.1,131.38,131.08,131.38
1783270800000,131.37,131.46,131.15,131.45
1783274400000,131.52,131.64,131.47,131.64
1783278000000,131.55,131.62,131.53,131.62
1783281600000,131.67,131.78,131.55,131.74
1783285200000,131.64,131.9,131.58,131.77
1783288800000,131.68,131.82,131.25,131.65
1783292400000,131.78,132.04,131.55,131.64
1783296000000,131.37,131.37,129.35,130.34
1783299600000,130.22,130.22,128.33,129.11
1783303200000,129.14,129.38,128.88,128.99
1783306800000,128.83,129.01,128.11,128.55
1783310400000,128.44,129.25,128.44,129.16
1783314000000,129.25,129.27,128.79,129.05
1783317600000,129.02,129.02,128.55,128.77
1783321200000,128.8,129.06,128.54,129.03
1783324800000,129.02,129.85,128.82,129.73
1783328400000,129.72,129.93,129.58,129.93
1783332000000,130.02,130.36,129.87,129.95
1783335600000,130.01,130.09,128.45,128.57
1783339200000,128.41,128.94,127.95,128.3
1783342800000,128.35,132.93,126.91,131.46
1783346400000,131.55,131.73,130.21,130.38
1783350000000,130.29,133.95,130.17,133.72
1783353600000,133.75,134.1,132.78,133.0
1783357200000,132.89,133.25,131.58,131.69
1783360800000,131.69,132.78,131.51,132.56
1783364400000,132.59,132.83,131.8,132.57
1783368000000,132.53,133.11,132.4,132.98
1783371600000,132.84,133.46,132.76,133.26
1783375200000,133.27,133.27,132.81,132.84
1783378800000,133.0,133.0,132.77,132.82
1783382400000,132.82,132.83,132.15,132.51
1783386000000,132.45,132.66,132.27,132.61
1783389600000,132.44,132.44,132.22,132.37
1783393200000,132.34,132.54,132.28,132.34
1783396800000,132.37,132.65,132.28,132.51
1783400400000,132.53,133.55,132.27,133.28
1783404000000,133.23,133.55,133.16,133.55
1783407600000,133.42,133.98,133.28,133.28
1783411200000,133.42,134.61,133.42,134.57
1783414800000,134.52,134.9,134.3,134.35
1783418400000,134.39,134.72,134.15,134.4
1783422000000,134.15,135.6,134.15,135.29
1783425600000,135.22,135.22,134.4,134.55
1783429200000,134.57,134.8,132.31,133.91
1783432800000,133.89,134.58,131.54,134.17
1783436400000,134.1,136.05,134.03,135.53
1783440000000,135.46,137.62,135.33,137.62
1783443600000,137.65,138.77,136.78,138.71
1783447200000,138.66,138.9,136.89,136.89
1783450800000,136.8,137.47,134.33,134.33
1783454400000,134.52,134.88,133.98,134.67
1783458000000,134.86,134.94,134.13,134.32
1783461600000,134.22,134.48,134.13,134.3
1783465200000,134.25,134.41,134.08,134.08
1783468800000,134.21,134.76,133.81,133.91
1783472400000,133.75,133.79,132.04,132.1
1783476000000,132.04,133.1,131.57,132.94
1783479600000,132.91,133.09,132.64,132.64
1783483200000,132.73,133.07,132.71,133.07
1783486800000,133.12,133.61,133.12,133.61
1783490400000,133.58,134.06,133.39,133.88
1783494000000,133.92,133.94,133.57,133.59
1783497600000,133.64,133.64,129.56,130.39
1783501200000,130.39,130.8,129.1,129.73
1783504800000,130.03,130.67,129.62,130.55
1783508400000,130.58,130.71,129.6,130.33
1783512000000,130.2,131.33,130.2,130.75
1783515600000,130.88,130.97,126.8,127.74
1783519200000,127.72,129.09,127.5,128.11
1783522800000,128.34,129.1,128.0,128.37
1783526400000,128.49,129.42,128.49,129.03
1783530000000,128.93,130.0,128.83,129.84
1783533600000,129.96,130.91,129.79,130.63
1783537200000,130.67,132.4,130.15,132.29
1783540800000,132.1,132.37,131.72,131.9
1783544400000,131.79,131.82,131.61,131.66
1783548000000,131.82,131.82,131.2,131.42
1783551600000,131.23,131.54,131.22,131.53
1783555200000,131.65,132.19,131.29,132.09
1783558800000,132.21,132.54,131.97,132.1
1783562400000,131.88,132.35,131.8,131.94
1783566000000,131.89,132.24,131.85,132.2
1783569600000,132.34,133.26,132.18,133.26
1783573200000,133.26,133.45,132.64,133.2
1783576800000,133.31,133.31,132.66,132.66
1783580400000,132.62,132.86,131.79,131.91
1783584000000,131.89,132.0,130.35,130.8
1783587600000,130.82,131.12,130.41,130.91
1783591200000,130.92,130.92,129.82,130.14
1783594800000,129.99,130.16,129.12,129.38
1783598400000,129.39,129.39,128.05,128.53
1783602000000,128.43,128.52,126.02,128.2
1783605600000,128.32,128.53,124.89,126.02
1783609200000,125.78,127.54,125.78,126.89
1783612800000,126.92,127.26,126.32,127.0
1783616400000,127.05,128.22,127.05,127.93
1783620000000,127.87,128.79,127.84,128.69
1783623600000,128.71,129.19,128.43,129.07
1783627200000,128.96,129.07,128.76,128.87
1783630800000,128.88,128.89,128.29,128.53
1783634400000,128.64,128.79,128.41,128.58
1783638000000,128.64,128.82,128.6,128.79
1783641600000,128.66,128.85,128.27,128.63
1783645200000,128.43,128.75,128.34,128.46
1783648800000,128.39,128.52,128.28,128.45
1783652400000,128.65,128.65,128.32,128.51
1783656000000,128.6,128.71,128.32,128.36
1783659600000,128.3,128.31,128.15,128.16
1783663200000,128.14,128.57,128.12,128.46
1783666800000,128.44,129.27,128.44,128.88
1783670400000,128.97,130.77,128.9,130.14
1783674000000,130.23,130.58,129.92,130.16
1783677600000,130.21,130.35,129.9,130.09
1783681200000,129.9,130.22,129.26,130.19
1783684800000,130.15,131.17,129.99,131.05
1783688400000,131.15,132.22,127.67,127.8
1783692000000,127.5,128.57,125.94,126.25
1783695600000,126.32,127.22,125.94,127.09
1783699200000,127.1,127.84,126.87,127.84
1783702800000,127.83,128.03,126.01,126.17
1783706400000,126.21,126.97,126.12,126.58
1783710000000,126.52,127.18,126.47,126.79
1783713600000,126.74,126.84,126.48,126.7
1783717200000,126.73,126.8,126.6,126.72
1783720800000,126.66,126.87,126.52,126.69
1783724400000,126.63,126.65,126.54,126.63
1783728000000,126.66,126.76,126.53,126.74
1783731600000,126.73,126.76,126.6,126.62
1783735200000,126.63,126.8,126.63,126.8
1783738800000,126.79,127.02,126.6,126.93
1783742400000,126.93,126.97,126.89,126.89
1783746000000,126.87,127.04,126.85,126.94
1783749600000,126.9,127.11,126.88,127.11
1783753200000,127.06,127.22,127.0,127.08
1783756800000,127.1,127.19,127.04,127.06
1783760400000,127.14,127.24,126.96,127.16
1783764000000,127.16,127.18,127.12,127.16
1783767600000,127.18,127.18,126.26,126.73
1783771200000,126.73,126.85,126.65,126.65
1783774800000,126.63,126.65,126.52,126.55
1783778400000,126.51,126.74,126.39,126.69
1783782000000,126.7,126.82,126.16,126.17
1783785600000,126.35,127.07,126.24,126.77
1783789200000,126.78,126.98,126.77,126.94
1783792800000,126.98,127.0,126.78,127.0
1783796400000,127.0,127.0,126.84,126.87
1783800000000,126.94,127.07,126.9,127.07
1783803600000,127.06,127.18,126.67,127.11
1783807200000,127.12,127.13,126.77,126.88
1783810800000,126.87,126.87,126.44,126.44
1783814400000,126.56,126.56,126.0,126.11
1783818000000,126.09,126.52,125.99,126.52
1783821600000,126.51,127.5,126.46,127.31
1783825200000,127.31,127.31,126.15,126.36
1783828800000,126.37,126.44,126.17,126.22
1783832400000,126.23,126.25,126.09,126.23
1783836000000,126.23,126.27,125.87,126.19
1783839600000,126.16,126.32,126.15,126.19
1783843200000,126.2,126.2,125.98,126.07
1783846800000,126.1,126.36,126.06,126.36
1783850400000,126.3,126.35,126.19,126.19
1783854000000,126.22,126.45,126.18,126.45
1783857600000,126.43,126.49,126.42,126.45
1783861200000,126.42,126.46,126.26,126.43
1783864800000,126.41,126.57,126.33,126.57
1783868400000,126.63,126.66,126.34,126.34
1783872000000,126.33,126.54,126.23,126.46
1783875600000,126.48,126.59,126.46,126.53
1783879200000,126.49,126.75,126.44,126.56
1783882800000,126.6,126.72,126.6,126.7
1783886400000,126.7,126.73,126.63,126.73
1783890000000,126.76,126.86,126.48,126.71
1783893600000,126.68,126.68,126.04,126.16
