t,o,h,l,c
1783209600000,62.868,62.889,62.777,62.788
1783213200000,62.79,62.852,62.77,62.77
1783216800000,62.777,62.777,62.544,62.546
1783220400000,62.545,62.613,62.54,62.6
1783224000000,62.594,62.702,62.59,62.664
1783227600000,62.664,62.687,62.601,62.65
1783231200000,62.65,62.668,62.613,62.664
1783234800000,62.662,62.662,62.627,62.64
1783238400000,62.639,62.696,62.637,62.691
1783242000000,62.691,62.814,62.691,62.762
1783245600000,62.761,62.85,62.761,62.838
1783249200000,62.838,62.887,62.73,62.842
1783252800000,62.848,62.935,62.785,62.932
1783256400000,62.932,63.081,62.907,62.94
1783260000000,62.94,62.94,62.788,62.801
1783263600000,62.802,63.126,62.746,62.859
1783267200000,62.864,62.89,62.782,62.881
1783270800000,62.88,62.88,62.753,62.791
1783274400000,62.791,62.873,62.763,62.787
1783278000000,62.787,62.904,62.665,62.749
1783281600000,62.748,62.813,62.721,62.736
1783285200000,62.736,62.853,62.639,62.771
1783288800000,62.762,63.243,62.511,63.171
1783292400000,63.171,63.333,62.738,62.846
1783296000000,62.852,62.961,62.49,62.789
1783299600000,62.777,63.14,62.43,62.464
1783303200000,62.479,62.508,61.984,62.087
1783306800000,62.087,62.139,61.791,61.891
1783310400000,61.888,61.939,61.751,61.909
1783314000000,61.909,62.008,61.616,61.688
1783317600000,61.693,61.985,61.63,61.729
1783321200000,61.736,62.397,61.671,62.37
1783324800000,62.37,62.396,61.912,62.028
1783328400000,62.029,62.197,61.86,62.016
1783332000000,62.001,62.266,61.877,62.128
1783335600000,62.118,62.266,62.044,62.214
1783339200000,62.216,62.295,61.478,61.632
1783342800000,61.635,62.07,61.381,61.892
1783346400000,61.883,61.996,61.553,61.762
1783350000000,61.763,61.964,61.676,61.843
1783353600000,61.843,61.926,61.565,61.841
1783357200000,61.86,62.11,61.759,62.008
1783360800000,62.023,62.369,61.929,62.204
1783364400000,62.212,62.252,62.055,62.1
1783368000000,62.11,62.128,62.012,62.11
1783371600000,62.105,62.192,62.104,62.12
1783375200000,62.122,62.182,62.035,62.064
1783378800000,62.061,62.11,61.788,61.811
1783382400000,61.796,62.062,61.49,61.515
1783386000000,61.515,61.6,60.952,61.548
1783389600000,61.548,61.703,61.232,61.305
1783393200000,61.32,61.435,60.927,61.133
1783396800000,61.134,61.315,60.863,60.899
1783400400000,60.898,60.98,60.349,60.578
1783404000000,60.582,61.299,60.582,61.159
1783407600000,61.159,61.167,60.849,60.865
1783411200000,60.865,61.296,60.836,60.961
1783414800000,60.961,61.043,60.791,60.928
1783418400000,60.924,61.162,60.801,60.831
1783422000000,60.837,61.45,60.699,61.424
1783425600000,61.429,61.779,61.365,61.67
1783429200000,61.68,61.909,61.148,61.359
1783432800000,61.356,61.458,60.704,60.964
1783436400000,60.963,61.031,60.517,60.677
1783440000000,60.688,61.037,60.652,60.96
1783443600000,60.969,61.092,60.785,61.046
1783447200000,61.045,61.06,60.455,60.483
1783450800000,60.478,60.494,59.487,60.26
1783454400000,60.274,60.355,59.934,60.003
1783458000000,60.01,60.07,59.933,60.006
1783461600000,60.005,60.007,59.615,59.809
1783465200000,59.791,59.99,59.635,59.698
1783468800000,59.707,60.298,59.646,60.122
1783472400000,60.121,60.316,59.64,60.034
1783476000000,60.033,60.163,59.909,60.045
1783479600000,60.045,60.756,60.045,60.386
1783483200000,60.373,60.478,60.273,60.367
1783486800000,60.368,60.981,60.345,60.861
1783490400000,60.861,61.044,60.591,60.71
1783494000000,60.703,60.823,60.478,60.637
1783497600000,60.644,60.712,58.202,58.435
1783501200000,58.436,58.782,58.273,58.325
1783504800000,58.332,58.798,58.332,58.449
1783508400000,58.453,59.057,58.064,58.751
1783512000000,58.767,58.98,58.359,58.579
1783515600000,58.588,58.985,58.344,58.468
1783519200000,58.471,58.505,57.657,57.844
1783522800000,57.859,57.937,57.261,57.437
1783526400000,57.445,58.046,57.396,57.951
1783530000000,57.922,58.5,57.833,58.158
1783533600000,58.155,58.663,58.117,58.555
1783537200000,58.557,58.706,58.374,58.436
1783540800000,58.424,58.456,58.145,58.301
1783544400000,58.306,58.413,58.306,58.393
1783548000000,58.393,58.515,58.325,58.409
1783551600000,58.41,58.49,58.326,58.433
