t,o,h,l,c
1783602000000,161.0,164.99,155.91,164.99
1783605600000,164.96,164.99,158.58,159.31
1783609200000,159.21,161.41,158.67,160.6
1783612800000,160.96,164.3,160.36,163.51
1783616400000,163.51,164.99,162.54,164.94
1783620000000,164.93,164.99,163.9,164.8
1783623600000,164.99,165.0,157.8,163.82
1783627200000,163.8,167.37,163.26,167.16
1783630800000,167.16,167.29,163.17,164.33
1783634400000,164.46,166.74,164.36,165.43
1783638000000,165.36,165.59,162.99,164.5
1783641600000,164.5,164.5,158.75,161.42
1783645200000,161.69,164.82,160.55,163.11
1783648800000,163.06,163.06,160.51,162.31
1783652400000,161.91,165.12,161.91,164.11
1783656000000,164.74,167.07,164.29,166.7
1783659600000,166.67,167.41,161.8,162.95
1783663200000,162.72,163.48,161.2,162.13
1783666800000,162.61,162.7,158.6,160.6
1783670400000,160.6,164.17,160.59,162.44
1783674000000,162.44,164.29,161.34,164.03
1783677600000,164.03,164.48,161.45,162.0
1783681200000,161.98,166.48,161.97,164.66
1783684800000,164.5,165.51,163.23,163.23
1783688400000,163.24,174.66,159.5,170.07
1783692000000,170.09,173.76,164.3,167.05
1783695600000,167.36,172.65,165.58,171.5
1783699200000,171.43,176.34,171.12,173.59
1783702800000,173.62,173.63,170.4,170.98
1783706400000,170.99,172.13,160.3,169.56
1783710000000,169.6,170.6,167.66,168.0
1783713600000,168.03,169.33,167.72,169.1
1783717200000,169.17,170.19,169.05,170.05
1783720800000,170.05,171.05,169.6,171.02
1783724400000,170.98,173.49,170.94,171.83
1783728000000,171.83,172.83,170.87,171.89
1783731600000,171.86,172.77,170.86,171.11
1783735200000,171.11,172.45,171.07,171.94
1783738800000,171.91,172.14,170.74,171.01
1783742400000,171.0,171.06,170.46,170.91
1783746000000,170.88,171.0,170.61,170.7
1783749600000,170.64,170.93,170.29,170.35
1783753200000,170.36,170.71,170.22,170.36
1783756800000,170.41,170.97,169.97,170.54
1783760400000,170.52,170.68,170.12,170.63
1783764000000,170.66,170.87,170.6,170.63
1783767600000,170.64,170.71,170.18,170.19
1783771200000,170.24,171.02,169.92,170.27
1783774800000,170.24,170.34,169.25,169.77
1783778400000,169.69,170.13,169.5,169.99
1783782000000,169.98,170.18,169.55,169.8
1783785600000,169.81,169.97,169.55,169.78
1783789200000,169.71,170.16,169.68,169.88
1783792800000,169.86,171.01,169.7,171.01
1783796400000,170.9,171.38,170.66,171.19
1783800000000,171.19,172.0,171.04,171.66
1783803600000,171.65,171.97,171.1,171.69
1783807200000,171.77,172.11,171.37,171.44
1783810800000,171.43,172.0,170.66,171.12
1783814400000,171.13,172.54,171.0,171.89
1783818000000,171.89,172.2,171.24,171.91
1783821600000,171.91,172.1,171.56,171.79
1783825200000,171.77,172.36,170.78,171.48
1783828800000,171.49,172.4,171.07,172.16
1783832400000,172.14,172.44,171.44,171.97
1783836000000,171.9,172.45,171.39,172.44
1783839600000,172.35,172.43,171.78,172.02
1783843200000,172.06,172.27,171.71,171.99
1783846800000,171.99,172.12,170.85,171.34
1783850400000,171.38,171.58,171.12,171.28
1783854000000,171.32,171.65,171.19,171.39
1783857600000,171.42,171.71,171.11,171.23
1783861200000,171.26,171.49,171.06,171.3
1783864800000,171.32,171.36,171.08,171.17
1783868400000,171.06,171.23,170.81,170.99
1783872000000,170.99,171.19,170.61,170.85
1783875600000,170.79,170.98,170.42,170.68
1783879200000,170.77,171.3,170.0,170.57
1783882800000,170.63,170.88,170.36,170.67
1783886400000,170.69,170.74,170.34,170.39
1783890000000,170.4,170.72,170.32,170.62
1783893600000,170.65,171.07,169.54,170.63
1783897200000,170.6,170.61,167.05,167.15
1783900800000,167.32,170.64,162.75,163.66
1783904400000,163.67,164.48,160.58,161.11
1783908000000,161.11,164.28,159.22,160.53
1783911600000,160.54,160.77,158.3,159.03
1783915200000,158.96,159.5,157.52,158.12
1783918800000,158.19,159.86,156.31,157.82
1783922400000,157.78,158.6,156.0,157.49
1783926000000,157.4,157.65,150.84,152.47
1783929600000,152.47,154.09,150.45,151.79
1783933200000,151.83,155.13,151.79,154.6
1783936800000,154.53,154.76,153.01,154.55
1783940400000,154.39,155.02,152.4,153.54
1783944000000,153.52,153.6,150.38,152.85
1783947600000,152.8,159.01,151.99,156.77
1783951200000,156.79,161.82,155.04,157.02
1783954800000,156.93,158.66,151.32,152.97
1783958400000,152.94,155.18,152.06,155.08
1783962000000,154.94,157.4,154.87,156.81
1783965600000,156.82,158.1,153.0,153.5
1783969200000,153.36,154.92,151.39,153.31
1783972800000,153.32,153.42,151.97,152.45
1783976400000,152.48,152.96,152.14,152.29
1783980000000,152.28,153.13,152.12,152.51
1783983600000,152.5,152.93,149.35,152.66
1783987200000,152.67,158.49,150.25,158.49
1783990800000,158.42,160.36,155.08,155.18
1783994400000,155.35,155.76,150.64,152.68
1783998000000,152.67,154.91,149.32,153.56
1784001600000,153.89,159.6,151.7,159.23
1784005200000,159.24,164.6,157.82,161.27
1784008800000,161.3,163.43,161.0,162.96
1784012400000,162.93,164.96,162.06,162.38
1784016000000,162.55,163.14,160.68,162.1
1784019600000,162.1,162.55,161.79,162.28
1784023200000,162.28,163.07,162.06,162.92
1784026800000,162.92,162.92,161.35,162.25
1784030400000,162.25,165.98,160.51,164.28
1784034000000,164.34,172.7,164.33,170.26
1784037600000,170.28,175.5,165.36,174.55
1784041200000,174.61,182.32,174.11,178.31
1784044800000,178.31,187.24,177.83,182.31
1784048400000,182.36,186.42,181.99,183.66
1784052000000,183.75,189.44,183.22,186.34
1784055600000,186.22,193.99,184.28,193.6
1784059200000,193.61,195.17,189.09,189.09
1784062800000,189.29,189.49,181.77,182.48
1784066400000,182.51,186.52,181.54,186.25
1784070000000,186.24,187.63,184.91,185.83
1784073600000,185.78,195.01,185.37,191.72
1784077200000,191.77,191.8,186.19,188.64
1784080800000,188.56,190.25,187.51,187.55
1784084400000,187.55,191.25,187.31,190.56
1784088000000,190.59,191.9,188.17,189.59
1784091600000,189.63,190.37,185.91,187.51
1784095200000,187.58,188.52,186.61,187.14
1784098800000,187.21,188.14,183.07,184.77
1784102400000,184.72,185.43,181.3,182.47
1784106000000,182.46,183.46,180.5,181.07
1784109600000,181.08,182.92,179.91,182.02
1784113200000,182.07,183.25,181.42,181.98
