t,o,h,l,c
1783209600000,608.64,608.64,604.53,606.42
1783213200000,608.05,610.13,606.6,610.13
1783216800000,609.11,611.1,609.11,609.55
1783220400000,610.56,611.1,610.56,611.1
1783224000000,610.99,611.1,609.57,611.0
1783227600000,610.43,611.09,610.43,611.09
1783231200000,611.01,611.1,611.01,611.1
1783234800000,610.52,611.5,609.47,611.49
1783238400000,611.22,611.5,610.62,611.5
1783242000000,611.5,611.5,611.5,611.5
1783245600000,610.2,610.84,609.73,610.84
1783249200000,611.48,612.71,608.81,611.54
1783252800000,612.36,612.71,608.96,612.14
1783256400000,612.46,613.11,607.06,613.11
1783260000000,613.11,613.91,610.71,613.91
1783263600000,613.91,614.71,608.7,614.69
1783267200000,614.55,614.71,608.27,609.71
1783270800000,609.69,615.11,609.69,612.76
1783274400000,613.93,614.4,609.62,612.63
1783278000000,612.92,615.11,612.92,613.95
1783281600000,613.93,614.0,610.6,614.0
1783285200000,612.31,612.31,611.12,611.12
1783288800000,613.99,615.51,611.51,611.51
1783292400000,614.11,614.59,610.06,610.33
1783296000000,612.77,614.28,607.67,610.02
1783299600000,609.59,610.49,603.24,604.81
1783303200000,603.88,604.58,598.41,600.71
1783306800000,600.69,603.87,598.69,600.07
1783310400000,601.1,606.25,601.1,604.73
1783314000000,604.73,606.25,602.39,605.35
1783317600000,605.37,606.5,602.98,606.4
1783321200000,605.99,607.17,604.78,607.17
1783324800000,605.24,607.52,604.35,606.73
1783328400000,605.9,605.9,605.9,605.9
1783332000000,606.53,606.74,606.53,606.74
1783335600000,607.33,608.52,606.58,608.52
1783339200000,609.71,611.84,609.71,611.84
1783342800000,610.2,615.39,604.51,613.66
1783346400000,614.01,617.72,613.08,614.17
1783350000000,613.9,614.84,608.49,612.76
1783353600000,612.76,613.77,609.47,609.47
1783357200000,609.44,610.4,605.69,606.45
1783360800000,607.23,608.94,607.0,607.84
1783364400000,608.13,610.75,605.51,606.46
1783368000000,605.33,607.61,604.26,606.62
1783371600000,606.88,607.85,605.75,606.14
1783375200000,606.54,607.79,603.31,603.31
1783378800000,604.53,605.54,601.48,601.48
1783382400000,603.24,603.73,600.18,601.63
1783386000000,601.09,601.09,594.62,597.04
1783389600000,597.16,598.35,596.72,597.35
1783393200000,597.27,597.27,592.5,592.51
1783396800000,593.52,593.53,586.85,586.85
1783400400000,587.47,593.43,569.11,592.64
1783404000000,591.98,593.96,591.16,593.96
1783407600000,594.22,594.54,592.15,592.16
1783411200000,590.99,592.0,587.25,587.25
1783414800000,588.43,588.84,584.13,585.28
1783418400000,585.39,588.7,585.27,586.44
1783422000000,586.9,586.9,582.72,582.86
1783425600000,583.87,587.44,582.49,583.42
1783429200000,583.05,583.65,574.67,577.71
1783432800000,577.03,578.89,566.9,572.95
1783436400000,572.19,576.24,569.5,576.04
1783440000000,576.3,584.5,576.3,582.53
1783443600000,582.27,586.0,582.27,583.75
1783447200000,583.76,583.8,577.14,577.14
1783450800000,577.42,581.46,573.27,581.4
1783454400000,580.9,582.28,579.75,581.06
1783458000000,580.84,581.99,577.87,577.93
1783461600000,577.94,579.88,577.41,578.64
1783465200000,578.64,579.89,575.25,575.26
1783468800000,575.28,589.48,574.92,587.94
1783472400000,587.96,589.74,583.31,584.03
1783476000000,583.79,586.16,581.11,584.29
1783479600000,584.31,588.62,584.31,587.78
1783483200000,587.0,587.94,580.85,581.44
1783486800000,582.8,583.15,578.93,578.93
1783490400000,580.79,580.79,577.1,577.65
1783494000000,576.79,581.83,576.77,581.83
1783497600000,581.8,582.61,564.06,568.46
1783501200000,568.11,569.55,561.22,564.79
1783504800000,564.79,570.7,564.56,569.62
1783508400000,569.62,572.4,564.79,570.81
1783512000000,570.82,576.16,569.62,573.28
1783515600000,573.22,592.16,573.21,590.15
1783519200000,588.79,589.83,580.06,584.73
1783522800000,584.85,584.85,576.77,579.1
1783526400000,580.88,591.93,580.82,591.03
1783530000000,591.59,595.55,589.32,589.32
1783533600000,590.58,593.57,590.58,592.33
1783537200000,592.77,593.86,591.7,593.59
1783540800000,594.01,594.03,587.11,589.95
1783544400000,590.73,593.74,590.73,591.68
1783548000000,591.7,592.27,591.11,591.45
1783551600000,592.22,595.08,591.36,595.08
1783555200000,595.78,598.51,594.91,597.43
1783558800000,593.84,597.09,591.84,591.84
1783562400000,594.02,596.79,591.12,591.12
1783566000000,591.12,592.87,589.76,591.84
1783569600000,594.73,594.74,594.33,594.33
1783573200000,594.63,597.29,593.73,597.29
1783576800000,597.82,600.29,597.29,600.28
1783580400000,599.37,603.89,599.37,603.89
1783584000000,602.76,606.42,601.23,603.87
1783587600000,603.43,604.05,603.06,603.06
1783591200000,605.08,612.34,603.01,603.01
1783594800000,604.41,611.6,602.81,611.12
1783598400000,610.99,616.17,610.33,614.88
1783602000000,615.11,618.47,610.6,615.87
1783605600000,616.24,616.87,604.47,610.11
1783609200000,610.0,612.72,609.12,612.5
1783612800000,612.24,614.67,610.22,611.1
1783616400000,612.22,614.22,611.46,613.08
1783620000000,612.86,613.23,609.27,610.06
1783623600000,610.07,610.07,604.69,606.75
1783627200000,607.0,608.09,603.29,605.58
1783630800000,605.67,607.35,605.38,607.24
1783634400000,607.16,608.44,606.07,606.36
1783638000000,608.11,608.66,606.71,608.66
1783641600000,605.72,606.0,602.39,605.68
1783645200000,605.03,607.0,605.03,606.14
1783648800000,606.45,608.9,605.43,608.62
1783652400000,609.26,610.07,608.28,610.07
1783656000000,609.79,610.15,608.94,608.94
1783659600000,607.32,608.43,605.58,605.58
