t,o,h,l,c
1783209600000,1830.9,1838.1,1826.6,1835.9
1783213200000,1836.2,1841.7,1834.3,1834.8
1783216800000,1833.8,1839.9,1831.3,1836.7
1783220400000,1836.3,1837.4,1833.4,1836.0
1783224000000,1836.1,1836.5,1826.1,1832.5
1783227600000,1832.3,1836.5,1831.2,1833.9
1783231200000,1834.1,1837.2,1833.3,1836.3
1783234800000,1836.0,1837.6,1834.1,1836.2
1783238400000,1837.1,1837.3,1833.1,1836.8
1783242000000,1836.7,1836.8,1828.9,1833.7
1783245600000,1833.7,1838.0,1830.4,1837.2
1783249200000,1837.2,1847.7,1836.2,1843.6
1783252800000,1843.5,1852.3,1839.5,1852.1
1783256400000,1852.3,1864.7,1852.2,1856.7
1783260000000,1856.5,1856.5,1850.1,1851.7
1783263600000,1851.5,1860.1,1850.4,1854.4
1783267200000,1854.3,1857.0,1852.8,1855.4
1783270800000,1855.1,1859.1,1854.0,1858.0
1783274400000,1858.1,1859.7,1855.8,1859.7
1783278000000,1859.7,1861.0,1857.0,1860.0
1783281600000,1860.4,1863.0,1858.9,1861.8
1783285200000,1862.1,1864.2,1839.7,1854.7
1783288800000,1855.6,1871.3,1852.7,1854.0
1783292400000,1853.9,1867.9,1838.8,1842.8
1783296000000,1841.6,1922.2,1838.5,1892.9
1783299600000,1891.9,1891.9,1820.0,1846.0
1783303200000,1846.1,1852.3,1782.3,1820.3
1783306800000,1820.2,1840.3,1814.8,1837.3
1783310400000,1835.8,1857.0,1822.1,1853.1
1783314000000,1853.2,1853.2,1834.9,1847.6
1783317600000,1848.5,1852.1,1838.6,1846.0
1783321200000,1847.3,1851.7,1836.8,1840.4
1783324800000,1840.9,1856.4,1828.9,1836.5
1783328400000,1836.3,1838.8,1804.7,1817.7
1783332000000,1817.7,1819.8,1807.5,1816.5
1783335600000,1816.4,1840.0,1790.3,1831.6
1783339200000,1831.8,1846.8,1830.0,1845.2
1783342800000,1844.5,1844.6,1755.5,1790.0
1783346400000,1792.0,1838.3,1788.3,1818.8
1783350000000,1817.9,1821.5,1781.0,1814.8
1783353600000,1813.8,1822.3,1760.0,1761.1
1783357200000,1761.2,1767.5,1717.0,1724.6
1783360800000,1725.0,1746.6,1721.0,1721.0
1783364400000,1721.1,1752.3,1721.1,1745.3
1783368000000,1745.8,1748.0,1736.5,1744.2
1783371600000,1743.9,1751.6,1742.0,1748.8
1783375200000,1749.1,1751.9,1691.6,1704.6
1783378800000,1703.5,1729.8,1681.8,1690.0
1783382400000,1689.8,1720.1,1663.1,1673.2
1783386000000,1674.6,1697.0,1653.5,1681.0
1783389600000,1681.2,1687.7,1663.3,1671.5
1783393200000,1672.0,1683.4,1638.8,1651.7
1783396800000,1651.8,1660.1,1634.7,1640.3
1783400400000,1640.8,1675.7,1621.5,1665.4
1783404000000,1665.4,1686.4,1652.3,1682.7
1783407600000,1682.3,1686.5,1670.0,1670.8
1783411200000,1672.9,1677.3,1649.2,1649.8
1783414800000,1649.9,1655.9,1626.1,1637.7
1783418400000,1637.6,1653.0,1634.1,1652.7
1783422000000,1653.1,1658.2,1639.5,1652.4
1783425600000,1653.0,1682.8,1646.5,1651.6
1783429200000,1651.9,1651.9,1573.0,1583.1
1783432800000,1583.1,1592.0,1490.7,1548.3
1783436400000,1548.5,1584.1,1533.7,1566.1
1783440000000,1566.1,1607.0,1564.4,1597.2
1783443600000,1596.9,1620.0,1591.8,1611.2
1783447200000,1611.2,1615.6,1566.1,1566.5
1783450800000,1566.1,1622.5,1554.4,1618.8
1783454400000,1618.8,1644.8,1617.9,1635.0
1783458000000,1634.7,1652.1,1608.1,1608.1
1783461600000,1607.4,1614.0,1596.0,1609.1
1783465200000,1608.3,1608.8,1572.8,1580.2
1783468800000,1580.1,1718.0,1563.5,1706.6
1783472400000,1706.7,1707.0,1638.0,1652.7
1783476000000,1653.3,1664.7,1634.7,1655.4
1783479600000,1656.0,1682.0,1653.8,1654.3
1783483200000,1657.0,1657.5,1600.1,1627.5
1783486800000,1627.6,1637.5,1589.0,1607.3
1783490400000,1607.3,1607.4,1549.0,1563.3
1783494000000,1563.7,1589.1,1558.5,1583.1
1783497600000,1583.0,1586.9,1503.1,1524.9
1783501200000,1525.5,1529.8,1494.8,1519.9
1783504800000,1520.9,1556.4,1516.3,1535.9
1783508400000,1536.3,1547.7,1515.6,1538.6
1783512000000,1538.7,1587.8,1535.0,1567.8
1783515600000,1567.9,1699.2,1564.8,1683.3
1783519200000,1684.6,1707.2,1635.0,1655.4
1783522800000,1655.3,1662.1,1592.9,1605.8
1783526400000,1606.0,1646.5,1605.2,1638.3
1783530000000,1638.3,1674.7,1633.5,1663.5
1783533600000,1663.9,1683.8,1660.8,1672.6
1783537200000,1672.8,1734.0,1666.1,1728.3
1783540800000,1728.2,1741.1,1694.6,1700.8
1783544400000,1701.1,1720.8,1699.0,1715.7
1783548000000,1716.3,1719.1,1710.0,1718.8
1783551600000,1719.5,1748.0,1715.1,1745.2
