t,o,h,l,c
1786035600000,135.0,139.0,134.0,135.08
1786039200000,125.0,137.65,125.0,134.87
1786042800000,134.87,139.46,132.21,132.21
1786046400000,133.22,133.69,132.59,133.69
1786050000000,134.1,134.31,134.02,134.02
1786053600000,134.03,135.33,134.03,135.33
1786057200000,135.02,135.52,135.02,135.52
1786060800000,135.59,136.78,133.87,135.27
1786064400000,133.93,135.0,133.14,135.0
1786068000000,134.3,134.3,134.1,134.1
1786071600000,134.35,134.35,133.96,133.96
1786075200000,133.11,133.11,132.7,132.7
1786078800000,134.75,135.27,134.75,134.77
1786082400000,134.89,135.76,134.77,135.4
1786086000000,135.3,136.4,135.3,136.4
1786089600000,137.1,138.72,136.95,137.83
1786093200000,138.11,138.25,137.61,137.75
1786096800000,136.9,136.9,136.9,136.9
1786100400000,137.34,138.66,137.15,137.15
1786104000000,137.06,145.97,137.06,144.6
1786107600000,144.78,144.78,136.18,136.5
1786111200000,136.92,138.03,131.98,134.7
1786114800000,135.65,140.12,135.64,138.58
1786118400000,139.43,140.29,136.12,138.69
1786122000000,138.33,139.76,138.33,138.6
1786125600000,138.88,139.0,137.38,137.67
1786129200000,138.39,140.6,137.66,140.5
1786132800000,139.87,140.57,139.8,140.3
1786136400000,140.17,140.32,139.54,139.54
1786140000000,139.92,140.11,139.76,139.98
1786143600000,139.85,140.88,139.7,140.88
1786147200000,141.77,142.06,141.01,141.01
1786150800000,140.85,140.86,140.39,140.85
1786154400000,141.09,141.31,140.87,140.87
1786158000000,140.93,141.04,139.41,139.65
1786161600000,139.79,139.87,139.2,139.27
1786165200000,139.1,139.1,138.45,138.9
1786168800000,138.92,139.03,138.69,138.69
1786172400000,138.74,138.87,138.73,138.8
1786176000000,139.1,139.1,139.06,139.06
1786179600000,139.21,139.44,139.11,139.25
1786183200000,139.4,140.32,139.33,140.22
1786186800000,140.36,140.77,140.27,140.57
1786190400000,140.52,140.66,140.5,140.56
1786194000000,140.57,142.05,140.57,141.28
1786197600000,141.92,141.94,141.53,141.57
1786201200000,141.53,141.92,141.51,141.68
1786204800000,141.69,142.19,141.67,142.07
1786208400000,142.13,142.64,141.9,142.35
1786212000000,142.49,142.58,142.06,142.41
1786215600000,142.43,144.26,142.38,143.78
1786219200000,143.81,144.01,143.53,143.76
1786222800000,143.88,144.27,143.71,143.89
1786226400000,144.1,144.23,143.85,144.08
1786230000000,143.75,144.07,143.01,143.07
1786233600000,143.16,143.16,142.56,142.56
1786237200000,142.58,142.86,142.14,142.39
1786240800000,142.23,142.66,142.07,142.62
1786244400000,142.7,142.71,142.34,142.34
1786248000000,142.48,142.48,142.26,142.26
1786251600000,142.25,142.34,141.9,142.06
1786255200000,142.03,143.4,141.96,142.98
1786258800000,143.37,143.77,143.29,143.29
1786262400000,143.46,143.6,141.9,141.96
1786266000000,141.98,142.13,141.34,142.13
1786269600000,142.03,142.03,141.46,141.98
1786273200000,141.78,141.78,141.21,141.6
1786276800000,141.59,142.53,141.36,142.26
1786280400000,142.25,142.86,142.19,142.2
1786284000000,142.31,142.68,142.0,142.08
1786287600000,142.09,142.53,141.77,141.91
1786291200000,141.92,141.94,141.34,141.4
1786294800000,141.41,141.99,141.41,141.76
1786298400000,141.9,142.0,141.52,141.58
1786302000000,141.62,141.67,141.4,141.5
1786305600000,141.49,141.88,141.4,141.7
1786309200000,141.7,142.03,139.19,141.52
1786312800000,141.74,142.23,138.95,139.79
1786316400000,139.82,140.48,139.1,139.16
1786320000000,139.05,145.29,139.03,140.27
1786323600000,140.05,143.02,139.76,142.31
1786327200000,142.36,142.5,141.05,141.94
1786330800000,142.14,142.67,141.78,142.43
1786334400000,142.45,142.92,141.39,141.51
1786338000000,141.61,143.99,141.61,143.91
1786341600000,143.85,145.15,143.5,143.89
1786345200000,143.89,145.94,143.69,145.61
1786348800000,145.59,146.99,144.93,146.17
1786352400000,146.21,146.59,144.75,145.6
1786356000000,145.43,145.75,143.96,144.62
1786359600000,144.57,145.31,142.0,143.38
1786363200000,143.33,143.57,139.72,140.16
1786366800000,140.07,143.0,135.97,137.4
1786370400000,137.19,141.02,133.56,133.62
1786374000000,133.65,136.28,133.27,135.77
1786377600000,135.95,136.32,133.27,133.77
1786381200000,133.75,134.83,133.28,133.73
1786384800000,133.64,134.51,133.49,134.22
1786388400000,134.61,135.77,129.97,130.19
1786392000000,130.25,131.51,130.25,131.51
1786395600000,131.46,131.46,130.75,130.96
1786399200000,131.25,131.7,130.62,130.94
1786402800000,130.86,130.89,129.56,129.89
1786406400000,129.85,133.11,128.95,132.67
1786410000000,132.53,134.28,131.95,133.74
1786413600000,133.56,134.29,133.26,133.65
1786417200000,133.63,135.02,133.55,134.71
1786420800000,134.71,135.26,134.21,134.35
1786424400000,134.24,134.62,132.94,133.19
1786428000000,133.05,134.37,131.79,132.07
1786431600000,132.02,132.96,131.71,132.79
1786435200000,132.86,134.28,130.94,131.85
1786438800000,131.84,132.21,130.48,131.59
1786442400000,131.8,133.48,131.09,133.18
1786446000000,133.3,135.46,133.3,134.55
1786449600000,134.54,136.0,134.33,134.99
1786453200000,135.08,136.24,132.17,133.54
1786456800000,133.51,136.42,133.36,134.75
1786460400000,134.64,135.52,132.59,132.59
