t,o,h,l,c
1783209600000,7497.1,7497.6,7478.2,7492.3
1783213200000,7492.2,7495.0,7490.1,7493.2
1783216800000,7493.1,7496.3,7486.6,7490.8
1783220400000,7490.8,7496.3,7490.6,7493.6
1783224000000,7493.5,7495.4,7493.4,7495.1
1783227600000,7495.1,7495.1,7491.0,7495.0
1783231200000,7495.1,7495.3,7486.5,7488.9
1783234800000,7489.0,7491.2,7485.6,7490.4
1783238400000,7490.4,7490.4,7489.7,7490.3
1783242000000,7490.3,7490.3,7480.9,7484.4
1783245600000,7484.4,7493.6,7484.4,7489.0
1783249200000,7489.0,7500.0,7486.9,7500.0
1783252800000,7499.9,7502.6,7496.0,7500.7
1783256400000,7500.8,7507.7,7496.3,7503.7
1783260000000,7503.7,7508.6,7501.9,7504.2
1783263600000,7505.5,7508.5,7501.2,7503.9
1783267200000,7504.0,7504.4,7503.2,7503.3
1783270800000,7503.3,7506.1,7500.8,7503.8
1783274400000,7503.8,7507.8,7501.9,7507.1
1783278000000,7507.1,7508.0,7500.0,7507.4
1783281600000,7507.4,7510.7,7503.4,7507.3
1783285200000,7507.3,7508.5,7502.9,7506.3
1783288800000,7506.6,7520.0,7496.9,7508.1
1783292400000,7508.1,7514.9,7506.3,7514.3
1783296000000,7514.4,7520.0,7504.9,7512.4
1783299600000,7512.4,7512.4,7497.1,7499.6
1783303200000,7499.8,7502.0,7488.3,7491.2
1783306800000,7491.1,7494.2,7485.3,7488.6
1783310400000,7488.4,7499.5,7486.1,7499.2
1783314000000,7499.2,7501.5,7492.6,7496.9
1783317600000,7497.0,7502.5,7494.1,7501.8
1783321200000,7501.7,7509.9,7500.0,7509.8
1783324800000,7509.5,7513.3,7504.6,7510.5
1783328400000,7510.0,7512.2,7505.8,7512.1
1783332000000,7512.2,7513.0,7506.9,7509.3
1783335600000,7509.4,7511.5,7505.0,7505.0
1783339200000,7505.0,7510.4,7503.1,7509.3
1783342800000,7509.4,7519.6,7499.2,7510.8
1783346400000,7509.6,7528.0,7505.3,7528.0
1783350000000,7528.2,7534.1,7521.6,7532.3
1783353600000,7532.2,7535.3,7528.9,7529.4
1783357200000,7529.4,7539.8,7522.3,7526.0
1783360800000,7526.1,7545.5,7526.1,7544.1
1783364400000,7544.5,7548.7,7534.2,7537.9
1783368000000,7538.5,7544.5,7537.4,7541.8
1783371600000,7541.8,7547.9,7541.0,7545.7
1783375200000,7545.7,7547.5,7539.7,7541.0
1783378800000,7540.8,7544.8,7531.0,7531.9
1783382400000,7532.0,7542.3,7530.6,7532.7
1783386000000,7532.6,7535.0,7526.8,7529.6
1783389600000,7529.8,7533.5,7525.8,7525.9
1783393200000,7525.9,7529.4,7518.0,7521.1
1783396800000,7521.0,7521.2,7513.8,7515.5
1783400400000,7515.6,7522.5,7510.7,7521.0
1783404000000,7520.8,7522.0,7514.6,7520.7
1783407600000,7520.8,7526.6,7518.6,7519.0
1783411200000,7519.1,7529.1,7518.5,7525.4
1783414800000,7525.3,7529.6,7522.7,7528.6
1783418400000,7528.5,7531.0,7520.3,7523.8
1783422000000,7524.2,7525.2,7518.9,7524.6
1783425600000,7524.7,7533.3,7524.7,7526.7
1783429200000,7526.9,7533.6,7506.8,7512.1
1783432800000,7512.4,7516.0,7477.3,7489.8
1783436400000,7489.6,7498.0,7479.8,7497.9
1783440000000,7498.0,7516.3,7496.9,7513.7
1783443600000,7513.7,7517.5,7509.4,7516.0
1783447200000,7516.2,7517.9,7499.2,7500.1
1783450800000,7500.0,7502.6,7484.4,7498.7
1783454400000,7499.7,7500.3,7494.9,7498.4
1783458000000,7498.5,7499.6,7485.0,7490.7
1783461600000,7490.6,7495.6,7483.9,7494.7
1783465200000,7494.6,7499.6,7485.1,7485.8
1783468800000,7486.1,7508.1,7480.9,7508.0
1783472400000,7508.1,7509.2,7497.2,7500.0
1783476000000,7499.8,7501.9,7493.5,7499.8
1783479600000,7500.1,7508.4,7500.1,7501.9
1783483200000,7502.0,7503.2,7494.7,7498.8
1783486800000,7498.7,7502.0,7487.0,7490.4
1783490400000,7490.5,7491.3,7479.9,7485.9
1783494000000,7485.9,7494.5,7479.7,7489.3
1783497600000,7489.5,7494.3,7426.7,7428.6
1783501200000,7428.8,7431.5,7416.5,7422.8
1783504800000,7422.9,7438.6,7417.5,7434.3
1783508400000,7434.3,7453.4,7428.3,7446.6
1783512000000,7446.6,7465.0,7440.7,7452.3
1783515600000,7452.5,7471.9,7449.6,7463.7
1783519200000,7463.4,7469.7,7433.3,7441.2
