t,o,h,l,c
1783209600000,160.0,160.2,159.96,160.2
1783213200000,160.2,160.26,160.05,160.12
1783216800000,160.13,160.13,159.96,160.08
1783220400000,160.09,160.3,160.04,160.23
1783224000000,160.22,160.55,160.22,160.54
1783227600000,160.54,161.09,160.43,160.58
1783231200000,160.58,160.76,160.48,160.52
1783234800000,160.53,160.77,160.5,160.75
1783238400000,160.76,161.29,160.69,161.09
1783242000000,161.1,161.13,160.46,160.64
1783245600000,160.68,160.74,160.36,160.56
1783249200000,160.54,160.57,160.15,160.46
1783252800000,160.45,160.92,160.4,160.92
1783256400000,160.93,161.25,160.86,161.16
1783260000000,161.13,161.51,161.12,161.31
1783263600000,161.32,161.42,161.05,161.23
1783267200000,161.24,161.55,161.24,161.48
1783270800000,161.47,161.48,161.12,161.23
1783274400000,161.25,161.36,161.08,161.36
1783278000000,161.35,161.42,161.12,161.42
1783281600000,161.42,161.46,161.21,161.23
1783285200000,161.22,161.51,161.11,161.5
1783288800000,161.48,161.61,161.21,161.41
1783292400000,161.4,161.47,161.24,161.34
1783296000000,161.36,163.47,161.35,162.69
1783299600000,162.68,163.07,161.59,161.98
1783303200000,162.02,162.21,160.75,161.52
1783306800000,161.5,162.23,161.3,162.22
1783310400000,162.22,162.82,162.17,162.8
1783314000000,162.8,162.96,162.52,162.69
1783317600000,162.72,163.11,162.64,162.76
1783321200000,162.78,163.48,162.7,163.37
1783324800000,163.36,163.72,162.98,163.39
1783328400000,163.39,164.24,163.04,164.24
1783332000000,164.24,164.97,163.91,164.97
1783335600000,164.95,164.98,163.69,163.74
1783339200000,163.71,164.2,162.86,164.18
1783342800000,164.18,167.5,163.78,164.79
1783346400000,164.78,165.8,159.76,161.83
1783350000000,161.95,162.54,159.46,160.9
1783353600000,160.83,162.57,160.66,161.87
1783357200000,161.89,162.2,155.36,155.83
1783360800000,155.85,157.77,155.33,156.06
1783364400000,156.08,160.65,155.15,160.15
1783368000000,160.12,160.35,157.6,158.08
1783371600000,158.1,158.82,158.07,158.5
1783375200000,158.53,158.7,158.07,158.08
1783378800000,158.08,158.39,157.56,157.66
1783382400000,157.63,157.93,156.57,157.32
1783386000000,157.31,157.58,155.93,156.88
1783389600000,156.84,157.44,156.66,156.71
1783393200000,156.7,157.0,155.82,156.22
1783396800000,156.21,156.41,155.91,155.94
1783400400000,155.96,157.28,155.65,157.18
1783404000000,157.17,158.4,157.16,158.4
1783407600000,158.24,158.82,157.75,158.24
1783411200000,158.24,158.78,156.23,157.5
1783414800000,157.57,158.18,157.13,157.38
1783418400000,157.39,159.8,157.27,158.82
1783422000000,158.81,160.18,158.23,159.61
1783425600000,159.61,161.21,159.39,159.76
1783429200000,159.76,159.81,152.22,153.2
1783432800000,153.19,153.95,150.21,151.58
1783436400000,151.61,152.2,150.76,150.97
1783440000000,150.99,153.1,150.43,152.05
1783443600000,152.06,152.54,151.52,152.17
1783447200000,152.2,152.49,150.81,150.95
1783450800000,150.99,151.0,148.91,149.62
1783454400000,149.64,151.47,148.85,151.1
1783458000000,151.1,151.43,150.18,150.38
1783461600000,150.38,151.27,150.34,151.17
1783465200000,151.18,151.31,150.76,151.09
1783468800000,151.09,151.8,150.82,151.67
