t,o,h,l,c
1783209600000,400.26,400.75,399.59,399.98
1783213200000,400.12,400.87,399.91,400.8
1783216800000,400.96,401.02,400.52,400.83
1783220400000,400.8,400.92,399.98,400.73
1783224000000,400.85,400.96,399.82,400.56
1783227600000,400.54,400.66,399.7,400.17
1783231200000,400.26,400.65,400.04,400.33
1783234800000,400.37,400.65,400.05,400.47
1783238400000,400.45,400.85,400.43,400.5
1783242000000,400.54,400.86,400.09,400.82
1783245600000,400.67,401.27,400.59,401.17
1783249200000,401.3,401.38,400.92,401.1
1783252800000,401.39,401.67,400.79,401.09
1783256400000,401.22,401.76,400.62,401.41
1783260000000,401.38,401.38,399.25,399.67
1783263600000,399.7,400.03,399.49,399.84
1783267200000,399.83,400.08,399.52,399.62
1783270800000,399.57,399.89,399.49,399.88
1783274400000,399.88,400.39,399.88,400.23
1783278000000,400.16,400.21,399.91,399.91
1783281600000,399.91,400.95,399.85,400.91
1783285200000,400.82,401.72,400.68,401.65
1783288800000,401.71,401.84,399.63,399.63
1783292400000,399.72,400.44,399.4,399.44
1783296000000,399.43,399.89,396.95,397.76
1783299600000,397.63,397.86,395.87,396.4
1783303200000,396.47,396.85,395.97,396.39
1783306800000,396.37,397.26,396.31,396.6
1783310400000,396.5,398.21,396.36,397.89
1783314000000,397.87,398.25,397.55,398.15
1783317600000,398.16,399.32,397.93,399.18
1783321200000,399.15,399.45,398.98,399.36
1783324800000,399.31,399.76,398.16,399.41
1783328400000,399.44,400.54,399.27,400.38
1783332000000,400.33,400.4,399.66,399.93
1783335600000,400.14,400.14,398.21,399.36
1783339200000,399.29,399.35,398.05,398.72
1783342800000,398.82,403.14,390.94,401.74
1783346400000,401.92,408.35,401.33,407.8
1783350000000,407.95,414.63,407.95,414.16
1783353600000,414.22,418.89,414.07,418.4
1783357200000,418.18,419.6,414.07,414.41
1783360800000,414.58,417.68,414.39,416.14
1783364400000,416.29,419.87,415.74,419.56
1783368000000,419.58,419.78,418.84,418.94
1783371600000,418.93,419.49,418.9,419.16
1783375200000,419.16,419.18,417.47,417.66
1783378800000,417.59,418.24,416.39,416.88
1783382400000,416.98,417.33,415.47,415.58
1783386000000,415.62,415.79,414.14,415.29
1783389600000,415.43,415.95,414.61,414.81
1783393200000,414.82,415.1,412.84,413.52
1783396800000,413.55,413.81,412.57,412.91
1783400400000,412.82,414.38,411.82,413.73
1783404000000,413.72,414.12,412.94,413.45
1783407600000,413.78,415.15,413.52,413.52
1783411200000,413.63,414.94,413.25,414.36
1783414800000,414.32,415.29,414.0,415.12
1783418400000,415.16,416.56,415.06,416.34
1783422000000,416.18,418.34,416.18,417.77
1783425600000,417.72,418.85,415.53,415.83
1783429200000,415.76,419.47,411.0,412.73
1783432800000,412.87,415.57,406.85,409.05
1783436400000,408.64,409.22,404.49,407.16
1783440000000,407.1,410.1,406.57,409.2
1783443600000,409.25,409.31,405.96,408.09
1783447200000,408.31,408.38,403.37,403.67
1783450800000,403.63,404.96,401.8,402.98
1783454400000,402.99,404.47,402.43,404.19
1783458000000,404.16,404.5,403.49,403.91
1783461600000,403.8,404.29,403.67,403.91
1783465200000,404.08,404.33,403.02,403.55
1783468800000,403.52,404.67,402.46,404.17
1783472400000,404.06,404.55,402.5,402.95
1783476000000,402.97,403.51,401.94,403.51
1783479600000,403.48,404.3,403.04,403.49
1783483200000,403.35,403.55,402.33,402.36
1783486800000,402.36,403.1,401.41,402.08
1783490400000,401.97,402.17,401.19,401.83
1783494000000,401.87,403.1,400.9,402.62
1783497600000,402.57,403.58,397.13,398.5
1783501200000,398.39,398.7,396.41,396.88
1783504800000,397.24,398.66,396.26,398.24
1783508400000,398.28,398.3,396.0,398.04
1783512000000,397.9,399.7,397.61,398.58
1783515600000,398.51,401.26,393.84,395.86
1783519200000,395.84,397.54,392.06,392.83
1783522800000,392.89,393.37,391.27,393.04
1783526400000,393.08,395.15,393.05,394.77
1783530000000,394.75,395.51,392.34,392.39
1783533600000,392.37,393.37,390.64,391.02
1783537200000,391.46,396.07,391.46,393.98
1783540800000,394.02,394.14,392.67,393.14
1783544400000,393.11,393.99,393.0,393.83
1783548000000,393.81,393.96,393.5,393.5
1783551600000,393.51,394.12,393.43,394.08
1783555200000,394.15,395.62,394.04,394.83
1783558800000,394.89,395.65,394.45,394.66
1783562400000,394.69,395.73,393.75,394.0
1783566000000,393.97,395.1,393.21,395.01
1783569600000,395.03,396.38,394.37,396.37
1783573200000,396.36,396.76,395.5,396.45
1783576800000,396.45,397.33,396.34,397.05
1783580400000,396.97,398.18,396.97,397.89
1783584000000,397.97,398.49,396.01,396.77
1783587600000,396.78,396.82,395.76,396.44
1783591200000,396.4,396.5,394.82,395.23
1783594800000,395.32,395.66,393.85,394.99
1783598400000,395.1,396.34,394.17,394.69
1783602000000,394.81,396.41,391.2,395.27
1783605600000,395.57,398.66,392.17,395.82
1783609200000,395.74,400.4,394.79,399.5
1783612800000,399.52,402.25,398.31,401.95
1783616400000,401.92,405.56,401.87,405.19
1783620000000,405.26,407.92,404.61,407.39
1783623600000,407.23,407.73,403.97,406.47
1783627200000,406.58,407.39,405.93,406.74
1783630800000,406.44,406.46,405.3,405.3
1783634400000,405.34,405.36,404.52,405.13
1783638000000,405.07,405.28,404.65,404.87
1783641600000,405.01,405.77,404.03,405.34
1783645200000,405.32,405.82,404.35,405.06
1783648800000,405.14,405.86,404.71,405.86
1783652400000,405.92,406.17,405.43,405.8
1783656000000,405.77,406.49,405.74,405.83
1783659600000,405.84,405.93,405.04,405.09
1783663200000,405.09,405.23,404.27,404.73
1783666800000,404.67,404.89,404.09,404.33
1783670400000,404.37,404.9,402.0,402.96
1783674000000,403.05,404.99,402.2,404.95
1783677600000,404.95,405.7,404.72,405.66
1783681200000,405.52,407.36,405.38,406.91
1783684800000,406.92,408.44,406.59,407.62
1783688400000,407.59,412.64,405.17,409.93
1783692000000,409.78,411.33,403.17,406.91
1783695600000,406.84,410.58,405.91,409.43
1783699200000,409.47,413.09,409.47,412.32
1783702800000,412.34,412.36,408.49,408.71
1783706400000,408.81,411.06,407.95,408.59
1783710000000,408.5,410.3,407.26,407.71
1783713600000,407.7,407.83,407.28,407.73
1783717200000,407.77,407.82,407.32,407.44
1783720800000,407.42,407.48,407.14,407.15
1783724400000,407.16,407.72,407.14,407.69
1783728000000,407.72,408.0,407.29,407.68
1783731600000,407.68,407.69,407.23,407.33
1783735200000,407.35,407.86,407.21,407.85
