t,o,h,l,c
1783209600000,19.585,19.585,19.585,19.585
1783213200000,19.639,19.709,19.637,19.708
1783216800000,19.708,19.708,19.666,19.705
1783220400000,19.705,19.767,19.697,19.767
1783224000000,19.767,19.888,19.767,19.853
1783227600000,19.844,19.844,19.844,19.844
1783231200000,19.884,19.895,19.865,19.865
1783234800000,19.935,19.967,19.935,19.967
1783238400000,19.929,19.929,19.922,19.922
1783242000000,19.923,19.923,19.859,19.863
1783245600000,19.926,19.954,19.909,19.93
1783249200000,19.93,19.93,19.93,19.93
1783252800000,19.901,19.901,19.849,19.867
1783256400000,19.92,19.92,19.876,19.876
1783260000000,19.893,19.893,19.892,19.892
1783263600000,19.919,19.919,19.919,19.919
1783267200000,19.923,19.923,19.843,19.879
1783270800000,19.907,19.907,19.907,19.907
1783274400000,19.907,19.907,19.878,19.878
1783278000000,19.877,19.877,19.877,19.877
1783281600000,19.919,19.925,19.919,19.925
1783285200000,19.925,19.925,19.925,19.925
1783288800000,19.915,19.965,19.878,19.965
1783292400000,19.954,19.978,19.94,19.94
1783296000000,19.901,19.901,19.378,19.499
1783299600000,19.518,19.55,19.455,19.472
1783303200000,19.414,19.424,19.333,19.378
1783306800000,19.37,19.408,19.37,19.379
1783310400000,19.393,19.453,19.393,19.409
1783314000000,19.425,19.5,19.366,19.47
1783317600000,19.517,19.517,19.517,19.517
1783321200000,19.5,19.504,19.487,19.5
1783324800000,19.505,19.592,19.505,19.558
1783328400000,19.557,19.582,19.522,19.582
1783332000000,19.589,19.589,19.557,19.567
1783335600000,19.54,19.54,19.466,19.468
1783339200000,19.452,19.486,19.352,19.352
1783342800000,19.332,19.83,19.1,19.692
1783346400000,19.68,19.892,19.367,19.813
1783350000000,19.835,19.987,19.419,19.609
1783353600000,19.624,19.673,19.471,19.471
1783357200000,19.48,19.541,19.288,19.288
1783360800000,19.382,19.479,19.252,19.286
1783364400000,19.291,19.507,19.271,19.355
1783368000000,19.328,19.447,19.279,19.426
1783371600000,19.45,19.469,19.412,19.427
1783375200000,19.468,19.468,19.434,19.434
1783378800000,19.445,19.459,19.412,19.412
1783382400000,19.34,19.393,19.324,19.376
1783386000000,19.387,19.387,19.319,19.321
1783389600000,19.343,19.367,19.343,19.367
1783393200000,19.376,19.376,19.227,19.227
1783396800000,19.249,19.249,19.223,19.226
1783400400000,19.215,19.307,19.195,19.307
1783404000000,19.294,19.311,19.294,19.297
1783407600000,19.305,19.342,19.304,19.335
1783411200000,19.327,19.398,19.237,19.325
1783414800000,19.307,19.307,19.249,19.296
1783418400000,19.273,19.273,19.23,19.239
1783422000000,19.245,19.265,19.133,19.163
1783425600000,19.201,19.888,19.095,19.159
1783429200000,19.151,19.159,17.811,17.885
1783432800000,17.904,18.012,17.304,17.724
1783436400000,17.701,17.921,17.631,17.86
1783440000000,17.863,18.127,17.863,18.043
1783443600000,18.099,18.163,18.056,18.133
1783447200000,18.184,18.184,17.854,17.854
1783450800000,17.847,17.935,17.647,17.829
1783454400000,17.85,17.96,17.85,17.899
1783458000000,17.907,17.907,17.788,17.788
1783461600000,17.788,17.788,17.788,17.788
1783465200000,17.742,17.742,17.722,17.727
1783468800000,17.731,17.899,17.668,17.896
1783472400000,17.933,17.969,17.87,17.879
1783476000000,17.891,17.898,17.831,17.84
1783479600000,17.878,17.904,17.856,17.856
1783483200000,17.836,17.836,17.759,17.788
1783486800000,17.839,17.839,17.794,17.794
1783490400000,17.797,17.797,17.74,17.771
1783494000000,17.761,17.761,17.692,17.749
1783497600000,17.719,17.807,17.186,17.224
1783501200000,17.2,17.206,17.05,17.175
1783504800000,17.17,17.259,17.137,17.259
1783508400000,17.184,17.37,17.135,17.34
1783512000000,17.31,17.524,17.303,17.473
1783515600000,17.473,18.66,17.412,18.634
1783519200000,18.601,18.671,18.079,18.277
1783522800000,18.34,18.34,17.79,17.79
1783526400000,17.925,18.34,17.925,18.243
1783530000000,18.268,18.45,18.064,18.419
1783533600000,18.412,18.511,18.29,18.29
1783537200000,18.318,18.548,18.268,18.467
1783540800000,18.422,18.539,18.42,18.5
1783544400000,18.466,18.543,18.46,18.47
1783548000000,18.507,18.579,18.507,18.569
1783551600000,18.551,18.6,18.551,18.592
1783555200000,18.606,18.656,18.549,18.611
1783558800000,18.552,18.648,18.483,18.483
1783562400000,18.525,18.624,18.525,18.545
1783566000000,18.511,18.569,18.307,18.569
1783569600000,18.568,18.781,18.532,18.68
1783573200000,18.653,18.707,18.614,18.707
1783576800000,18.719,18.758,18.7,18.7
1783580400000,18.711,18.828,18.711,18.828
1783584000000,18.796,18.93,18.74,18.891
1783587600000,18.887,18.887,18.854,18.854
1783591200000,18.853,18.927,18.748,18.748
1783594800000,18.776,18.793,18.726,18.793
1783598400000,18.793,18.898,18.793,18.868
1783602000000,18.85,19.215,18.272,19.066
1783605600000,19.099,19.192,18.684,19.147
1783609200000,19.163,19.23,19.067,19.067
1783612800000,19.098,19.102,19.038,19.102
1783616400000,19.037,19.115,19.025,19.053
1783620000000,19.045,19.147,19.029,19.125
1783623600000,18.981,19.028,18.75,18.858
1783627200000,18.897,19.0,18.875,18.966
1783630800000,18.966,18.99,18.953,18.99
1783634400000,18.98,19.031,18.98,19.031
1783638000000,19.05,19.078,19.048,19.077
1783641600000,19.091,19.091,19.013,19.049
1783645200000,19.021,19.14,19.008,19.14
1783648800000,19.089,19.089,19.039,19.087
1783652400000,19.109,19.151,19.061,19.121
1783656000000,19.143,19.157,19.127,19.129
1783659600000,19.131,19.131,19.089,19.119
1783663200000,19.083,19.083,19.081,19.081
1783666800000,19.019,19.019,18.979,18.979
1783670400000,18.967,18.996,18.93,18.951
1783674000000,18.902,18.982,18.887,18.982
1783677600000,19.0,19.087,18.969,19.087
1783681200000,19.107,19.107,19.034,19.04
1783684800000,19.01,19.123,18.989,19.08
1783688400000,19.054,19.064,18.469,18.501
1783692000000,18.502,18.665,18.371,18.382
1783695600000,18.429,18.516,18.319,18.337
1783699200000,18.456,18.605,18.4,18.504
1783702800000,18.543,18.723,18.531,18.54
1783706400000,18.614,18.657,18.58,18.628
1783710000000,18.554,18.614,18.454,18.454
1783713600000,18.529,18.563,18.489,18.532
1783717200000,18.567,18.632,18.543,18.599
1783720800000,18.573,18.59,18.573,18.59
1783724400000,18.588,18.588,18.544,18.581
1783728000000,18.562,18.589,18.522,18.57
1783731600000,18.569,18.582,18.508,18.508
1783735200000,18.515,18.515,18.515,18.515
1783738800000,18.534,18.607,18.534,18.607
1783742400000,18.607,18.61,18.596,18.61
1783746000000,18.608,18.625,18.608,18.625
1783749600000,18.643,18.652,18.643,18.652
1783753200000,18.699,18.7,18.699,18.7
1783756800000,18.688,18.689,18.666,18.689
1783760400000,18.666,18.7,18.644,18.7
1783764000000,18.699,18.699,18.67,18.67
1783767600000,18.642,18.642,18.621,18.626
1783771200000,18.626,18.626,18.62,18.62
1783774800000,18.62,18.62,18.62,18.62
1783778400000,18.609,18.626,18.608,18.626
1783782000000,18.636,18.701,18.636,18.701
1783785600000,18.645,18.665,18.645,18.659
1783789200000,18.645,18.68,18.589,18.68
1783792800000,18.68,18.68,18.68,18.68
1783796400000,18.667,18.711,18.667,18.711
1783800000000,18.713,18.713,18.713,18.713
1783803600000,18.709,18.709,18.709,18.709
1783807200000,18.718,18.737,18.608,18.662
1783810800000,18.669,18.669,18.509,18.54
1783814400000,18.552,18.569,18.551,18.551
1783818000000,18.569,18.633,18.544,18.617
1783821600000,18.557,18.557,18.52,18.52
1783825200000,18.519,18.554,18.506,18.506
1783828800000,18.559,18.559,18.558,18.558
1783832400000,18.548,18.548,18.548,18.548
1783836000000,18.498,18.501,18.406,18.459
1783839600000,18.459,18.459,18.459,18.459
1783843200000,18.478,18.478,18.478,18.478
1783846800000,18.478,18.503,18.478,18.503
1783850400000,18.496,18.496,18.496,18.496
1783854000000,18.496,18.549,18.478,18.549
1783857600000,18.552,18.552,18.532,18.549
1783861200000,18.549,18.549,18.532,18.532
1783864800000,18.532,18.532,18.532,18.532
1783868400000,18.551,18.577,18.551,18.577
1783872000000,18.515,18.515,18.515,18.515
1783875600000,18.501,18.501,18.496,18.496
1783879200000,18.496,18.521,18.496,18.509
1783882800000,18.496,18.509,18.496,18.509
1783886400000,18.485,18.485,18.485,18.485
1783890000000,18.495,18.531,18.495,18.514
1783893600000,18.495,18.495,18.45,18.45
1783897200000,18.46,18.47,18.46,18.47
1783900800000,18.405,18.466,18.358,18.371
1783904400000,18.379,18.379,18.279,18.279
1783908000000,18.243,18.3,18.225,18.3
1783911600000,18.27,18.27,18.149,18.149
1783915200000,18.157,18.157,18.11,18.127
1783918800000,18.163,18.225,18.137,18.225
1783922400000,18.197,18.23,18.196,18.23
1783926000000,18.233,18.249,18.216,18.233
1783929600000,18.243,18.258,18.194,18.204
1783933200000,18.238,18.267,18.223,18.256
1783936800000,18.261,18.261,18.187,18.187
1783940400000,18.186,18.223,18.18,18.214
1783944000000,18.124,18.138,18.079,18.113
1783947600000,18.141,18.151,17.625,17.97
1783951200000,17.995,17.995,17.734,17.84
1783954800000,17.875,17.908,17.688,17.714
1783958400000,17.741,17.741,17.348,17.348
1783962000000,17.315,17.359,17.189,17.232
1783965600000,17.215,17.287,17.143,17.165
1783969200000,17.181,17.2,17.0,17.181
1783972800000,17.183,17.273,17.179,17.266
1783976400000,17.237,17.264,17.226,17.249
1783980000000,17.249,17.249,17.152,17.16
1783983600000,17.15,17.15,17.126,17.15
1783987200000,17.227,17.285,17.192,17.283
1783990800000,17.279,17.355,17.259,17.259
1783994400000,17.235,17.235,17.16,17.224
1783998000000,17.217,17.217,17.113,17.166
1784001600000,17.198,17.233,17.198,17.233
1784005200000,17.245,17.431,17.245,17.385
1784008800000,17.383,17.384,17.383,17.384
1784012400000,17.381,17.407,17.338,17.339
1784016000000,17.35,17.465,17.35,17.386
