t,o,h,l,c
1787839200000,177.0,178.0,172.55,172.55
1787842800000,168.42,169.35,167.78,168.81
1787846400000,168.11,169.96,168.11,169.96
1787850000000,168.6,170.91,168.6,169.93
1787853600000,169.71,169.71,167.76,169.14
1787857200000,168.06,169.55,168.06,169.24
1787860800000,167.28,167.28,167.25,167.25
1787864400000,167.12,169.59,167.12,169.59
1787868000000,167.19,167.19,167.19,167.19
1787871600000,167.19,167.19,167.19,167.19
1787875200000,169.54,169.54,169.54,169.54
1787878800000,169.43,169.44,167.31,169.44
1787882400000,169.44,169.44,169.44,169.44
1787886000000,169.4,171.63,168.33,168.33
1787889600000,167.77,167.77,167.77,167.77
1787893200000,169.67,169.72,169.54,169.72
1787896800000,169.72,169.72,169.72,169.72
1787900400000,167.98,169.68,167.98,169.68
1787904000000,168.56,168.56,168.56,168.56
1787907600000,169.05,169.12,168.42,169.11
1787911200000,169.11,169.11,169.11,169.11
1787914800000,168.7,168.74,168.24,168.74
1787918400000,168.32,168.32,168.32,168.32
1787922000000,167.53,167.53,165.42,165.94
1787925600000,166.36,166.56,164.2,164.22
1787929200000,163.99,164.92,163.99,164.33
1787932800000,163.24,163.46,163.24,163.46
1787936400000,163.24,163.77,163.24,163.77
1787940000000,163.09,163.09,162.41,162.91
1787943600000,162.73,162.73,162.73,162.73
1787947200000,162.68,162.68,162.68,162.68
1787950800000,162.92,162.92,162.92,162.92
1787954400000,162.81,163.19,162.81,163.19
1787958000000,163.19,163.19,163.19,163.19
1787961600000,163.18,163.87,162.51,162.51
1787965200000,162.97,163.92,162.26,162.26
1787968800000,163.18,163.3,162.41,162.41
1787972400000,162.62,162.78,162.62,162.78
1787976000000,163.12,163.79,162.86,163.58
1787979600000,163.58,163.58,163.58,163.58
1787983200000,162.63,162.64,162.62,162.63
1787986800000,162.79,163.87,162.72,162.75
1787990400000,162.91,163.89,161.77,161.77
1787994000000,163.25,163.49,162.62,163.49
1787997600000,162.69,164.0,162.64,162.64
1788001200000,162.64,162.64,162.64,162.64
1788004800000,162.64,162.64,162.64,162.64
1788008400000,162.64,162.64,162.64,162.64
1788012000000,162.64,162.64,162.64,162.64
1788015600000,162.17,162.88,162.16,162.88
1788019200000,161.8,162.96,161.8,162.96
1788022800000,162.96,163.16,162.96,163.16
1788026400000,163.16,163.16,163.16,163.16
1788030000000,162.81,163.76,162.38,163.32
1788033600000,163.32,163.32,163.32,163.32
1788037200000,163.32,163.32,163.32,163.32
1788040800000,163.32,163.32,163.32,163.32
1788044400000,163.32,163.32,163.32,163.32
1788048000000,164.01,164.01,164.01,164.01
1788051600000,164.01,164.01,164.01,164.01
1788055200000,163.64,163.64,163.4,163.4
1788058800000,163.82,164.68,163.41,163.41
1788062400000,163.41,163.41,163.41,163.41
1788066000000,164.22,164.49,164.22,164.49
1788069600000,164.05,164.05,163.36,163.36
1788073200000,164.22,164.22,163.87,163.87
1788076800000,163.87,163.87,163.87,163.87
1788080400000,163.73,163.73,163.16,163.16
1788084000000,163.97,163.97,163.44,163.44
1788087600000,163.44,163.44,163.44,163.44
1788091200000,164.55,164.92,163.55,164.38
1788094800000,163.36,163.96,163.36,163.96
1788098400000,163.96,164.55,163.96,164.55
1788102000000,164.55,164.55,164.55,164.55
1788105600000,164.55,164.55,164.55,164.55
1788109200000,164.55,164.55,164.55,164.55
1788112800000,164.55,164.55,164.55,164.55
1788116400000,164.55,164.55,164.55,164.55
1788120000000,164.55,164.55,164.55,164.55
1788123600000,164.33,164.33,163.55,163.55
1788127200000,163.42,163.42,162.96,162.96
1788130800000,162.96,163.62,162.8,163.28
1788134400000,161.87,162.83,161.87,162.83
1788138000000,162.3,162.63,161.79,162.11
1788141600000,161.68,161.68,161.68,161.68
1788145200000,161.68,161.68,161.49,161.49
1788148800000,161.49,161.49,161.49,161.49
1788152400000,162.57,162.89,161.73,161.9
1788156000000,162.04,162.92,162.04,162.22
1788159600000,162.93,163.07,162.56,162.57
1788163200000,162.64,162.64,162.64,162.64
1788166800000,162.64,162.64,162.64,162.64
1788170400000,162.64,162.64,162.64,162.64
1788174000000,162.6,162.6,162.6,162.6
1788177600000,162.98,162.99,162.98,162.99
1788181200000,162.99,162.99,159.2,160.34
1788184800000,160.65,160.82,159.92,160.0
1788188400000,160.1,161.46,160.1,161.4
1788192000000,160.94,161.56,160.94,161.56
1788195600000,161.44,161.46,161.07,161.14
1788199200000,161.09,161.17,160.46,161.17
1788202800000,161.06,162.68,161.06,162.68
1788206400000,162.84,162.84,162.84,162.84
1788210000000,162.36,162.36,162.36,162.36
1788213600000,162.36,162.36,162.36,162.36
1788217200000,162.36,162.36,162.36,162.36
1788220800000,163.02,163.02,163.02,163.02
1788224400000,162.95,162.95,162.45,162.45
1788228000000,162.45,162.45,162.45,162.45
1788231600000,162.45,162.45,162.45,162.45
1788235200000,162.93,162.93,162.93,162.93
1788238800000,162.75,162.75,162.25,162.25
1788242400000,162.67,162.71,162.67,162.71
1788246000000,162.84,163.26,162.39,163.18
1788249600000,162.87,162.87,161.66,162.46
1788253200000,161.44,162.22,161.06,162.22
