t,o,h,l,c
1783209600000,53.125,53.125,53.125,53.125
1783213200000,53.125,53.125,53.125,53.125
1783216800000,53.056,53.056,53.056,53.056
1783220400000,53.056,53.056,53.056,53.056
1783224000000,53.056,53.056,53.056,53.056
1783227600000,53.056,53.056,53.056,53.056
1783231200000,53.056,53.056,53.056,53.056
1783234800000,53.036,53.091,53.035,53.035
1783238400000,53.094,53.094,53.094,53.094
1783242000000,53.094,53.094,53.094,53.094
1783245600000,52.92,52.952,52.87,52.87
1783249200000,52.849,52.875,52.837,52.837
1783252800000,52.837,52.837,52.837,52.837
1783256400000,52.832,52.832,52.808,52.812
1783260000000,52.812,52.812,52.812,52.812
1783263600000,52.894,53.029,52.893,53.029
1783267200000,53.029,53.029,53.029,53.029
1783270800000,53.032,53.043,53.032,53.043
1783274400000,52.968,52.968,52.967,52.967
1783278000000,52.994,53.075,52.994,53.075
1783281600000,53.199,53.255,53.199,53.255
1783285200000,53.318,53.45,53.318,53.45
1783288800000,53.45,53.45,53.45,53.45
1783292400000,53.416,53.416,53.338,53.338
1783296000000,53.31,53.337,53.052,53.224
1783299600000,53.224,53.224,53.224,53.224
1783303200000,53.14,53.217,53.133,53.217
1783306800000,53.143,53.143,53.143,53.143
1783310400000,53.135,53.138,53.135,53.135
1783314000000,53.111,53.111,53.053,53.053
1783317600000,53.053,53.053,53.053,53.053
1783321200000,53.2,53.2,53.096,53.096
1783324800000,53.125,53.125,53.104,53.104
1783328400000,53.038,53.038,52.992,52.992
1783332000000,53.002,53.065,53.002,53.065
1783335600000,53.047,53.047,53.018,53.018
1783339200000,53.001,53.059,52.953,53.005
1783342800000,52.948,53.511,52.91,53.511
1783346400000,53.378,53.452,53.194,53.317
1783350000000,53.254,53.384,53.124,53.182
1783353600000,53.135,53.209,53.05,53.2
1783357200000,53.249,53.28,53.244,53.244
1783360800000,53.251,53.251,53.251,53.251
1783364400000,53.202,53.202,53.068,53.133
1783368000000,53.109,53.209,53.109,53.208
1783371600000,53.241,53.241,53.144,53.144
1783375200000,53.215,53.215,53.121,53.133
1783378800000,53.133,53.133,53.133,53.133
1783382400000,53.289,53.309,53.289,53.309
1783386000000,53.191,53.241,53.145,53.145
1783389600000,53.291,53.359,53.291,53.313
1783393200000,53.38,53.442,53.366,53.366
1783396800000,53.393,53.476,53.393,53.476
1783400400000,53.47,53.551,53.47,53.551
1783404000000,53.562,53.563,53.469,53.524
1783407600000,53.524,53.524,53.524,53.524
1783411200000,53.524,53.524,53.524,53.524
1783414800000,53.606,53.606,53.482,53.523
1783418400000,53.45,53.678,53.45,53.608
1783422000000,53.609,53.635,53.609,53.63
1783425600000,53.65,53.693,53.61,53.61
1783429200000,53.61,54.106,53.576,53.952
1783432800000,53.879,54.265,53.773,54.265
1783436400000,54.385,54.385,53.983,54.024
1783440000000,53.99,54.0,53.789,53.789
1783443600000,53.86,53.982,53.845,53.868
1783447200000,54.087,54.5,54.017,54.469
1783450800000,54.426,54.95,54.426,54.824
1783454400000,54.793,54.883,54.624,54.876
1783458000000,54.856,55.128,54.856,55.128
1783461600000,54.958,55.007,54.93,54.981
1783465200000,54.96,54.96,54.936,54.953
1783468800000,54.958,55.141,54.592,54.686
1783472400000,54.637,54.921,54.621,54.863
1783476000000,55.035,55.035,54.892,54.892
1783479600000,54.803,55.022,54.801,54.848
1783483200000,54.903,54.903,54.864,54.879
1783486800000,54.941,54.941,54.941,54.941
1783490400000,54.919,55.011,54.896,55.011
1783494000000,54.999,54.999,54.942,54.968
1783497600000,54.968,55.952,54.968,55.812
1783501200000,55.96,56.163,55.908,55.959
1783504800000,55.97,56.233,55.312,55.593
1783508400000,55.57,55.753,55.532,55.689
1783512000000,55.624,55.647,55.469,55.494
1783515600000,55.688,55.688,54.963,55.024
1783519200000,55.208,55.982,55.192,55.93
1783522800000,55.821,56.036,55.795,56.036
1783526400000,55.984,56.05,55.332,55.378
1783530000000,55.38,55.38,55.14,55.379
1783533600000,55.47,55.59,55.416,55.446
1783537200000,55.486,55.621,55.387,55.621
1783540800000,55.858,56.05,55.858,56.05
1783544400000,55.914,55.952,55.913,55.952
1783548000000,55.891,55.891,55.821,55.861
1783551600000,55.813,55.948,55.813,55.829
1783555200000,55.786,55.818,55.556,55.661
1783558800000,55.6,55.738,55.6,55.738
1783562400000,55.787,55.798,55.695,55.787
1783566000000,55.813,56.036,55.813,55.899
1783569600000,55.899,55.899,55.899,55.899
1783573200000,55.88,55.88,55.75,55.75
1783576800000,55.605,55.605,55.412,55.412
1783580400000,55.533,55.595,55.412,55.412
1783584000000,55.43,55.46,55.43,55.446
1783587600000,55.403,55.403,55.385,55.385
1783591200000,55.479,55.48,55.416,55.48
1783594800000,55.644,55.644,55.644,55.644
1783598400000,55.56,55.569,55.503,55.54
1783602000000,55.509,55.54,55.132,55.132
1783605600000,55.197,55.305,55.068,55.142
1783609200000,55.141,55.2,54.952,54.952
1783612800000,55.055,55.114,54.987,55.114
1783616400000,55.02,55.022,55.018,55.018
1783620000000,54.86,55.03,54.849,54.87
1783623600000,54.903,54.903,54.838,54.864
1783627200000,54.953,54.953,54.891,54.891
1783630800000,54.974,54.974,54.956,54.956
1783634400000,54.979,55.012,54.979,55.012
1783638000000,55.012,55.012,55.012,55.012
1783641600000,54.847,54.847,54.846,54.846
1783645200000,54.988,54.989,54.762,54.762
1783648800000,54.762,54.762,54.762,54.762
1783652400000,54.869,54.87,54.861,54.861
1783656000000,54.888,54.889,54.799,54.799
1783659600000,54.799,54.799,54.799,54.799
1783663200000,54.817,54.817,54.785,54.807
1783666800000,54.751,54.751,54.732,54.732
1783670400000,54.799,54.81,54.778,54.778
1783674000000,54.875,54.875,54.866,54.866
1783677600000,54.944,55.004,54.944,55.004
1783681200000,55.011,55.011,55.011,55.011
1783684800000,55.028,55.041,54.961,55.013
1783688400000,55.012,55.218,54.885,54.885
1783692000000,54.905,55.258,54.698,54.87
1783695600000,54.88,54.881,54.569,54.605
1783699200000,54.599,54.672,54.357,54.521
1783702800000,54.521,54.691,54.515,54.582
1783706400000,54.577,54.738,54.565,54.671
1783710000000,54.674,54.999,54.671,54.985
1783713600000,54.986,55.082,54.985,55.082
1783717200000,55.01,55.01,54.836,54.879
1783720800000,54.879,54.918,54.75,54.918
1783724400000,54.898,54.936,54.83,54.83
1783728000000,54.83,54.83,54.83,54.83
1783731600000,54.83,54.83,54.83,54.83
1783735200000,54.83,54.83,54.83,54.83
1783738800000,55.069,55.075,55.057,55.071
1783742400000,55.071,55.106,55.069,55.101
1783746000000,55.101,55.323,55.1,55.323
1783749600000,55.324,55.324,55.071,55.116
1783753200000,55.116,55.12,55.116,55.12
1783756800000,55.12,55.168,55.058,55.168
1783760400000,55.168,55.168,55.168,55.168
1783764000000,55.168,55.325,55.167,55.325
1783767600000,55.377,55.381,55.377,55.381
1783771200000,55.381,55.448,55.381,55.448
1783774800000,55.448,55.448,55.448,55.448
1783778400000,55.376,55.376,54.937,55.033
1783782000000,55.039,55.057,54.937,54.999
1783785600000,54.937,54.937,54.937,54.937
1783789200000,55.013,55.014,54.873,54.918
1783792800000,54.918,54.918,54.918,54.918
1783796400000,54.998,55.262,54.998,55.262
1783800000000,55.263,55.777,55.263,55.777
1783803600000,55.812,55.824,55.797,55.824
1783807200000,55.798,55.798,55.525,55.525
1783810800000,55.565,56.243,55.565,55.828
1783814400000,55.63,56.476,55.479,56.373
1783818000000,56.477,56.477,56.101,56.114
1783821600000,56.47,56.559,56.445,56.445
1783825200000,56.37,56.37,56.37,56.37
1783828800000,56.354,56.354,56.191,56.191
1783832400000,56.305,56.305,56.305,56.305
1783836000000,56.265,56.346,56.231,56.231
1783839600000,56.233,56.233,55.394,55.771
1783843200000,55.78,55.851,55.616,55.797
1783846800000,55.818,55.971,55.818,55.971
1783850400000,55.971,56.0,55.68,55.682
1783854000000,55.677,55.677,55.677,55.677
1783857600000,55.74,56.162,55.74,56.02
1783861200000,55.832,55.832,55.692,55.813
1783864800000,55.814,56.013,55.814,56.013
1783868400000,56.103,56.103,55.281,55.757
1783872000000,55.755,55.755,55.642,55.642
1783875600000,55.77,56.111,55.77,55.951
1783879200000,56.091,56.43,55.959,56.2
1783882800000,56.387,56.387,56.387,56.387
1783886400000,56.43,56.471,56.171,56.37
1783890000000,56.37,56.523,56.37,56.371
1783893600000,56.371,56.437,56.341,56.341
1783897200000,56.45,56.45,56.339,56.339
1783900800000,56.339,56.339,55.138,55.688
1783904400000,55.689,55.999,55.689,55.929
1783908000000,56.021,56.021,55.817,55.817
1783911600000,55.817,55.817,55.817,55.817
1783915200000,55.954,55.954,55.954,55.954
1783918800000,55.962,56.017,55.928,55.958
1783922400000,56.012,56.012,55.973,55.978
1783926000000,56.0,56.014,55.992,55.992
1783929600000,55.903,55.903,55.713,55.801
1783933200000,55.716,55.754,55.563,55.563
1783936800000,55.667,55.76,55.667,55.76
1783940400000,55.697,55.72,55.635,55.646
1783944000000,55.72,55.87,55.72,55.84
1783947600000,55.853,56.499,55.735,56.342
1783951200000,56.167,56.257,56.082,56.248
1783954800000,56.36,56.434,56.223,56.413
1783958400000,56.413,56.65,56.403,56.599
1783962000000,56.599,56.957,56.483,56.944
1783965600000,56.926,57.056,56.801,56.972
1783969200000,56.978,56.978,56.751,56.76
1783972800000,56.74,56.999,56.74,56.93
1783976400000,56.969,56.995,56.969,56.995
1783980000000,57.007,57.021,56.99,56.99
1783983600000,56.948,57.069,56.948,57.069
1783987200000,57.033,57.217,56.888,57.159
1783990800000,57.02,57.071,57.003,57.003
1783994400000,56.978,57.267,56.978,57.172
1783998000000,57.176,57.287,57.176,57.246
1784001600000,57.249,57.383,56.998,56.998
1784005200000,56.989,57.092,56.962,57.011
1784008800000,57.011,57.131,56.962,57.131
1784012400000,57.099,57.411,57.098,57.209
1784016000000,57.28,57.509,57.13,57.172
1784019600000,57.127,57.16,57.071,57.152
1784023200000,57.101,57.142,56.908,57.089
1784026800000,57.14,57.14,57.088,57.088
1784030400000,57.035,57.178,57.035,57.178
1784034000000,57.18,57.263,56.775,56.999
1784037600000,56.954,57.017,56.55,56.55
1784041200000,56.585,56.798,56.329,56.762
1784044800000,56.762,56.838,56.605,56.686
1784048400000,56.68,56.81,56.617,56.776
1784052000000,56.798,56.925,56.794,56.898
1784055600000,56.867,56.927,56.832,56.914
1784059200000,56.983,56.991,56.951,56.991
1784062800000,56.996,57.069,56.996,57.0
1784066400000,57.0,57.0,57.0,57.0
1784070000000,56.967,56.967,56.967,56.967
1784073600000,57.107,57.107,57.08,57.08
1784077200000,57.023,57.095,57.023,57.095
1784080800000,56.989,56.989,56.898,56.898
1784084400000,56.934,56.934,56.934,56.934
1784088000000,56.986,56.986,56.986,56.986
1784091600000,56.872,56.872,56.872,56.872
1784095200000,56.984,56.984,56.889,56.889
1784098800000,56.982,57.039,56.882,56.882
1784102400000,56.99,57.007,56.904,56.983
1784106000000,56.94,57.044,56.94,57.044
1784109600000,56.944,57.051,56.944,57.05
1784113200000,56.988,57.025,56.936,56.936
1784116800000,56.936,56.936,56.936,56.936
1784120400000,57.06,57.107,56.695,56.695
1784124000000,56.68,56.72,56.14,56.24
1784127600000,56.28,56.28,55.868,56.046
1784131200000,56.041,56.216,55.934,56.209
1784134800000,56.101,56.142,56.101,56.142
1784138400000,56.161,56.348,56.161,56.348
1784142000000,56.34,56.65,56.254,56.509
1784145600000,56.63,56.631,56.487,56.487
1784149200000,56.573,57.25,56.267,56.658
1784152800000,56.62,56.63,56.532,56.63
1784156400000,56.542,56.596,56.521,56.521
1784160000000,56.68,56.701,56.591,56.644
1784163600000,56.601,56.854,56.601,56.778
1784167200000,56.741,56.741,56.681,56.681
1784170800000,56.679,56.679,56.456,56.474
1784174400000,56.476,56.498,56.476,56.498
1784178000000,56.509,56.511,56.387,56.387
1784181600000,56.443,56.443,56.328,56.328
1784185200000,56.4,56.4,56.333,56.37
1784188800000,56.372,56.372,56.258,56.258
