t,o,h,l,c
1781499600000,292.313,293.409,292.313,293.409
1781503200000,293.409,294.067,293.409,293.943
1781506800000,293.943,294.219,293.797,293.94
1781510400000,293.94,294.112,293.271,293.62
1781514000000,293.62,293.921,293.381,293.836
1781517600000,293.836,294.001,293.218,293.373
1781521200000,293.373,293.517,292.912,293.135
1781524800000,293.135,293.312,292.237,293.184
1781528400000,293.184,295.936,291.963,295.335
1781532000000,295.335,296.748,295.16,296.52
1781535600000,296.52,297.832,296.258,297.57
1781539200000,297.57,297.856,296.669,297.053
1781542800000,297.053,297.262,295.693,295.803
1781546400000,295.803,296.422,295.053,296.388
1781550000000,296.388,296.663,295.698,296.433
1781553600000,296.433,296.579,296.024,296.248
1781557200000,296.248,296.249,295.934,296.107
1781560800000,296.107,296.117,295.24,295.678
1781564400000,295.678,296.339,295.665,296.329
1781568000000,296.329,297.709,295.507,297.708
1781571600000,297.708,297.839,296.684,296.781
1781575200000,296.781,296.887,296.583,296.626
1781578800000,296.626,297.031,296.568,296.577
1781582400000,296.577,296.581,295.63,295.74
1781586000000,295.74,296.037,295.576,295.798
1781589600000,295.798,296.006,295.644,295.724
1781593200000,295.724,296.06,295.719,295.888
1781596800000,295.888,297.399,295.888,296.257
1781600400000,296.257,296.473,295.899,295.985
1781604000000,295.985,296.103,295.89,295.976
1781607600000,295.976,296.76,295.804,295.822
1781611200000,295.822,296.05,294.881,295.875
1781614800000,295.875,297.909,294.078,297.096
1781618400000,297.096,298.001,296.727,297.529
1781622000000,297.529,298.546,297.246,298.196
1781625600000,298.196,299.742,298.126,299.467
1781629200000,299.467,300.44,299.107,299.649
1781632800000,299.649,299.799,298.637,299.179
1781636400000,299.179,299.483,298.265,299.317
1781640000000,299.317,299.317,298.709,298.894
1781643600000,298.894,298.995,298.725,298.994
1781647200000,298.994,299.371,298.975,299.216
1781650800000,299.216,299.32,298.809,298.809
1781654400000,298.809,299.117,298.545,298.618
1781658000000,298.618,299.367,298.565,299.348
1781661600000,299.348,299.423,299.171,299.171
1781665200000,299.171,299.6,299.171,299.532
1781668800000,299.532,299.597,299.278,299.402
1781672400000,299.402,299.716,299.229,299.46
1781676000000,299.46,299.614,299.342,299.554
1781679600000,299.554,299.708,299.208,299.501
1781683200000,299.501,299.597,298.371,298.748
1781686800000,298.748,299.069,298.664,298.802
1781690400000,298.802,298.802,298.509,298.522
1781694000000,298.522,299.191,298.522,298.664
1781697600000,298.664,298.845,298.488,298.745
1781701200000,298.745,301.76,298.674,300.381
1781704800000,300.381,301.009,298.417,298.592
1781708400000,298.592,298.75,296.664,298.566
1781712000000,298.566,299.154,298.102,298.162
1781715600000,298.162,298.206,296.481,297.535
1781719200000,297.535,297.535,294.472,294.646
1781722800000,294.646,296.254,294.472,296.058
1781726400000,296.058,296.393,295.68,295.836
1781730000000,295.836,299.31,295.836,297.527
1781733600000,297.527,297.714,297.145,297.182
1781737200000,297.182,297.344,296.877,297.17
1781740800000,297.17,298.695,296.643,298.411
1781744400000,298.411,299.35,298.397,298.89
1781748000000,298.89,299.008,298.687,298.868
1781751600000,298.868,298.871,298.465,298.645
1781755200000,298.645,298.671,297.433,297.532
1781758800000,297.532,297.856,297.446,297.552
1781762400000,297.552,298.428,297.509,298.398
1781766000000,298.398,298.441,298.08,298.134
1781769600000,298.134,298.248,297.495,297.545
1781773200000,297.545,297.83,297.544,297.63
1781776800000,297.63,297.649,297.058,297.44
1781780400000,297.44,297.46,295.946,296.797
1781784000000,296.797,297.024,296.452,296.801
1781787600000,296.801,300.38,295.799,298.339
1781791200000,298.339,300.62,298.102,299.267
1781794800000,299.267,299.302,296.06,297.466
1781798400000,297.466,297.769,296.814,297.213
1781802000000,297.213,298.471,297.133,297.721
1781805600000,297.721,298.144,297.118,297.818
1781809200000,297.818,299.27,297.166,298.019
1781812800000,298.019,298.889,297.741,297.794
1781816400000,297.794,298.215,297.794,298.168
1781820000000,298.168,298.168,297.016,297.18
1781823600000,297.18,297.399,297.112,297.275
1781827200000,297.275,297.793,297.23,297.785
1781830800000,297.785,297.854,295.612,295.617
1781834400000,295.617,296.762,295.568,296.736
1781838000000,296.736,296.739,296.22,296.522
1781841600000,296.522,296.937,296.074,296.924
1781845200000,296.924,296.997,295.265,296.031
1781848800000,296.031,296.45,295.571,296.45
1781852400000,296.45,296.941,296.431,296.941
1781856000000,296.941,297.393,296.786,296.902
1781859600000,296.902,297.634,296.86,297.54
1781863200000,297.54,297.591,297.023,297.332
1781866800000,297.332,297.336,296.8,297.336
1781870400000,297.336,297.496,297.069,297.164
1781874000000,297.164,297.529,296.183,296.469
1781877600000,296.469,297.555,295.743,297.555
1781881200000,297.555,297.657,296.879,297.122
1781884800000,297.122,297.433,296.739,296.84
1781888400000,296.84,296.907,296.337,296.705
1781892000000,296.705,297.078,296.468,296.468
1781895600000,296.468,296.838,296.166,296.166
1781899200000,296.166,296.354,296.085,296.282
1781902800000,296.282,296.292,295.987,296.121
1781906400000,296.121,296.23,295.856,296.07
1781910000000,296.07,296.562,296.065,296.379
1781913600000,296.379,296.613,296.296,296.539
1781917200000,296.539,296.554,296.356,296.412
1781920800000,296.412,296.549,296.314,296.382
1781924400000,296.382,296.575,296.203,296.557
1781928000000,296.557,296.667,296.538,296.65
1781931600000,296.65,296.741,296.562,296.657
1781935200000,296.657,296.671,296.595,296.595
1781938800000,296.595,296.595,295.91,296.204
1781942400000,296.204,296.524,296.028,296.028
1781946000000,296.028,296.327,295.882,295.92
1781949600000,295.92,296.115,295.886,296.044
1781953200000,296.044,296.288,296.035,296.101
1781956800000,296.101,296.315,296.057,296.057
1781960400000,296.057,296.174,295.681,295.764
1781964000000,295.764,295.825,295.158,295.825
1781967600000,295.825,295.831,295.28,295.28
1781971200000,295.28,295.315,295.025,295.031
1781974800000,295.031,295.113,294.988,295.002
1781978400000,295.002,295.233,294.974,295.075
1781982000000,295.075,295.437,294.996,295.437
1781985600000,295.437,295.517,295.215,295.24
1781989200000,295.24,295.426,295.204,295.405
1781992800000,295.405,295.533,295.391,295.484
1781996400000,295.484,295.593,295.477,295.566
1782000000000,295.566,295.65,295.45,295.547
1782003600000,295.547,295.555,295.343,295.343
1782007200000,295.343,295.343,295.216,295.216
1782010800000,295.216,295.767,295.076,295.767
1782014400000,295.767,295.773,295.512,295.55
