t,o,h,l,c
1788541200000,2.665,2.68503,2.65499,2.66501
1788544800000,2.66501,2.68501,2.65499,2.67597
1788548400000,2.67597,2.68606,2.625,2.66198
1788552000000,2.66198,2.66505,2.65395,2.65395
1788555600000,2.65395,2.65413,2.64273,2.64355
1788559200000,2.64355,2.64965,2.64223,2.64849
1788562800000,2.64849,2.64894,2.64843,2.64844
1788566400000,2.64844,2.65667,2.63813,2.65653
1788570000000,2.65653,2.65698,2.646,2.64772
1788573600000,2.64772,2.64778,2.63019,2.63231
1788577200000,2.63231,2.64586,2.63231,2.6454
1788580800000,2.6454,2.64658,2.63866,2.63866
1788584400000,2.63866,2.64894,2.63817,2.64215
1788588000000,2.64215,2.64215,2.63989,2.64005
1788591600000,2.64005,2.64046,2.6314,2.63285
1788595200000,2.63285,2.63743,2.63285,2.63718
1788598800000,2.63718,2.63755,2.63715,2.63738
1788602400000,2.63738,2.63898,2.63728,2.63837
1788606000000,2.63837,2.63936,2.63837,2.63927
1788609600000,2.63927,2.65033,2.63089,2.63089
1788613200000,2.63089,2.63089,2.62819,2.63013
1788616800000,2.63013,2.63033,2.62943,2.6298
1788620400000,2.6298,2.62981,2.62958,2.62964
1788624000000,2.62964,2.62968,2.62325,2.62821
1788627600000,2.62821,2.62892,2.62436,2.62462
1788631200000,2.62462,2.62701,2.62341,2.62651
1788634800000,2.62651,2.62729,2.62617,2.6264
1788638400000,2.6264,2.62877,2.62639,2.62877
1788642000000,2.62877,2.62917,2.62808,2.62817
1788645600000,2.62817,2.62861,2.62814,2.62861
1788649200000,2.62861,2.62877,2.628,2.62812
1788652800000,2.62812,2.62835,2.61987,2.61987
1788656400000,2.61987,2.62298,2.61663,2.62297
1788660000000,2.62297,2.62308,2.62295,2.62308
1788663600000,2.62308,2.6284,2.62285,2.62784
1788667200000,2.62784,2.6284,2.62706,2.62805
1788670800000,2.62805,2.62805,2.62757,2.62802
1788674400000,2.62802,2.6285,2.62645,2.62723
1788678000000,2.62723,2.62766,2.62723,2.62766
1788681600000,2.62766,2.62798,2.62764,2.62798
1788685200000,2.62798,2.62855,2.62605,2.62605
1788688800000,2.62605,2.6266,2.62605,2.62658
1788692400000,2.62658,2.6266,2.62554,2.62556
1788696000000,2.62556,2.62556,2.62489,2.62494
1788699600000,2.62494,2.63013,2.62486,2.63013
1788703200000,2.63013,2.63888,2.62995,2.63888
1788706800000,2.63888,2.64223,2.62634,2.62889
1788710400000,2.62889,2.62954,2.62889,2.62909
1788714000000,2.62909,2.63106,2.62871,2.63079
1788717600000,2.63079,2.63154,2.63078,2.63144
1788721200000,2.63144,2.70482,2.63132,2.68197
1788724800000,2.68197,2.68197,2.6693,2.66931
1788728400000,2.66931,2.66933,2.66882,2.66893
1788732000000,2.66893,2.66978,2.66752,2.66755
1788735600000,2.66755,2.66756,2.6651,2.6653
1788739200000,2.6653,2.66888,2.66396,2.66398
1788742800000,2.66398,2.6685,2.66397,2.66817
1788746400000,2.66817,2.67725,2.6661,2.6707
1788750000000,2.6707,2.67073,2.66816,2.66823
1788753600000,2.66823,2.6716,2.66819,2.67137
1788757200000,2.67137,2.6715,2.66148,2.66148
1788760800000,2.66148,2.66148,2.66025,2.66088
1788764400000,2.66088,2.66095,2.65398,2.65909
1788768000000,2.65909,2.66009,2.65909,2.65983
1788771600000,2.65983,2.65991,2.65983,2.65985
1788775200000,2.65985,2.66746,2.65968,2.66746
1788778800000,2.66746,2.67008,2.66746,2.66874
1788782400000,2.66874,2.66976,2.66812,2.66976
1788786000000,2.66976,2.67288,2.66962,2.67288
1788789600000,2.67288,2.67288,2.66687,2.67093
1788793200000,2.67093,2.67102,2.6702,2.67092
1788796800000,2.67092,2.67106,2.66825,2.67041
1788800400000,2.67041,2.67049,2.66919,2.66928
1788804000000,2.66928,2.66972,2.66844,2.66972
1788807600000,2.66972,2.67027,2.6692,2.67011
1788811200000,2.67011,2.67137,2.67008,2.67116
1788814800000,2.67116,2.67162,2.66996,2.67048
1788818400000,2.67048,2.67052,2.6687,2.66982
1788822000000,2.66982,2.67299,2.66977,2.67299
1788825600000,2.67299,2.67299,2.66806,2.66806
1788829200000,2.66806,2.66962,2.66658,2.66929
1788832800000,2.66929,2.67028,2.66893,2.66986
1788836400000,2.66986,2.6699,2.66923,2.66983
1788840000000,2.66983,2.66986,2.6671,2.66757
1788843600000,2.66757,2.66841,2.66557,2.66682
1788847200000,2.66682,2.66723,2.66678,2.66687
1788850800000,2.66687,2.66687,2.65407,2.65478
1788854400000,2.65478,2.6549,2.65342,2.65357
1788858000000,2.65357,2.65393,2.65347,2.65393
1788861600000,2.65393,2.65475,2.65391,2.65474
1788865200000,2.65474,2.65817,2.65434,2.65448
1788868800000,2.65448,2.65472,2.65411,2.65411
1788872400000,2.65411,2.65627,2.489,2.51732
1788876000000,2.51732,2.53763,2.49737,2.52761
1788879600000,2.52761,2.53761,2.5075,2.53759
1788883200000,2.53759,2.55756,2.53758,2.54763
1788886800000,2.54763,2.54768,2.53761,2.53764
1788890400000,2.53764,2.59761,2.53762,2.53763
1788894000000,2.53763,2.57748,2.52758,2.57748
1788897600000,2.57748,2.58306,2.56108,2.5807
1788901200000,2.5807,2.58073,2.57656,2.57914
1788904800000,2.57914,2.58999,2.57914,2.58002
1788908400000,2.58002,2.58031,2.57975,2.58023
1788912000000,2.58023,2.58048,2.58023,2.58045
1788915600000,2.58045,2.58045,2.57912,2.57979
1788919200000,2.57979,2.58074,2.57979,2.58034
1788922800000,2.58034,2.58083,2.58007,2.58056
1788926400000,2.58056,2.58093,2.58024,2.58043
1788930000000,2.58043,2.58056,2.58016,2.58033
1788933600000,2.58033,2.5812,2.58011,2.58075
1788937200000,2.58075,2.58138,2.58028,2.58028
1788940800000,2.58028,2.58234,2.57996,2.58234
1788944400000,2.58234,2.58258,2.58234,2.58254
1788948000000,2.58254,2.58426,2.58254,2.58299
1788951600000,2.58299,2.58299,2.58147,2.58161
1788955200000,2.58161,2.58162,2.57995,2.58016
1788958800000,2.58016,2.59728,2.54163,2.59728
1788962400000,2.59728,2.62656,2.56748,2.57779
1788966000000,2.57779,2.57782,2.54709,2.54763
1788969600000,2.54763,2.58778,2.54763,2.56779
1788973200000,2.56779,2.58783,2.56777,2.57781
1788976800000,2.57781,2.57785,2.50751,2.50752
1788980400000,2.50752,2.52757,2.47746,2.47746
1788984000000,2.47746,2.51731,2.47743,2.51655
1788987600000,2.51655,2.5171,2.51354,2.51431
1788991200000,2.51431,2.51519,2.48559,2.48921
1788994800000,2.48921,2.50129,2.4882,2.48833
1788998400000,2.48833,2.49044,2.48578,2.48578
1789002000000,2.48578,2.48578,2.48477,2.48489
1789005600000,2.48489,2.48505,2.48406,2.48411
1789009200000,2.48411,2.48453,2.48187,2.48315
1789012800000,2.48315,2.48341,2.48191,2.48321
1789016400000,2.48321,2.48412,2.48304,2.48412
1789020000000,2.48412,2.48413,2.4818,2.482
1789023600000,2.482,2.48409,2.47777,2.47854
1789027200000,2.47854,2.47914,2.4777,2.47893
1789030800000,2.47893,2.47908,2.47837,2.47893
1789034400000,2.47893,2.47919,2.47888,2.47919
1789038000000,2.47919,2.47966,2.47891,2.47898
1789041600000,2.47898,2.47911,2.46725,2.46725
1789045200000,2.46725,2.48667,2.415,2.47521
