t,o,h,l,c
1781848800000,534.87,536.03,534.45,534.45
1781852400000,534.45,534.99,533.69,534.8
1781856000000,534.8,534.96,534.37,534.6
1781859600000,534.6,534.61,532.53,533.51
1781863200000,533.51,535.45,533.1,534.11
1781866800000,534.11,534.74,533.46,534.63
1781870400000,534.63,535.26,533.19,535.26
1781874000000,535.26,537.1,535.01,536.34
1781877600000,536.34,537.83,535.95,537.25
1781881200000,537.25,537.25,533.82,534.87
1781884800000,534.87,536.01,534.44,535.07
1781888400000,535.07,535.38,534.12,535.18
1781892000000,535.18,538.28,535.18,537.97
1781895600000,537.97,538.49,537.22,537.22
1781899200000,537.22,538.73,536.97,537.79
1781902800000,537.79,537.94,536.91,537
1781906400000,537,537.48,535.97,536.67
1781910000000,536.67,538.63,536.41,538.32
1781913600000,538.32,539.39,538.3,538.88
1781917200000,538.88,538.94,538.1,538.5
1781920800000,538.5,539.65,537.78,539.3
1781924400000,539.3,540.1,539.12,540.1
1781928000000,540.1,542.41,540.06,542.41
1781931600000,542.41,545.09,542.35,544.98
1781935200000,544.98,545.53,544.72,544.8
1781938800000,544.8,544.86,543.37,543.38
1781942400000,543.38,543.79,541.54,541.57
1781946000000,541.57,542.02,540.52,541.98
1781949600000,541.98,541.99,539.19,539.51
1781953200000,539.51,540.17,538.73,540.17
1781956800000,540.17,541.14,539.93,540.82
1781960400000,540.82,541.58,536.81,536.81
1781964000000,536.81,538.73,535.93,537.92
1781967600000,537.92,540.11,537.35,537.35
1781971200000,537.35,538.86,537.17,537.94
1781974800000,537.94,538.08,535.68,535.84
1781978400000,535.84,535.87,534.56,534.57
1781982000000,534.57,537.59,534.51,537.59
1781985600000,537.59,540.28,537.59,539.98
1781989200000,539.98,541.51,539.98,541.18
1781992800000,541.18,542.59,541.1,542.56
1781996400000,542.56,542.75,540.95,540.95
1782000000000,540.95,540.98,540.1,540.3
1782003600000,540.3,541.11,540.3,540.99
1782007200000,540.99,541.03,539.77,539.91
1782010800000,539.91,540.17,539.35,540.17
1782014400000,540.17,542.05,540.17,541.02
1782018000000,541.02,541.28,540.38,540.8
1782021600000,540.8,542.36,540.8,542.05
1782025200000,542.05,543.56,541.93,542.7
1782028800000,542.7,543.03,539.43,541.42
1782032400000,541.42,543.8,541.34,543.35
1782036000000,543.35,543.49,539.99,540.57
1782039600000,540.57,542.47,540.51,541.88
1782043200000,541.88,541.97,541.28,541.28
1782046800000,541.28,541.28,539.77,540.3
1782050400000,540.3,541.33,540.3,541.25
1782054000000,541.25,542.6,541.25,542.01
1782057600000,542.01,542.07,540.6,540.6
1782061200000,540.6,541.11,540.31,541.07
1782064800000,541.07,541.09,540.22,540.48
1782068400000,540.48,540.62,540.06,540.1
1782072000000,540.1,540.22,538.46,539.1
1782075600000,539.1,539.1,537.28,538.85
1782079200000,538.85,538.95,534.53,535.39
1782082800000,535.39,535.39,532.98,533.02
1782086400000,533.02,536.15,525.05,535.9
1782090000000,535.9,536.63,531.85,531.96
1782093600000,531.96,533.12,530.62,531.44
1782097200000,531.44,532.76,530.52,531.15
1782100800000,531.15,532.33,530.46,531.58
1782104400000,531.58,533.97,531.41,533.53
1782108000000,533.53,538.32,533.33,538.28
1782111600000,538.28,541.77,537.98,539.41
1782115200000,539.41,539.91,536.38,538.71
1782118800000,538.71,539.75,538.39,539.25
1782122400000,539.25,539.98,538.36,538.74
1782126000000,538.74,541.8,538.39,539.73
1782129600000,539.73,543.68,539.73,542.71
1782133200000,542.71,562.72,536.54,557.84
1782136800000,557.84,558.8,541.09,545.78
1782140400000,545.78,548.94,537.7,538.06
1782144000000,538.06,545.07,537.23,544.23
1782147600000,544.23,547.22,542,546.05
1782151200000,546.05,547.62,544.32,545.35
1782154800000,545.35,551.83,544.24,551.83
1782158400000,551.83,552.69,549.42,549.71
1782162000000,549.71,549.98,549.32,549.61
1782165600000,549.61,550.31,546.64,547.28
1782169200000,547.28,547.47,545.35,546.92
1782172800000,546.92,550.55,540.29,546.69
1782176400000,546.69,548.59,539.94,542.66
1782180000000,542.66,543.2,538.77,539.28
1782183600000,539.28,539.76,532.12,539.36
1782187200000,539.36,540.18,532.51,532.51
1782190800000,532.51,534.59,530.15,530.26
1782194400000,530.26,531.45,520.89,521.83
1782198000000,521.83,528.07,518.25,519.4
1782201600000,519.4,522.56,515.38,519.23
1782205200000,519.23,523.91,518.24,519.37
1782208800000,519.37,519.94,514.35,518.85
1782212400000,518.85,519.66,515.87,519.45
1782216000000,519.45,520.82,510.28,510.59
1782219600000,510.59,524.79,506.68,524.03
1782223200000,524.03,526.38,518.77,522.24
1782226800000,522.24,524.17,516.83,522.37
1782230400000,522.37,528.62,520.61,522.19
1782234000000,522.19,525.23,519.11,519.15
1782237600000,519.15,521.08,513.94,515.78
1782241200000,515.78,521.39,515.4,519.96
1782244800000,519.96,523.21,518.75,521.81
1782248400000,521.81,522.77,521.59,522.1
1782252000000,522.1,522.96,517.42,518.7
1782255600000,518.7,523.07,517.04,521.85
1782259200000,521.85,527.26,520.18,525.5
1782262800000,525.5,528.43,523.66,526.36
1782266400000,526.36,526.93,518.12,518.41
1782270000000,518.41,523.02,517.93,521.44
1782273600000,521.44,522.89,518.24,522.77
1782277200000,522.77,529.18,522.77,528.09
1782280800000,528.09,530.89,527.44,530.11
1782284400000,530.11,530.43,527.01,527.57
1782288000000,527.57,531.75,526.84,528.76
1782291600000,528.76,528.77,526.44,527.49
1782295200000,527.49,528.51,526.73,527.06
1782298800000,527.06,527.86,523.31,526.81
1782302400000,526.81,527.94,523.75,523.75
1782306000000,523.75,524.55,510.03,521.6
1782309600000,521.6,524.86,512.09,520.16
1782313200000,520.16,522.35,514.89,520.68
1782316800000,520.68,522.41,515.35,516.28
1782320400000,516.28,517.62,507.57,509.19
1782324000000,509.19,515.8,505.78,506.55
1782327600000,506.55,519.86,503.77,519.86
1782331200000,519.86,539.72,518.63,538.37
1782334800000,538.37,538.91,534.91,538.69
1782338400000,538.69,539.74,537.25,537.49
1782342000000,537.49,539.66,537.36,538.95
1782345600000,538.95,538.95,529,530.5
1782349200000,530.5,535.89,530.48,534.51
1782352800000,534.51,534.97,531.63,533.3
1782356400000,533.3,535.06,533.23,534.51
1782360000000,534.51,535.19,531.84,533.59
1782363600000,533.59,536.27,533.55,535.12
1782367200000,535.12,536.44,534.61,535.5
1782370800000,535.5,538.88,535.35,538.88
1782374400000,538.88,540.87,537.66,537.73
1782378000000,537.73,539.47,537.73,538.99
1782381600000,538.99,539.86,538.31,539.09
1782385200000,539.09,543.11,539.09,539.87
1782388800000,539.87,545.94,539.3,544.38
1782392400000,544.38,551.06,507.56,508.09
1782396000000,508.09,523.64,508.09,519.38
1782399600000,519.38,523.86,514.43,519.23
1782403200000,519.23,531.54,518.94,523.95
1782406800000,523.95,530.1,523.43,529.78
1782410400000,529.78,530.07,522.45,525.42
1782414000000,525.42,532.78,521.7,532.58
1782417600000,532.58,537.84,530.89,531.56
1782421200000,531.56,531.93,528.55,529.76
1782424800000,529.76,530.3,526.64,529.26
1782428400000,529.26,535.47,528.46,530.24
1782432000000,530.24,533.62,525.52,526.52
1782435600000,526.52,527.69,520.35,521.28
1782439200000,521.28,522.14,512.09,515.1
1782442800000,515.1,515.98,509.77,515.79
1782446400000,515.79,517.95,513.19,513.77
1782450000000,513.77,519.68,512.95,518.1
1782453600000,518.1,521.13,516,520.11
1782457200000,520.11,522.66,517.57,519.26
1782460800000,519.26,519.79,514.81,514.97
1782464400000,514.97,515.01,511.4,513.32
1782468000000,513.32,513.75,511.25,512.78
1782471600000,512.78,514.89,510.97,512.55
1782475200000,512.55,515.25,508.48,509.43
1782478800000,509.43,520,503.2,516.69
1782482400000,516.69,524.67,515.79,516.47
1782486000000,516.47,521.26,511.01,519.78
1782489600000,519.78,522.06,516.55,519.63
1782493200000,519.63,524.54,518.53,519.24
1782496800000,519.24,520.54,516.02,517.83
1782500400000,520.94,524.56,513.92,520.92
1782504000000,520.92,523.45,517.43,517.87
1782507600000,517.87,518.25,516.89,517.55
1782511200000,517.55,518.88,517.33,518.73
1782514800000,518.73,519.25,518.23,518.69
1782518400000,518.69,518.69,518.69,518.69
1782522000000,518.69,518.69,518.69,518.69
1782525600000,518.69,518.69,518.69,518.69
1782529200000,518.69,518.69,518.69,518.69
1782532800000,518.69,518.69,518.69,518.69
1782536400000,518.69,518.69,518.69,518.69
1782540000000,518.69,518.69,518.69,518.69
1782543600000,518.69,518.69,518.69,518.69
1782547200000,518.69,518.69,518.69,518.69
1782550800000,518.69,518.69,518.69,518.69
1782554400000,518.69,518.69,518.69,518.69
1782558000000,518.69,518.69,518.69,518.69
1782561600000,518.69,518.69,518.69,518.69
1782565200000,518.69,518.69,518.69,518.69
1782568800000,518.69,518.69,518.69,518.69
1782572400000,518.69,518.69,518.69,518.69
1782576000000,518.69,518.69,518.69,518.69
1782579600000,518.69,518.69,518.69,518.69
1782583200000,518.69,518.69,518.69,518.69
1782586800000,518.69,518.69,518.69,518.69
1782590400000,518.69,518.69,518.69,518.69
1782594000000,518.69,518.69,518.69,518.69
1782597600000,518.69,518.69,518.69,518.69
1782601200000,518.69,518.69,518.69,518.69
1782604800000,518.69,518.69,518.69,518.69
1782608400000,518.69,518.69,518.69,518.69
1782612000000,518.69,518.69,518.69,518.69
1782615600000,518.69,518.69,518.69,518.69
1782619200000,518.69,518.69,518.69,518.69
1782622800000,518.69,518.69,518.69,518.69
1782626400000,518.69,518.69,518.69,518.69
1782630000000,518.69,518.69,518.69,518.69
1782633600000,518.69,518.69,518.69,518.69
1782637200000,518.69,518.69,518.69,518.69
1782640800000,518.69,518.69,518.69,518.69
1782644400000,518.69,518.69,518.69,518.69
1782648000000,518.69,518.69,518.69,518.69
1782651600000,518.69,518.69,518.69,518.69
1782655200000,518.69,518.69,518.69,518.69
1782658800000,518.69,518.69,518.69,518.69
1782662400000,518.69,518.69,518.69,518.69
1782666000000,518.69,518.69,518.69,518.69
1782669600000,518.69,518.69,518.69,518.69
1782673200000,518.69,518.69,518.69,518.69
1782676800000,518.69,518.69,518.69,518.69
1782680400000,518.69,518.69,518.69,518.69
1782684000000,518.69,518.69,518.69,518.69
1782687600000,518.69,518.69,518.69,518.69
1782691200000,518.69,526.89,517.55,520.99
1782694800000,520.99,521.87,518.69,521.03
1782698400000,521.03,521.23,517.93,520.44
1782702000000,520.44,523.45,519.15,523.4
1782705600000,523.4,523.4,520,520.29
1782709200000,520.29,527.64,519.52,527.42
1782712800000,527.42,530.6,524.58,527.99
1782716400000,527.99,529.97,527.26,529.25
1782720000000,529.25,533.25,528.76,530.75
1782723600000,530.75,530.98,528.49,529.01
1782727200000,529.01,530.57,528.3,529.8
1782730800000,529.8,530.4,526.6,527.29
1782734400000,527.29,529.17,526.18,527.47
1782738000000,527.47,534.5,512.23,513.24
1782741600000,513.24,515.26,495.67,514.51
1782745200000,514.51,525.34,512.78,524.05
1782748800000,524.05,532.74,523.67,531.71
1782752400000,531.71,542.02,531.7,539.97
1782756000000,539.97,541.5,537.04,537.58
1782759600000,537.58,539.96,535.23,539.51
1782763200000,539.51,540.95,537.24,537.42
1782766800000,537.42,538.59,537.32,538.29
1782770400000,538.29,538.77,537.36,538.05
1782774000000,538.05,540.46,537.92,540.46
1782777600000,540.46,540.47,534.37,536.49
1782781200000,536.49,539.12,535.5,538.76
1782784800000,538.76,539.5,537.48,539.22
1782788400000,539.22,541.99,538.25,540.98
1782792000000,540.98,544.65,540.48,543.66
1782795600000,543.66,544.6,542.4,543.25
1782799200000,543.25,543.37,541.79,542.65
1782802800000,542.65,542.77,540.42,540.99
1782806400000,540.99,541.48,536.29,537.52
1782810000000,537.52,539.08,536.64,538.65
1782813600000,538.65,540.13,538.65,540.12
1782817200000,540.12,544.29,540.05,543.24
1782820800000,543.24,543.75,538.87,538.87
1782824400000,538.87,564.49,538.87,556.85
1782828000000,556.85,559.95,552.67,557.08
1782831600000,557.08,578.85,557.05,577.59
1782835200000,577.59,581.3,575.27,579.7
1782838800000,579.7,582.43,578.01,580.08
1782842400000,580.08,583.8,578.3,581.64
1782846000000,581.64,584.57,580.73,580.73
1782849600000,580.73,580.99,577.75,579.33
1782853200000,579.33,579.33,576.94,577.34
1782856800000,577.34,577.98,576.7,577.48
1782860400000,577.48,579.33,577.47,579.32
1782864000000,579.32,581.25,577.13,579.04
1782867600000,579.04,579.19,576.46,576.99
1782871200000,576.99,577,572.5,577
1782874800000,577,580.37,576.35,580.11
1782878400000,580.11,580.66,578.39,578.41
1782882000000,578.41,578.5,576.7,576.76
1782885600000,576.76,577.22,574.37,576.15
1782889200000,576.15,576.75,572.84,575
1782892800000,575,575.79,570.24,572.62
1782896400000,572.62,573.58,570.5,573.56
1782900000000,573.56,576.07,572.83,575.82
1782903600000,575.82,576.81,572.81,573.28
1782907200000,573.28,573.7,559.63,561.19
1782910800000,561.19,563.87,549.37,559.91
1782914400000,559.91,561.22,547.39,550.25
1782918000000,550.25,557.07,548.37,550.6
1782921600000,550.6,553.62,549.38,552.32
1782925200000,552.32,554.94,549.1,549.47
1782928800000,549.47,550.84,543.29,545.62
1782932400000,545.62,552.74,538.84,541.11
1782936000000,541.11,542.06,538.29,542.01
1782939600000,542.01,544.9,541.74,544.22
1782943200000,544.22,546.49,542.12,546.37
1782946800000,546.37,546.54,543.48,544.39
1782950400000,544.39,548.25,540.77,548.12
1782954000000,548.12,552.14,547.8,551.69
1782957600000,551.69,551.88,547.5,548.97
1782961200000,548.97,549,546.57,547.11
1782964800000,547.11,547.25,542.39,543.87
1782968400000,543.87,546.85,541.28,542.67
1782972000000,542.67,543.09,532.46,532.53
1782975600000,532.53,533.85,525.71,530.19
1782979200000,530.19,537.43,524.67,537.43
1782982800000,537.43,537.43,530.87,532.18
1782986400000,532.18,532.18,527.53,531.75
1782990000000,531.75,539.07,531.48,537.97
1782993600000,537.97,553.28,536.77,546.25
1782997200000,546.25,548.52,526.67,544.19
1783000800000,544.19,547.49,515.71,520.94
1783004400000,520.94,526.28,514.55,519.4
1783008000000,519.4,522.21,510.76,511.76
1783011600000,511.76,514.45,508.09,508.57
1783015200000,508.57,517.3,508.51,514.59
1783018800000,514.59,517.91,506.1,517.64
1783022400000,517.64,520.66,516.49,518.86
1783026000000,518.86,519.67,518.37,519.32
1783029600000,519.32,520.88,518.94,520.16
1783033200000,520.16,520.2,518.89,519.47
1783036800000,519.47,519.53,517.08,517.81
1783040400000,517.81,522.13,517.81,522.13
1783044000000,522.13,524.06,522.12,524.01
1783047600000,524.01,524.69,523.28,524.34
1783051200000,524.34,525.51,524.31,525.08
1783054800000,525.08,525.94,524.63,525.76
1783058400000,525.76,528.14,525.76,528.09
1783062000000,528.09,528.68,527.28,527.73
1783065600000,527.73,530.03,527.73,529.31
1783069200000,529.31,529.57,528.68,529.39
1783072800000,529.39,529.45,527.87,527.87
1783076400000,527.87,528.05,527.09,527.66
1783080000000,527.66,529.24,527.66,529.24
1783083600000,529.24,529.33,528.14,529
1783087200000,529,529,527.56,527.71
1783090800000,527.71,527.81,526.87,527.01
1783094400000,527.01,528.55,527.01,528.55
1783098000000,528.55,528.55,527.49,527.9
1783101600000,527.9,529,527.68,527.85
1783105200000,527.85,529.06,527.84,528.07
1783108800000,528.07,528.75,527.67,528.75
1783112400000,528.75,529,527.4,527.7
1783116000000,527.7,527.95,525.99,526.18
1783119600000,526.18,526.68,525.79,525.92
1783123200000,525.92,527.59,525.77,527.59
1783126800000,527.59,527.95,527.07,527.87
1783130400000,527.87,529.79,527.84,529.79
1783134000000,529.79,529.93,529.47,529.77
1783137600000,529.77,529.85,529.49,529.78
1783141200000,529.78,530.69,529.23,529.96
1783144800000,529.96,530.21,529.1,529.1
1783148400000,529.1,529.33,528.13,528.54
1783152000000,528.54,530.34,528.54,530.34
1783155600000,530.34,531.3,530.34,531.05
1783159200000,531.05,531.42,530.95,531.11
1783162800000,531.11,531.11,530.29,530.45
1783166400000,530.45,530.45,529.39,529.41
1783170000000,529.41,529.48,528,528.8
1783173600000,528.8,529.32,528.74,529.15
1783177200000,529.15,530.19,529.03,530.15
1783180800000,530.15,530.36,529.42,529.72
1783184400000,529.72,530.76,529.21,530.72
1783188000000,530.72,530.72,529.73,529.88
1783191600000,529.88,531.08,529.86,531.06
1783195200000,531.06,531.25,530.59,530.94
1783198800000,530.94,531.31,530.83,530.84
