t,o,h,l,c
1781499600000,242.959,242.959,242.392,242.812
1781503200000,242.812,243.011,242.354,242.422
1781506800000,242.422,242.765,242.307,242.308
1781510400000,242.308,242.571,241.873,242.361
1781514000000,242.361,242.365,241.636,242.265
1781517600000,242.265,244.464,242.1,243.985
1781521200000,243.985,244.744,243.524,243.887
1781524800000,243.887,244.723,243.613,244.02
1781528400000,244.02,247.957,243.819,247.503
1781532000000,247.503,247.534,245.834,246.683
1781535600000,246.683,246.844,245.882,246.758
1781539200000,246.758,247.184,245.917,246.469
1781542800000,246.469,247.189,246.217,246.607
1781546400000,246.607,246.984,246.165,246.978
1781550000000,246.978,247.021,245.789,246.346
1781553600000,246.346,246.704,246.051,246.495
1781557200000,246.495,248.327,246.388,248.259
1781560800000,248.259,248.698,247.961,248.385
1781564400000,248.385,248.675,248.036,248.467
1781568000000,248.467,249.075,247.399,248.957
1781571600000,248.957,250.068,248.843,249.202
1781575200000,249.202,249.293,248.912,248.958
1781578800000,248.958,249.119,248.905,248.961
1781582400000,248.961,248.966,247.622,248.018
1781586000000,248.018,248.188,247.31,247.645
1781589600000,247.645,247.803,247.147,247.306
1781593200000,247.306,247.747,247.296,247.446
1781596800000,247.446,248.413,247.446,248.127
1781600400000,248.127,248.323,247.923,248.019
1781604000000,248.019,248.508,247.974,248.258
1781607600000,248.258,248.744,247.461,247.792
1781611200000,247.792,247.901,247.207,247.316
1781614800000,247.316,248.553,246.768,246.785
1781618400000,246.785,248.964,245.719,248.56
1781622000000,248.56,249.695,248.153,248.257
1781625600000,248.257,248.257,246.209,246.384
1781629200000,246.384,246.614,245.815,245.97
1781632800000,245.97,246.947,245.961,246.581
1781636400000,246.581,246.922,245.918,246.359
1781640000000,246.359,246.76,246.01,246.134
1781643600000,246.134,246.227,246.057,246.149
1781647200000,246.149,246.407,245.985,246.292
1781650800000,246.292,246.306,245.898,246.008
1781654400000,246.008,246.448,245.956,246.022
1781658000000,246.022,246.417,245.966,246.408
1781661600000,246.408,247.748,246.385,247.279
1781665200000,247.279,247.322,246.965,247.25
1781668800000,247.25,247.266,246.844,247.244
1781672400000,247.244,247.328,246.899,247.132
1781676000000,247.132,247.593,247.019,247.571
1781679600000,247.571,247.586,246.975,247.294
1781683200000,247.294,247.422,246.549,246.741
1781686800000,246.741,246.964,246.202,246.313
1781690400000,246.313,246.918,245.84,246.79
1781694000000,246.79,246.79,245.826,245.845
1781697600000,245.845,247.667,245.845,247.167
1781701200000,247.167,247.201,241.949,242.384
1781704800000,242.384,242.92,240.592,241.03
1781708400000,241.03,241.355,240.267,240.462
1781712000000,240.462,241.136,239.513,240.121
1781715600000,240.121,240.875,239.434,240.767
1781719200000,240.767,240.767,238.086,238.522
1781722800000,238.522,238.911,236.833,237.714
1781726400000,237.714,238.478,237.586,238.274
1781730000000,238.274,238.905,238.119,238.867
1781733600000,238.867,239.322,238.664,239.218
1781737200000,239.218,239.705,238.964,239.579
1781740800000,239.579,240.497,239.435,240.122
1781744400000,240.122,240.742,240.065,240.28
1781748000000,240.28,240.983,240.267,240.773
1781751600000,240.773,240.791,240.276,240.422
1781755200000,240.422,240.462,239.198,239.366
1781758800000,239.366,240.046,239.219,240.008
1781762400000,240.008,240.272,239.849,240.19
1781766000000,240.19,240.328,239.995,240.064
1781769600000,240.064,240.711,239.973,240.265
1781773200000,240.265,240.699,240.024,240.238
1781776800000,240.238,241.363,237.949,238.821
1781780400000,238.821,238.836,237.704,238.751
1781784000000,238.751,239.563,238.466,239.457
1781787600000,239.457,240.698,236.263,239.109
1781791200000,239.109,240.64,238.746,240.085
1781794800000,240.085,244.477,240.017,243.951
1781798400000,243.951,244.344,242.712,243.647
1781802000000,243.647,245.889,243.471,244.211
1781805600000,244.211,244.211,242.981,243.276
1781809200000,243.276,244.862,242.659,244.543
1781812800000,244.543,244.701,243.371,243.774
1781816400000,243.774,244.377,243.738,243.858
1781820000000,243.858,243.927,242.504,242.796
1781823600000,242.796,243.304,242.741,243.246
1781827200000,243.246,243.248,242.557,242.664
1781830800000,242.664,242.664,242.437,242.437
1781834400000,242.437,242.74,242.412,242.59
1781838000000,242.59,242.6,242.052,242.062
1781841600000,242.062,242.189,241.812,241.813
1781845200000,241.813,242.303,241.774,242.303
1781848800000,242.303,242.605,242.303,242.507
1781852400000,242.507,243.495,242.507,243.495
1781856000000,243.495,243.679,243.02,243.02
1781859600000,243.02,243.02,242.703,242.888
1781863200000,242.888,243.005,242.562,242.562
1781866800000,242.562,242.804,242.488,242.794
1781870400000,242.794,242.798,242.238,242.742
1781874000000,242.742,242.939,242.593,242.916
1781877600000,242.916,243.182,242.689,243.145
1781881200000,243.145,243.485,243.122,243.471
1781884800000,243.471,243.532,243.418,243.418
1781888400000,243.418,243.511,243.383,243.492
1781892000000,243.492,243.512,243.37,243.37
1781895600000,243.37,243.37,243.331,243.347
1781899200000,243.347,243.347,242.845,242.845
1781902800000,242.845,242.846,242.732,242.732
1781906400000,242.732,242.912,242.666,242.911
1781910000000,242.911,243.937,242.849,243.636
1781913600000,243.636,243.651,243.281,243.511
1781917200000,243.511,243.511,243.336,243.426
1781920800000,243.426,243.455,243.346,243.44
1781924400000,243.44,243.678,243.353,243.674
1781928000000,243.674,243.786,243.593,243.753
1781931600000,243.753,243.958,243.702,243.889
1781935200000,243.889,243.984,243.887,243.905
1781938800000,243.905,243.905,243.402,243.432
1781942400000,243.432,243.628,243.403,243.585
1781946000000,243.585,243.618,243.527,243.618
1781949600000,243.618,243.624,243.551,243.624
1781953200000,243.624,243.73,243.574,243.73
1781956800000,243.73,243.733,243.574,243.575
1781960400000,243.575,243.602,243.262,243.371
1781964000000,243.371,244.433,243.289,244.409
1781967600000,244.409,244.694,244.12,244.232
1781971200000,244.232,244.323,244.192,244.255
1781974800000,244.255,244.312,243.993,243.993
1781978400000,243.993,244.02,243.97,243.971
1781982000000,243.971,243.973,243.725,243.725
1781985600000,243.725,243.848,243.683,243.685
1781989200000,243.685,243.737,243.616,243.685
1781992800000,243.685,243.868,243.661,243.858
1781996400000,243.858,243.865,243.472,243.503
1782000000000,243.503,243.505,243.263,243.331
1782003600000,243.331,243.623,243.235,243.591
1782007200000,243.591,243.61,243.373,243.597
1782010800000,243.597,243.642,243.446,243.638
1782014400000,243.638,243.683,243.521,243.621
1782018000000,243.621,243.622,243.524,243.561
1782021600000,243.561,243.734,243.541,243.714
1782025200000,243.714,243.817,243.697,243.697
1782028800000,243.697,243.77,243.342,243.365
1782032400000,243.365,243.578,243.331,243.532
1782036000000,243.532,243.572,243.362,243.368
1782039600000,243.368,243.432,243.337,243.337
1782043200000,243.337,243.337,243.119,243.223
1782046800000,243.223,243.26,243.173,243.194
1782050400000,243.194,243.293,243.135,243.228
1782054000000,243.228,243.358,243.217,243.353
1782057600000,243.353,243.355,243.226,243.3
1782061200000,243.3,243.359,243.156,243.312
1782064800000,243.312,243.395,243.266,243.32
1782068400000,243.32,243.39,243.1,243.106
1782072000000,243.106,243.122,243.009,243.01
1782075600000,243.01,243.363,242.996,243.339
1782079200000,243.339,243.339,241.935,242.099
1782082800000,242.099,242.26,241.206,241.32
1782086400000,241.32,242.824,241.32,241.835
1782090000000,241.835,242.036,241.7,241.867
1782093600000,241.867,241.892,241.391,241.613
1782097200000,241.613,242.281,241.507,241.834
1782100800000,241.834,242.122,241.665,242.067
1782104400000,242.067,243.007,242.062,242.842
1782108000000,242.842,243.107,242.842,243.073
1782111600000,243.073,243.212,242.892,242.926
1782115200000,242.926,243.168,242.326,242.565
1782118800000,242.565,242.802,242.323,242.397
1782122400000,242.397,242.836,242.304,242.536
1782126000000,242.536,243.414,242.533,242.866
1782129600000,242.866,243.47,242.865,243.02
1782133200000,243.02,243.171,238.913,239.521
1782136800000,239.521,239.521,234.063,234.401
1782140400000,234.401,235.057,232.724,233.86
1782144000000,233.86,233.896,232.845,233.454
1782147600000,233.454,234.384,232.479,233.982
1782151200000,233.982,234.808,233.908,234.458
1782154800000,234.458,235.249,233.038,233.188
1782158400000,233.188,233.731,233.121,233.21
1782162000000,233.21,234.471,233.199,234.191
1782165600000,234.191,234.192,233.147,233.552
1782169200000,233.552,233.576,232.955,233.335
1782172800000,233.335,233.746,232.806,233.533
1782176400000,233.533,233.907,233.06,233.15
1782180000000,233.15,233.749,233.122,233.183
1782183600000,233.183,233.367,231.646,232.627
1782187200000,232.627,232.766,231.627,231.888
1782190800000,231.888,232.104,231.201,231.855
1782194400000,231.855,232.284,230.35,230.426
1782198000000,230.426,231.16,229.92,229.976
1782201600000,229.976,231.719,229.573,230.776
1782205200000,230.776,230.983,230.052,230.78
1782208800000,230.78,231.391,230.517,231.235
1782212400000,231.235,231.876,230.566,231.272
1782216000000,231.272,231.449,230.445,231.283
1782219600000,231.283,235.51,231.277,234.392
1782223200000,234.392,237.072,234.392,235.616
1782226800000,235.616,235.706,233.41,234.798
1782230400000,234.798,235.288,234.449,234.98
1782234000000,234.98,235.07,234.099,235.027
1782237600000,235.027,236.062,234.315,234.52
1782241200000,234.52,235.724,234.316,234.316
1782244800000,234.316,234.845,234.24,234.33
1782248400000,234.33,234.408,233.862,234.156
1782252000000,234.156,234.156,232.878,233.396
1782255600000,233.396,234.057,233.07,233.732
1782259200000,233.732,234.34,233.352,233.366
1782262800000,233.366,233.401,232.984,233.257
1782266400000,233.257,233.552,232.939,232.956
1782270000000,232.956,233.625,232.856,233.576
1782273600000,233.576,233.973,233.393,233.913
1782277200000,233.913,234.628,233.826,234.466
1782280800000,234.466,234.478,233.917,233.956
1782284400000,233.956,234.106,233.399,233.417
1782288000000,233.417,233.79,233.027,233.546
1782291600000,233.546,233.91,233.342,233.682
1782295200000,233.682,233.989,233.405,233.52
1782298800000,233.52,234.072,233.399,234.015
1782302400000,234.015,234.067,233.144,233.535
1782306000000,233.535,238.638,232.853,237.181
1782309600000,237.181,241.085,236.725,241.085
1782313200000,241.085,242.425,240.852,241.935
1782316800000,241.935,242.07,239.713,239.824
1782320400000,239.824,240.195,238.265,238.403
1782324000000,238.403,238.845,236.725,237.044
1782327600000,237.044,237.271,234.071,234.525
1782331200000,234.525,235.353,233.707,235.167
1782334800000,235.167,235.241,234.212,234.673
1782338400000,234.673,234.908,233.682,233.717
1782342000000,233.717,233.8,233.215,233.256
1782345600000,233.256,233.883,233.074,233.474
1782349200000,233.474,233.997,233.458,233.807
1782352800000,233.807,233.888,233.481,233.766
1782356400000,233.766,233.937,233.741,233.9
1782360000000,233.9,233.964,233.599,233.657
1782363600000,233.657,233.794,233.175,233.574
1782367200000,233.574,234.022,233.434,233.434
1782370800000,233.434,234.001,233.431,233.965
1782374400000,233.965,234.608,233.566,233.787
1782378000000,233.787,234.066,233.669,233.845
1782381600000,233.845,234.182,233.513,233.565
1782385200000,233.565,233.703,232.798,233.162
1782388800000,233.162,233.553,232.88,233.069
1782392400000,233.069,233.338,226.264,227.681
1782396000000,227.681,229.742,227.356,228.66
1782399600000,228.66,230.892,228.486,230.381
1782403200000,230.381,230.381,227.354,228.398
1782406800000,228.398,228.81,227.889,228.77
1782410400000,228.77,230.508,228.106,229.042
1782414000000,229.042,229.157,225.713,227.148
1782417600000,227.148,227.73,226.657,226.999
1782421200000,226.999,227.491,226.922,227.057
1782424800000,227.057,227.17,226.776,227.163
1782428400000,227.163,228.598,226.756,226.91
1782432000000,226.91,227.621,226.691,227.504
1782435600000,227.504,227.907,226.663,226.749
1782439200000,226.749,227.593,225.52,225.776
1782442800000,225.776,226.552,225.278,226.533
1782446400000,226.533,227.001,225.848,226.075
1782450000000,226.075,226.473,225.58,226.14
1782453600000,226.14,227.643,226.1,227.642
1782457200000,227.642,228.199,227.351,228.199
1782460800000,228.199,228.351,227.652,227.839
1782464400000,227.839,227.997,227.39,227.67
1782468000000,227.67,227.806,227.377,227.457
1782471600000,227.457,227.525,226.673,227.525
1782475200000,227.525,228.076,227.518,227.564
1782478800000,227.564,229.116,226.309,227.872
1782482400000,227.872,231.803,227.757,230.67
1782486000000,230.67,232.687,230.283,232.351
1782489600000,232.351,232.675,231.12,231.91
1782493200000,231.91,232.098,230.143,230.925
1782496800000,230.925,231.247,228.92,229.022
1782500400000,228.48,232.92,227.87,231.51
1782504000000,231.51,233.02,231.2,231.69
1782507600000,231.69,232.42,231.53,231.97
1782511200000,231.97,232.4,231.92,232.16
1782514800000,232.16,232.21,231.89,231.95
1782518400000,231.95,231.95,231.94,231.94
1782522000000,231.94,231.94,231.94,231.94
1782525600000,231.94,231.94,231.94,231.94
1782529200000,231.94,231.94,231.94,231.94
1782532800000,231.94,231.94,231.94,231.94
1782536400000,231.94,231.94,231.94,231.94
1782540000000,231.94,231.94,231.94,231.94
1782543600000,231.94,231.94,231.94,231.94
1782547200000,231.94,231.94,231.94,231.94
1782550800000,231.94,231.94,231.94,231.94
1782554400000,231.94,231.94,231.94,231.94
1782558000000,231.94,231.94,231.94,231.94
1782561600000,231.94,231.94,231.94,231.94
1782565200000,231.94,231.94,231.94,231.94
1782568800000,231.94,231.94,231.94,231.94
1782572400000,231.94,231.94,231.94,231.94
1782576000000,231.94,231.94,231.94,231.94
1782579600000,231.94,231.94,231.94,231.94
1782583200000,231.94,231.94,231.94,231.94
1782586800000,231.94,231.94,231.94,231.94
1782590400000,231.94,231.94,231.94,231.94
1782594000000,231.94,231.94,231.94,231.94
1782597600000,231.94,231.94,231.94,231.94
1782601200000,231.94,231.94,231.94,231.94
1782604800000,231.94,231.94,231.94,231.94
1782608400000,231.94,231.94,231.94,231.94
1782612000000,231.94,231.94,231.94,231.94
1782615600000,231.94,231.94,231.94,231.94
1782619200000,231.94,231.94,231.94,231.94
1782622800000,231.94,231.94,231.94,231.94
1782626400000,231.94,231.94,231.94,231.94
1782630000000,231.94,231.94,231.94,231.94
1782633600000,231.94,231.94,231.94,231.94
1782637200000,231.94,231.94,231.94,231.94
1782640800000,231.94,231.94,231.94,231.94
1782644400000,231.94,231.94,231.94,231.94
1782648000000,231.94,231.94,231.94,231.94
1782651600000,231.94,231.94,231.94,231.94
1782655200000,231.94,231.94,231.94,231.94
1782658800000,231.94,231.94,231.94,231.94
1782662400000,231.94,231.94,231.94,231.94
1782666000000,231.94,231.94,231.94,231.94
1782669600000,231.94,231.94,231.94,231.94
1782673200000,231.94,231.94,231.94,231.94
1782676800000,231.94,231.94,231.94,231.94
1782680400000,231.94,231.94,231.94,231.94
1782684000000,231.94,231.94,231.94,231.94
1782687600000,231.94,231.94,231.94,231.94
1782691200000,231.94,234.13,231.94,233.72
1782694800000,233.72,235.19,233.55,234.46
1782698400000,234.46,234.79,233.59,234.65
1782702000000,234.65,235.49,234.27,235.34
1782705600000,235.34,235.47,234.7,235.01
1782709200000,235.01,235.43,234.56,234.65
