t,o,h,l,c
1781499600000,274.32,275.58,274.27,274.97
1781503200000,274.97,275.82,274.48,275.73
1781506800000,275.73,275.78,275.02,275.38
1781510400000,275.38,275.38,273.72,275.24
1781514000000,275.24,276.04,274.12,274.39
1781517600000,274.39,274.7,273.84,273.92
1781521200000,273.92,277.43,273.4,275.41
1781524800000,275.41,275.41,273.59,274.5
1781528400000,274.5,277.35,269.55,270.69
1781532000000,270.69,274.72,270.47,270.96
1781535600000,270.96,274.52,270.74,274.36
1781539200000,274.36,277.53,273.71,273.76
1781542800000,273.76,277.06,272.77,276.36
1781546400000,276.36,279.2,274.99,278.58
1781550000000,278.58,280.43,272.81,274.61
1781553600000,274.61,276.5,274.49,274.87
1781557200000,274.87,276.2,274.87,275.95
1781560800000,275.95,275.95,274.78,275.6
1781564400000,275.6,275.8,274.6,275.65
1781568000000,275.65,276.35,271.4,271.85
1781571600000,271.85,273.49,271.05,273.02
1781575200000,273.02,274.28,272.91,273.94
1781578800000,273.94,275.45,273.59,274.83
1781582400000,274.83,275.43,274.47,274.61
1781586000000,274.61,274.85,274.5,274.52
1781589600000,274.52,275.76,274.52,275.48
1781593200000,275.48,275.82,275.06,275.33
1781596800000,275.33,277.65,273.95,277.07
1781600400000,277.07,277.11,275.1,275.47
1781604000000,275.47,276.75,275.43,276.64
1781607600000,276.64,276.95,275.62,276.22
1781611200000,276.22,276.22,272.2,273.14
1781614800000,273.14,294.32,271.24,292
1781618400000,292,296.62,284.57,289.79
1781622000000,289.79,297.84,285.47,291.24
1781625600000,291.24,294.11,287.85,290.4
1781629200000,290.4,290.43,287.56,289.23
1781632800000,289.23,290.83,285.41,286.3
1781636400000,286.3,287.67,281.24,281.27
1781640000000,281.27,281.82,280.57,281.82
1781643600000,281.82,281.97,281.24,281.84
1781647200000,281.84,283.8,281.74,283.13
1781650800000,283.13,283.45,282.21,282.25
1781654400000,282.25,284.89,273.02,284.37
1781658000000,284.37,286.22,284.25,285.8
1781661600000,285.8,286.23,284.52,285.03
1781665200000,285.03,286.12,284.32,285.95
1781668800000,285.95,286.56,285.78,285.87
1781672400000,285.87,287.6,285.87,287.34
1781676000000,287.34,288.09,286.56,287.8
1781679600000,287.8,289.06,287.38,288.66
1781683200000,288.66,288.94,286,286
1781686800000,286,287.2,285.31,287.18
1781690400000,287.18,287.5,285.89,287.4
1781694000000,287.4,287.4,283.97,284.1
1781697600000,284.1,286.5,284.09,285.79
1781701200000,285.79,291.51,281.08,288.76
1781704800000,288.76,294.52,288.33,291.31
1781708400000,291.31,292.17,283.4,289.32
1781712000000,289.32,292.76,289.06,290.27
1781715600000,290.27,291.74,287.92,290.62
1781719200000,290.62,295.68,282.72,292.25
1781722800000,292.25,294.7,283.59,285.02
1781726400000,285.02,287.99,284.14,287.58
1781730000000,287.58,288.3,286.61,287.5
1781733600000,287.5,290.62,287.12,290.44
1781737200000,290.44,290.62,289.89,290.5
1781740800000,290.5,293.5,289.43,290.64
1781744400000,290.64,292.15,290.53,291.42
1781748000000,291.42,295.75,291.37,295.08
1781751600000,295.08,296.17,294.4,295.38
1781755200000,295.38,295.48,292.38,292.71
1781758800000,292.71,294.03,292.56,293.64
1781762400000,293.64,294.16,293.41,294.16
1781766000000,294.16,295.36,294.03,294.69
1781769600000,294.69,297.65,294.12,295.25
1781773200000,295.25,298.6,295.24,298.59
1781776800000,298.59,298.6,296.66,296.66
1781780400000,296.66,297.06,293.49,294.6
1781784000000,294.6,299.69,294.3,298.65
1781787600000,298.65,305.82,297.13,301.77
1781791200000,301.77,313.78,300.89,312.2
1781794800000,312.2,313.48,309.19,311.21
1781798400000,311.21,312.14,308.66,309
1781802000000,309,312.87,309,309.5
1781805600000,309.5,320.33,309,318.45
1781809200000,318.45,329.45,316.52,328.59
1781812800000,328.59,329.67,326.79,327.49
1781816400000,327.49,329.93,327.09,329.43
1781820000000,329.43,329.96,329.07,329.52
1781823600000,329.52,329.75,328.98,329.22
1781827200000,329.22,329.22,329.22,329.22
1781830800000,329.22,329.22,329.22,329.22
1781834400000,329.22,329.22,329.22,329.22
1781838000000,329.22,329.22,329.22,329.22
1781841600000,329.22,329.22,329.22,329.22
1781845200000,329.22,329.22,329.22,329.22
1781848800000,329.22,329.22,329.22,329.22
1781852400000,329.22,329.22,329.22,329.22
1781856000000,329.22,329.22,329.22,329.22
1781859600000,329.22,329.22,329.22,329.22
1781863200000,329.22,329.22,329.22,329.22
1781866800000,329.22,329.22,329.22,329.22
1781870400000,329.22,329.22,329.22,329.22
1781874000000,329.22,329.22,329.22,329.22
1781877600000,329.22,329.22,329.22,329.22
1781881200000,329.22,329.22,329.22,329.22
