t,o,h,l,c
1788526800000,12.47,12.644,12.429,12.535
1788530400000,12.535,12.714,12.494,12.615
1788534000000,12.615,12.665,12.544,12.584
1788537600000,12.584,12.695,12.559,12.692
1788541200000,12.692,12.698,12.587,12.588
1788544800000,12.588,12.646,12.49,12.528
1788548400000,12.528,12.752,12.527,12.676
1788552000000,12.676,12.677,12.624,12.649
1788555600000,12.649,12.674,12.622,12.652
1788559200000,12.652,12.653,12.621,12.641
1788562800000,12.641,12.654,12.621,12.642
1788566400000,12.642,12.643,12.642,12.642
1788570000000,12.642,12.643,12.642,12.642
1788573600000,12.642,12.642,12.642,12.642
1788577200000,12.642,12.646,12.615,12.615
1788580800000,12.615,12.616,12.615,12.616
1788584400000,12.616,12.626,12.615,12.616
1788588000000,12.616,12.616,12.616,12.616
1788591600000,12.616,12.652,12.616,12.651
1788595200000,12.651,12.672,12.646,12.67
1788598800000,12.67,12.672,12.645,12.653
1788602400000,12.653,12.672,12.645,12.664
1788606000000,12.664,12.677,12.649,12.675
1788609600000,12.675,12.684,12.663,12.677
1788613200000,12.677,12.681,12.653,12.67
1788616800000,12.67,12.683,12.65,12.65
1788620400000,12.65,12.677,12.65,12.676
1788624000000,12.676,12.679,12.642,12.667
1788627600000,12.667,12.671,12.645,12.645
1788631200000,12.645,12.667,12.645,12.652
1788634800000,12.652,12.675,12.651,12.663
1788638400000,12.663,12.663,12.662,12.663
1788642000000,12.663,12.663,12.598,12.61
1788645600000,12.61,12.627,12.6,12.6
1788649200000,12.6,12.632,12.6,12.617
1788652800000,12.617,12.63,12.607,12.626
1788656400000,12.626,12.63,12.611,12.622
1788660000000,12.622,12.625,12.588,12.625
1788663600000,12.625,12.628,12.581,12.581
1788667200000,12.581,12.581,12.58,12.581
1788670800000,12.581,12.581,12.58,12.581
1788674400000,12.581,12.602,12.581,12.601
1788678000000,12.601,12.601,12.577,12.578
1788681600000,12.578,12.579,12.578,12.579
1788685200000,12.579,12.605,12.578,12.604
1788688800000,12.604,12.605,12.588,12.589
1788692400000,12.589,12.6,12.587,12.599
1788696000000,12.599,12.6,12.568,12.568
