t,o,h,l,c
1781848800000,163.472,164.451,163.453,163.753
1781852400000,163.753,163.795,162.477,162.759
1781856000000,162.759,163.346,162.581,163.011
1781859600000,163.011,163.089,162.332,162.427
1781863200000,162.427,162.699,162.208,162.673
1781866800000,162.673,163.178,162.455,162.989
1781870400000,162.989,163.779,162.473,163.779
1781874000000,163.779,164.856,163.559,164.733
1781877600000,164.733,165.391,164.245,165.042
1781881200000,165.042,165.315,164.745,165.196
1781884800000,165.196,165.594,164.669,164.681
1781888400000,164.681,165.058,164.487,164.959
1781892000000,164.959,164.963,164.468,164.553
1781895600000,164.553,164.584,164.209,164.28
1781899200000,164.28,164.943,164.28,164.941
1781902800000,164.941,164.972,164.504,164.504
1781906400000,164.504,165.223,164.497,165.12
1781910000000,165.12,165.872,165.042,165.872
1781913600000,165.872,166.282,165.779,165.854
1781917200000,165.854,165.891,165.465,165.69
1781920800000,165.69,165.69,165.43,165.437
1781924400000,165.437,165.892,165.366,165.892
1781928000000,165.892,166.241,165.765,166.038
1781931600000,166.038,166.5,165.982,166.197
1781935200000,166.197,166.262,165.908,166.118
1781938800000,166.118,166.118,165.679,165.844
1781942400000,165.844,165.894,165.431,165.478
1781946000000,165.478,166.182,165.478,166.18
1781949600000,166.18,166.181,165.729,165.762
1781953200000,165.762,166.252,165.762,166.208
1781956800000,166.208,166.557,165.861,166.095
1781960400000,166.095,166.189,164.794,165.258
1781964000000,165.258,166.21,164.189,166.083
1781967600000,166.083,166.921,165.958,166.421
1781971200000,166.421,166.423,165.961,166.149
1781974800000,166.149,166.149,165.561,165.835
1781978400000,165.835,165.996,165.731,165.77
1781982000000,165.77,165.981,165.704,165.964
1781985600000,165.964,166.155,165.58,166.155
1781989200000,166.155,166.599,166.059,166.566
1781992800000,166.566,167.055,166.525,166.975
1781996400000,166.975,167.09,166.886,166.964
1782000000000,166.964,167.127,166.802,167.012
1782003600000,167.012,167.096,166.594,166.877
1782007200000,166.877,166.967,166.75,166.965
1782010800000,166.965,167.554,166.93,167.554
1782014400000,167.554,167.738,167.273,167.273
1782018000000,167.273,167.558,167.125,167.22
1782021600000,167.22,167.523,167.115,167.511
1782025200000,167.511,167.511,166.822,166.926
1782028800000,166.926,166.977,165.961,166.223
1782032400000,166.223,166.752,165.977,166.613
1782036000000,166.613,166.892,166.607,166.675
1782039600000,166.675,166.852,166.117,166.146
1782043200000,166.146,166.632,165.851,166.632
1782046800000,166.632,166.637,165.905,166.288
1782050400000,166.288,166.371,165.972,166.155
1782054000000,166.155,166.526,166.1,166.193
1782057600000,166.193,166.312,165.949,166.117
1782061200000,166.117,166.215,165.89,166.086
1782064800000,166.086,166.253,165.709,166.148
