t,o,h,l,c
1781499600000,81.802,82.095,81.66,82.004
1781503200000,82.004,82.546,81.962,82.5
1781506800000,82.5,82.775,82.199,82.341
1781510400000,82.341,82.92,82.28,82.531
1781514000000,82.531,82.658,81.676,81.853
1781517600000,81.853,81.971,81.3,81.839
1781521200000,81.839,82.25,81.352,81.77
1781524800000,81.77,82.304,81.367,82.193
1781528400000,82.193,87.02,82.139,86.942
1781532000000,86.942,87.291,84.386,85.735
1781535600000,85.735,86.515,85.162,86.077
1781539200000,86.077,86.373,84.843,84.862
1781542800000,84.862,85.118,84.35,84.7
1781546400000,84.7,85.02,83.232,83.238
1781550000000,83.238,83.879,83.003,83.493
1781553600000,83.493,84.278,83.463,84.099
1781557200000,84.099,84.116,83.678,83.712
1781560800000,83.712,83.803,83.261,83.511
1781564400000,83.511,83.901,83.281,83.888
1781568000000,83.888,83.969,82.99,83.032
1781571600000,83.032,83.416,82.699,83.267
1781575200000,83.267,83.371,82.595,82.895
1781578800000,82.895,83.888,82.862,83.785
1781582400000,83.785,83.955,83.315,83.444
1781586000000,83.444,83.853,83.444,83.601
1781589600000,83.601,84.189,83.601,84.039
1781593200000,84.039,84.171,83.897,84.105
1781596800000,84.105,85.001,84.08,84.969
1781600400000,84.969,84.986,84.251,84.319
1781604000000,84.319,84.658,84.285,84.347
1781607600000,84.347,84.926,83.992,84.181
1781611200000,84.181,84.603,83.836,83.851
1781614800000,83.851,83.949,81.295,81.484
1781618400000,81.484,81.636,78.798,79.817
1781622000000,79.817,81.463,79.813,81.15
1781625600000,81.15,81.686,81.081,81.472
1781629200000,81.472,81.705,80.868,81.477
1781632800000,81.477,81.882,81.076,81.107
1781636400000,81.107,81.18,79.461,79.783
1781640000000,79.783,79.866,79.48,79.819
1781643600000,79.819,80.13,79.75,79.993
1781647200000,79.993,80.398,79.933,80.373
1781650800000,80.373,80.435,80.075,80.224
1781654400000,80.224,81.021,80.078,80.751
1781658000000,80.751,80.988,80.362,80.952
1781661600000,80.952,81.003,80.609,80.735
1781665200000,80.735,80.957,80.584,80.875
