t,o,h,l,c
1781499600000,106.68,106.77,106.24,106.4
1781503200000,106.4,106.75,106.36,106.59
1781506800000,106.59,106.78,106.31,106.49
1781510400000,106.49,107.63,106.23,106.94
1781514000000,106.94,107.39,106.68,107.22
1781517600000,107.22,107.3,106.61,106.67
1781521200000,106.67,106.78,106.02,106.24
1781524800000,106.24,106.26,105.49,105.67
1781528400000,105.67,107.98,103.82,106.21
1781532000000,106.21,107.52,105.7,107.27
1781535600000,107.27,108.55,106.63,107.72
1781539200000,107.72,108.62,107.72,108.08
1781542800000,108.08,108.86,107.8,107.8
1781546400000,107.8,108.48,107.74,107.8
1781550000000,107.8,108.19,106.42,106.83
1781553600000,106.83,107.2,106.34,106.94
1781557200000,106.94,107.42,106.9,107.33
1781560800000,107.33,107.4,106.67,107.1
1781564400000,107.1,107.93,107.09,107.86
1781568000000,107.86,107.86,106.27,106.29
1781571600000,106.29,106.52,105.5,106.51
1781575200000,106.51,106.53,106.06,106.36
1781578800000,106.36,107.32,106.19,107.24
1781582400000,107.24,107.37,106.85,107.05
1781586000000,107.05,107.2,106.66,106.8
1781589600000,106.8,107.29,106.78,107.23
1781593200000,107.23,107.48,106.97,107.3
1781596800000,107.3,107.98,107.09,107.39
1781600400000,107.39,107.4,106.94,107.08
1781604000000,107.08,109,107.08,108.71
1781607600000,108.71,109.94,108.57,108.96
1781611200000,108.96,109.47,107.71,108.29
1781614800000,108.29,117.84,107.1,117.12
1781618400000,117.12,118.23,113.52,115.29
1781622000000,115.29,117.09,114.16,115.99
1781625600000,115.99,119.03,115.96,117.41
1781629200000,117.41,119,116.86,118.8
1781632800000,118.8,119.55,117.66,117.86
1781636400000,117.86,118.17,116.32,117.16
1781640000000,117.16,117.16,116.07,116.87
1781643600000,116.87,117.06,116.68,116.94
1781647200000,116.94,118.05,116.89,117.54
1781650800000,117.54,117.69,117.17,117.39
1781654400000,117.39,118.25,117.17,118.1
1781658000000,118.1,118.62,117.94,118.05
1781661600000,118.05,118.99,117.78,118.96
1781665200000,118.96,119.47,118.67,119.38
1781668800000,119.38,119.42,118.68,118.88
1781672400000,118.88,119.2,118.69,118.92
1781676000000,118.92,119.63,118.75,119.57
1781679600000,119.57,120.33,119.47,120.33
1781683200000,120.33,120.33,117.06,117.6
1781686800000,117.6,118.18,117.6,117.82
1781690400000,117.82,118.95,117.57,118.49
1781694000000,118.49,118.52,116.42,116.59
1781697600000,116.59,117.73,116.39,117.16
1781701200000,117.16,121.99,116.33,117.62
1781704800000,117.62,120.9,117.62,120.17
1781708400000,120.17,120.27,118.56,119.6
1781712000000,119.6,120.09,119.26,120
1781715600000,120,120.66,119.76,120.31
1781719200000,120.31,121.99,117.66,120.45
1781722800000,120.45,121.13,115,115.33
1781726400000,115.33,118.19,114.83,117.28
1781730000000,117.28,117.59,116.34,116.52
1781733600000,116.52,117.75,116.38,117.6
1781737200000,117.6,119.16,117.55,118.98
1781740800000,118.98,120.16,117.71,118.36
