t,o,h,l,c
1781499600000,367.55,367.55,366.11,366.61
1781503200000,366.61,366.66,365.95,366.02
1781506800000,366.02,366.58,365.69,365.75
1781510400000,365.75,366.21,365.1,365.13
1781514000000,365.13,365.46,364.64,365.4
1781517600000,365.4,366.04,365.34,365.91
1781521200000,365.91,366.97,365.87,365.88
1781524800000,365.88,366.75,365.78,366.01
1781528400000,366.01,372.3,365.76,369.42
1781532000000,369.42,371.85,367.74,370.75
1781535600000,370.75,372.99,370.39,372.72
1781539200000,372.72,373.24,370.97,371.58
1781542800000,371.58,372.4,371.25,372.02
1781546400000,372.02,372.38,371.26,371.68
1781550000000,371.68,371.88,368.03,369.61
1781553600000,369.61,369.97,368.95,369.87
1781557200000,369.87,370.33,369.75,370.32
1781560800000,370.32,370.49,369.24,369.51
1781564400000,369.51,369.58,369.29,369.45
1781568000000,369.45,370.05,368.77,369.83
1781571600000,369.83,370.23,369.24,370.22
1781575200000,370.22,370.3,369.76,370.01
1781578800000,370.01,370.91,369.86,370.69
1781582400000,370.69,370.81,369.7,369.74
1781586000000,369.74,370.11,369.12,369.25
1781589600000,369.25,369.78,369.24,369.63
1781593200000,369.63,369.69,369.3,369.56
1781596800000,369.56,370.14,368.02,369.21
1781600400000,369.21,369.69,369.05,369.23
1781604000000,369.23,369.84,369.16,369.77
1781607600000,369.77,369.96,369.01,369.54
1781611200000,369.54,369.61,368.92,368.92
1781614800000,368.92,371.53,367.5,368.37
1781618400000,368.37,374.39,368.37,374.35
1781622000000,374.35,375.93,373.06,373.11
1781625600000,373.11,373.21,369.74,370.19
1781629200000,370.19,371.94,369.96,371.24
1781632800000,371.24,374.09,370.99,373.83
1781636400000,373.83,374.01,372.03,373.45
1781640000000,373.45,373.85,371.78,371.99
1781643600000,371.99,372.28,371.43,372.12
1781647200000,372.12,372.13,371.28,371.58
1781650800000,371.58,372.1,371.48,371.76
1781654400000,371.76,372.58,371.67,372.58
1781658000000,372.58,373.42,372.5,373.24
1781661600000,373.24,373.58,373.07,373.27
1781665200000,373.27,373.46,372.75,373.19
1781668800000,373.19,373.59,373.12,373.57
1781672400000,373.57,373.59,372.91,373.18
1781676000000,373.18,373.72,373.03,373.36
1781679600000,373.36,373.55,372.99,373.14
1781683200000,373.14,373.36,371.46,372.2
1781686800000,372.2,372.26,370.91,371.11
1781690400000,371.11,371.68,370.5,371.44
1781694000000,371.44,371.93,371.07,371.2
1781697600000,371.2,371.8,371.12,371.71
1781701200000,371.71,372.61,366.18,366.39
1781704800000,366.39,367.98,363.01,364.1
1781708400000,364.1,365.41,362.84,365.22
1781712000000,365.22,366.36,364.5,365.71
1781715600000,365.71,366.68,364.22,366.59
1781719200000,366.59,366.78,364.21,364.65
1781722800000,364.65,365.23,362.35,364.03
1781726400000,364.03,364.93,363.76,364.5
1781730000000,364.5,364.66,363.47,364.41
1781733600000,364.41,365.59,363.92,365.44
1781737200000,365.44,366.06,365.44,365.95
1781740800000,365.95,367.12,365.6,366.64
1781744400000,366.64,367.38,366.33,366.38
1781748000000,366.38,366.8,366.25,366.35
1781751600000,366.35,366.51,365.54,365.83
1781755200000,365.83,365.91,364.39,364.98
1781758800000,364.98,365.08,364.07,364.12
1781762400000,364.12,364.73,363.69,364.7
1781766000000,364.7,364.93,364.12,364.83
1781769600000,364.83,365.27,364.24,364.24
1781773200000,364.24,364.88,364.16,364.74
1781776800000,364.74,364.85,363.89,364.01
1781780400000,364.01,364.29,362.39,362.78
1781784000000,362.78,364.79,362.71,364.52
1781787600000,364.52,367.71,358.97,360.79
1781791200000,360.79,364.4,360.74,363.5
1781794800000,363.5,367.45,363.16,366.18
1781798400000,366.18,367.42,365.01,366.64
1781802000000,366.64,368.66,366.47,368.33
1781805600000,368.33,368.92,367.36,368.58
1781809200000,368.58,369.63,366.75,368.19
1781812800000,368.19,368.35,367.27,367.68
1781816400000,367.68,367.97,367.66,367.76
1781820000000,367.76,367.76,365.54,365.74
1781823600000,365.74,367.31,365.68,366.44
1781827200000,366.44,366.89,366.17,366.89
1781830800000,366.89,367.19,366.34,366.37
1781834400000,366.37,366.98,366.14,366.89
1781838000000,366.89,366.9,366.03,366.07
1781841600000,366.07,366.23,364.88,365.01
1781845200000,365.01,365.23,364.33,364.75
1781848800000,364.75,365.17,364.73,365.17
1781852400000,365.17,366.62,364.8,366.62
1781856000000,366.62,367.66,366.56,367.41
1781859600000,367.41,367.76,366.89,367.75
1781863200000,367.75,368.31,366.77,366.77
1781866800000,366.77,367.62,366.63,367.62
1781870400000,367.62,368.06,366.71,367.3
1781874000000,367.3,367.92,367.2,367.71
1781877600000,367.71,367.71,366.56,366.56
1781881200000,366.56,366.6,365.59,366.06
1781884800000,366.06,366.24,365.79,365.97
1781888400000,365.97,366,365.32,365.61
1781892000000,365.61,366.55,365.61,366.35
1781895600000,366.35,366.41,365.85,366.37
1781899200000,366.37,366.67,366.36,366.41
1781902800000,366.41,366.7,366.32,366.38
1781906400000,366.38,366.38,365.75,365.93
1781910000000,365.93,367.4,365.88,367.31
1781913600000,367.31,367.37,366.69,366.71
1781917200000,366.71,367.03,366.27,366.82
1781920800000,366.82,367.35,366.66,366.92
1781924400000,366.92,367.29,366.59,367.2
1781928000000,367.2,367.72,367.2,367.56
1781931600000,367.56,367.75,367.28,367.28
1781935200000,367.28,367.49,367.17,367.49
1781938800000,367.49,367.49,366.27,366.28
1781942400000,366.28,366.72,365.73,365.91
1781946000000,365.91,366.61,365.66,366.61
1781949600000,366.61,366.65,366.27,366.42
1781953200000,366.42,366.78,366.38,366.5
1781956800000,366.5,366.54,366.18,366.42
1781960400000,366.42,366.55,364.75,364.85
1781964000000,364.85,365.69,364.52,365.66
1781967600000,365.66,366.49,365.57,365.93
1781971200000,365.93,365.97,365.48,365.5
1781974800000,365.5,365.5,364.88,365.38
1781978400000,365.38,365.46,364.89,365.45
1781982000000,365.45,365.54,365.25,365.25
1781985600000,365.25,365.25,364.79,364.79
1781989200000,364.79,365.23,364.78,365.15
1781992800000,365.15,365.32,364.94,365.31
1781996400000,365.31,365.39,364.62,364.89
1782000000000,364.89,364.97,364.47,364.86
1782003600000,364.86,364.89,364.55,364.57
1782007200000,364.57,364.79,364.33,364.38
1782010800000,364.38,365.46,364.35,365.35
1782014400000,365.35,365.67,364.73,364.81
1782018000000,364.81,364.93,364.67,364.71
1782021600000,364.71,364.99,364.44,364.86
1782025200000,364.86,365.01,364.69,364.7
1782028800000,364.7,364.76,364.43,364.73
1782032400000,364.73,364.76,364.48,364.76
1782036000000,364.76,364.78,364.59,364.67
1782039600000,364.67,364.9,364.59,364.6
1782043200000,364.6,364.89,364.56,364.89
1782046800000,364.89,364.91,364.55,364.57
1782050400000,364.57,364.78,364.55,364.7
1782054000000,364.7,364.71,364.2,364.22
1782057600000,364.22,364.24,363.96,364.24
1782061200000,364.24,364.62,364.24,364.48
1782064800000,364.48,364.65,364.31,364.64
1782068400000,364.64,364.74,364.24,364.27
1782072000000,364.27,364.32,363.93,364.19
1782075600000,364.19,364.67,363.84,364.62
1782079200000,364.62,364.7,362.94,364.35
1782082800000,364.35,364.37,361.44,361.44
1782086400000,361.44,364.41,361.44,362.46
1782090000000,362.46,363.51,362.46,362.65
1782093600000,362.65,363,362.34,362.37
1782097200000,362.37,362.39,361.59,361.75
1782100800000,361.75,361.94,361.3,361.8
1782104400000,361.8,363.48,361.8,363.34
1782108000000,363.34,364.21,363.33,364.02
1782111600000,364.02,364.57,364.02,364.03
1782115200000,364.03,364.74,362.07,362.86
1782118800000,362.86,363.16,362.38,362.45
1782122400000,362.45,362.91,361.42,362.09
1782126000000,362.09,362.62,361.25,361.56
1782129600000,361.56,361.97,359.65,360.23
1782133200000,360.23,360.39,353.74,354.48
1782136800000,354.48,354.56,344.95,345.66
1782140400000,345.66,347.88,342.1,346.39
1782144000000,346.39,347.24,345.18,346.9
1782147600000,346.9,348.16,346.07,347.64
1782151200000,347.64,348.97,347.55,347.79
1782154800000,347.79,350.37,347.75,350.12
1782158400000,350.12,350.31,347.45,347.59
1782162000000,347.59,349.39,347.44,349.18
1782165600000,349.18,349.42,347.77,347.87
1782169200000,347.87,347.87,346.14,346.39
1782172800000,346.39,347.53,346.14,347.2
1782176400000,347.2,347.37,345.58,345.75
1782180000000,345.75,346.08,345.33,345.62
1782183600000,345.62,346.11,344.94,345.58
1782187200000,345.58,345.69,344.46,344.59
1782190800000,344.59,344.97,342.81,343.75
1782194400000,343.75,344.06,341.16,341.24
1782198000000,341.24,342.29,340.81,341
1782201600000,341,341.75,338.24,340.69
1782205200000,340.69,342.67,340.6,342.31
1782208800000,342.31,343.54,341.08,342.53
1782212400000,342.53,344.15,342.09,343.53
