t,o,h,l,c
1781499600000,128.541,129.373,128.437,129.356
1781503200000,129.356,130.079,129.177,129.976
1781506800000,129.976,130.044,129.377,129.597
1781510400000,129.597,129.625,128.478,128.804
1781514000000,128.804,129.199,127.79,128.136
1781517600000,128.136,128.308,127.795,128.197
1781521200000,128.197,129.919,128.195,129.835
1781524800000,129.835,130.018,127.648,128.673
1781528400000,128.673,132.524,127.676,129.852
1781532000000,129.852,130.883,127.189,128.281
1781535600000,128.281,129.874,128.045,128.334
1781539200000,128.334,128.619,127.581,127.759
1781542800000,127.759,128.451,126.787,128.254
1781546400000,128.254,128.327,127.546,127.656
1781550000000,127.656,128.718,127.317,127.864
1781553600000,127.864,128.147,125.939,125.962
1781557200000,125.962,126.172,125.36,125.887
1781560800000,125.887,126.021,125.301,125.941
1781564400000,125.941,126.035,125.504,126.003
1781568000000,126.003,126.805,123.962,124.044
1781571600000,124.044,125.223,124.001,124.427
1781575200000,124.427,125.653,124.348,125.158
1781578800000,125.158,126.282,124.969,126.086
1781582400000,126.086,126.13,125.337,125.639
1781586000000,125.639,126.312,125.639,126.092
1781589600000,126.092,126.711,125.885,126.005
1781593200000,126.005,126.587,125.966,126.255
1781596800000,126.255,127.851,125.883,127.547
1781600400000,127.547,127.547,126.746,126.805
1781604000000,126.805,127.354,126.698,127.106
1781607600000,127.106,127.621,126.499,126.512
1781611200000,126.512,126.517,124.817,125.162
1781614800000,125.162,128.689,124.774,126.649
1781618400000,126.649,126.99,119.574,120.059
1781622000000,120.059,121.506,118.167,119.765
1781625600000,119.765,121.138,119.73,120.188
1781629200000,120.188,121.105,119.416,120.614
1781632800000,120.614,120.772,118.909,119.359
1781636400000,119.359,120.229,117.004,117.051
1781640000000,117.051,117.618,116.787,117.206
1781643600000,117.206,119.449,117.161,118.518
1781647200000,118.518,119.621,118.468,119.184
1781650800000,119.184,119.234,118.129,118.436
1781654400000,118.436,119.665,118.377,119.262
1781658000000,119.262,119.681,119.065,119.506
1781661600000,119.506,119.552,118.982,119.139
1781665200000,119.139,119.304,118.581,118.855
1781668800000,118.855,119.368,118.791,119.312
1781672400000,119.312,120.192,119.279,119.734
1781676000000,119.734,120.77,119.621,120.72
1781679600000,120.72,121.81,120.71,121.452
1781683200000,121.452,123.414,121.273,122.214
1781686800000,122.214,122.722,121.165,121.268
1781690400000,121.268,122.145,120.866,121.167
1781694000000,121.167,121.513,119.862,120.255
1781697600000,120.255,121.774,120.21,121.162
1781701200000,121.162,122.433,118.129,118.198
1781704800000,118.198,121.955,118.144,120.644
1781708400000,120.644,121.983,120.376,121.282
1781712000000,121.282,122.682,120.926,121.898
1781715600000,121.898,122.543,121.681,122.521
1781719200000,122.521,125.269,120.268,123.317
1781722800000,123.317,124.153,120.056,121.226
1781726400000,121.226,122.456,121.144,121.954
1781730000000,121.954,122.214,121.364,121.6
1781733600000,121.6,124.56,121.085,123.999
1781737200000,123.999,124.488,123.649,124.452
1781740800000,124.452,125.097,124.342,124.453
1781744400000,124.453,125.055,124.411,124.604
1781748000000,124.604,124.932,124.546,124.706
1781751600000,124.706,125.158,124.463,125.113
1781755200000,125.113,130.045,124.146,129.932
1781758800000,129.932,130.078,127.595,128.329
1781762400000,128.329,129.542,127.961,129.451
1781766000000,129.451,129.866,128.215,129.755
1781769600000,129.755,133.049,128.964,132.207
1781773200000,132.207,132.76,131.814,131.925
1781776800000,131.925,132.31,131.056,131.372
1781780400000,131.372,133.281,130.662,132.96
1781784000000,132.96,132.96,131.242,131.759
1781787600000,131.759,135.517,129.26,129.698
1781791200000,129.698,131.367,128,130.986
1781794800000,130.986,133.257,130.161,133.075
1781798400000,133.075,134.357,131.904,134.012
1781802000000,134.012,134.633,133.022,133.167
1781805600000,133.167,135.321,133.117,133.989
1781809200000,133.989,134.722,131.747,134.003
1781812800000,134.003,134.905,133.636,134.25
1781816400000,134.25,134.588,133.505,134.114
1781820000000,134.114,134.495,133.649,133.932
1781823600000,133.932,134.382,133.899,134.337
1781827200000,134.337,134.547,133.62,134.026
1781830800000,134.026,137.336,133.986,137.336
1781834400000,137.336,138.212,136.964,137.571
1781838000000,137.571,137.713,131.94,133.238
1781841600000,133.238,133.246,131.327,131.985
1781845200000,131.985,132.343,131.03,132.245
1781848800000,132.245,132.971,132.1,132.869
1781852400000,132.869,133.609,132.728,133.598
1781856000000,133.598,134.78,133.309,134.752
1781859600000,134.752,135.084,134.387,134.771
1781863200000,134.771,134.937,133.49,133.49
1781866800000,133.49,133.916,133.181,133.57
1781870400000,133.57,133.84,132.782,133.84
1781874000000,133.84,134.521,133.682,134.156
1781877600000,134.156,134.897,133.7,133.933
1781881200000,133.933,133.966,132.392,132.669
1781884800000,132.669,133.032,132.479,132.664
1781888400000,132.664,133.239,132.647,133.165
1781892000000,133.165,133.165,132.801,132.804
1781895600000,132.804,133.117,132.675,132.682
1781899200000,132.682,133.025,132.638,132.787
1781902800000,132.787,133.318,132.78,132.78
1781906400000,132.78,133.929,132.74,133.929
1781910000000,133.929,134.289,133.718,134.289
1781913600000,134.289,134.47,133.776,134.456
1781917200000,134.456,134.462,134.082,134.283
1781920800000,134.283,136.945,134.217,136.111
1781924400000,136.111,136.73,135.211,136.73
1781928000000,136.73,137.501,136.651,136.892
1781931600000,136.892,138.069,136.815,137.715
1781935200000,137.715,138.022,137.339,137.957
1781938800000,137.957,138.484,137.764,138.207
1781942400000,138.207,138.918,138.071,138.126
1781946000000,138.126,138.192,137.363,138.181
1781949600000,138.181,138.273,138.083,138.149
1781953200000,138.149,138.191,137.01,137.667
