t,o,h,l,c
1788526800000,41.664,42.744,41.56,42.604
1788530400000,42.604,43.314,42.174,43.064
1788534000000,43.064,43.564,43.017,43.354
1788537600000,43.354,43.885,43.35,43.83
1788541200000,43.83,43.977,43.584,43.794
1788544800000,43.794,44.064,43.617,43.688
1788548400000,43.688,44.744,43.688,44.67
1788552000000,44.67,44.715,44.349,44.355
1788555600000,44.355,44.425,44.226,44.377
1788559200000,44.377,44.38,44.218,44.256
1788562800000,44.256,44.444,44.244,44.424
1788566400000,44.424,44.424,44.183,44.183
1788570000000,44.183,44.204,44.145,44.158
1788573600000,44.158,44.238,44.109,44.223
1788577200000,44.223,44.224,43.851,43.915
1788580800000,43.915,43.938,43.862,43.924
1788584400000,43.924,43.925,43.505,43.544
1788588000000,43.544,43.619,43.537,43.556
1788591600000,43.556,43.583,43.538,43.583
1788595200000,43.583,43.584,43.512,43.519
1788598800000,43.519,43.597,43.515,43.575
1788602400000,43.575,43.575,43.549,43.567
1788606000000,43.567,43.574,43.455,43.455
1788609600000,43.455,43.486,43.454,43.485
1788613200000,43.485,43.62,43.485,43.49
1788616800000,43.49,43.581,43.477,43.581
1788620400000,43.581,43.631,43.581,43.628
1788624000000,43.628,43.735,43.582,43.733
1788627600000,43.733,43.778,43.711,43.764
1788631200000,43.764,43.777,43.755,43.775
1788634800000,43.775,43.781,43.755,43.758
1788638400000,43.758,43.815,43.66,43.67
1788642000000,43.67,43.77,43.666,43.77
1788645600000,43.77,43.859,43.77,43.855
1788649200000,43.855,43.889,43.846,43.887
1788652800000,43.887,43.962,43.887,43.957
1788656400000,43.957,44.023,43.957,43.98
1788660000000,43.98,44.046,43.98,44.046
1788663600000,44.046,44.064,44.04,44.056
1788667200000,44.056,44.056,44.004,44.033
1788670800000,44.033,44.177,44.033,44.174
1788674400000,44.174,44.189,44.134,44.143
1788678000000,44.143,44.224,44.143,44.204
1788681600000,44.204,44.267,44.156,44.252
1788685200000,44.252,44.301,44.236,44.254
1788688800000,44.254,44.329,44.238,44.304
1788692400000,44.304,44.316,44.191,44.198
1788696000000,44.198,44.265,44.19,44.263
