t,o,h,l,c
1788526800000,14.679,14.894,14.625,14.874
1788530400000,14.874,14.945,14.609,14.664
1788534000000,14.664,14.845,14.664,14.766
1788537600000,14.766,14.856,14.747,14.834
1788541200000,14.834,14.836,14.749,14.796
1788544800000,14.796,14.82,14.768,14.791
1788548400000,14.791,14.843,14.693,14.841
1788552000000,14.841,14.891,14.823,14.865
1788555600000,14.865,14.904,14.865,14.896
1788559200000,14.896,14.914,14.888,14.904
1788562800000,14.904,14.914,14.878,14.898
1788566400000,14.898,14.939,14.898,14.932
1788570000000,14.932,14.943,14.932,14.934
1788573600000,14.934,14.936,14.884,14.885
1788577200000,14.885,14.923,14.877,14.921
1788580800000,14.921,14.941,14.916,14.941
1788584400000,14.941,14.942,14.94,14.941
1788588000000,14.941,14.941,14.94,14.94
1788591600000,14.94,14.941,14.94,14.941
1788595200000,14.941,14.941,14.94,14.94
1788598800000,14.94,14.942,14.939,14.94
1788602400000,14.94,14.942,14.935,14.936
1788606000000,14.936,14.944,14.903,14.929
1788609600000,14.929,14.936,14.829,14.878
1788613200000,14.878,14.878,14.829,14.856
1788616800000,14.856,14.881,14.856,14.881
1788620400000,14.881,14.881,14.874,14.876
1788624000000,14.876,14.931,14.855,14.878
1788627600000,14.878,14.888,14.878,14.885
1788631200000,14.885,14.888,14.861,14.879
1788634800000,14.879,14.883,14.855,14.874
1788638400000,14.874,14.882,14.865,14.879
1788642000000,14.879,14.879,14.869,14.87
1788645600000,14.87,14.9,14.869,14.895
1788649200000,14.895,14.896,14.88,14.885
1788652800000,14.885,14.885,14.87,14.88
1788656400000,14.88,14.9,14.879,14.881
1788660000000,14.881,14.89,14.878,14.889
1788663600000,14.889,14.891,14.888,14.889
1788667200000,14.889,14.898,14.87,14.884
1788670800000,14.884,14.911,14.882,14.894
1788674400000,14.894,14.901,14.878,14.879
1788678000000,14.879,14.893,14.878,14.882
1788681600000,14.882,14.901,14.875,14.89
1788685200000,14.89,14.896,14.888,14.891
1788688800000,14.891,14.932,14.889,14.932
1788692400000,14.932,14.937,14.925,14.926
1788696000000,14.926,14.926,14.923,14.924
