t,o,h,l,c
1781848800000,573.64,574.21,573.12,573.15
1781852400000,573.15,575.44,571.86,575.44
1781856000000,575.44,576.71,575.44,576.48
1781859600000,576.48,576.87,576.47,576.47
1781863200000,576.47,577.48,575.35,575.87
1781866800000,575.87,575.99,574.61,575.89
1781870400000,575.89,576.32,574.86,576.32
1781874000000,576.32,576.74,576.02,576.36
1781877600000,576.36,577.76,575.86,577.76
1781881200000,577.76,577.86,576.47,577.59
1781884800000,577.59,578.38,577.47,577.73
1781888400000,577.73,578.23,577.73,577.76
1781892000000,577.76,577.76,576.88,576.97
1781895600000,576.97,576.97,575.59,575.62
1781899200000,575.62,576.14,575.57,575.99
1781902800000,575.99,575.99,575.34,575.46
1781906400000,575.46,576.26,575.28,576.18
1781910000000,576.18,577.6,575.26,577.53
1781913600000,577.53,577.53,575.83,576.13
1781917200000,576.13,576.23,575.59,575.93
1781920800000,575.93,576.03,575.55,575.92
1781924400000,575.92,576.26,575.57,576.26
1781928000000,576.26,576.48,576.16,576.46
1781931600000,576.46,577.2,576.35,576.9
1781935200000,576.9,577.22,576.9,576.97
1781938800000,576.97,577.01,575.99,576.11
1781942400000,576.11,576.41,575.48,575.71
1781946000000,575.71,576.24,575.71,576.13
1781949600000,576.13,576.14,575.86,575.91
1781953200000,575.91,576.28,575.82,576.03
1781956800000,576.03,576.08,575.7,575.7
1781960400000,575.7,576.84,575.29,576.8
1781964000000,576.8,576.85,574.68,576.35
1781967600000,576.35,576.44,575.06,575.06
1781971200000,575.06,575.06,574.37,574.62
1781974800000,574.62,574.62,574.09,574.54
1781978400000,574.54,574.97,574.15,574.92
1781982000000,574.92,575.25,574.8,574.83
1781985600000,574.83,575.25,574.82,575
1781989200000,575,575.74,574.99,575.74
1781992800000,575.74,575.81,575.37,575.72
1781996400000,575.72,575.93,575.5,575.5
1782000000000,575.5,575.8,574.62,574.62
1782003600000,574.62,575.42,574.31,575.25
1782007200000,575.25,575.65,575.25,575.65
1782010800000,575.65,576.09,575.6,576.05
1782014400000,576.05,576.15,575.69,575.81
1782018000000,575.81,576.31,575.62,576.31
1782021600000,576.31,576.48,575.92,575.99
1782025200000,575.99,576.37,575.67,575.67
1782028800000,575.67,575.75,574.93,574.97
1782032400000,574.97,575.59,574.74,575.44
1782036000000,575.44,575.6,575.02,575.02
1782039600000,575.02,575.63,574.78,575.2
1782043200000,575.2,575.79,575.2,575.79
1782046800000,575.79,576.22,575.79,576.05
1782050400000,576.05,576.13,575.95,576.13
1782054000000,576.13,576.23,575.77,576.05
1782057600000,576.05,576.06,575.57,575.89
1782061200000,575.89,576.01,575.75,575.82
1782064800000,575.82,575.84,575.67,575.79
1782068400000,575.79,576.11,575.71,575.77
1782072000000,575.77,575.79,574.77,574.77
1782075600000,574.77,575.16,573.72,574.51
1782079200000,574.51,574.51,570.4,571.39
1782082800000,571.39,571.39,569.71,569.96
1782086400000,569.96,574.08,569.96,573.93
1782090000000,573.93,574.86,573.68,573.72
1782093600000,573.72,573.77,573.03,573.3
1782097200000,573.3,573.75,573.13,573.28
1782100800000,573.28,573.76,572.68,573.75
1782104400000,573.75,574.7,573.6,574.52
1782108000000,574.52,575.92,574.4,575.82
1782111600000,575.82,576.97,575.57,575.97
1782115200000,575.97,576.16,574.46,575.76
1782118800000,575.76,575.8,574.5,574.66
1782122400000,574.66,575.59,572.86,573.09
1782126000000,573.09,573.79,571.55,573.53
1782129600000,573.53,575.01,573.42,574
1782133200000,574,575.85,567.81,574.95
1782136800000,574.95,575.41,561.59,562.73
1782140400000,562.73,564.66,560.09,562.81
1782144000000,562.81,563.16,560.63,562.29
1782147600000,562.29,564.56,561.62,564.11
1782151200000,564.11,566.26,563.67,565.13
1782154800000,565.13,566.09,563.72,564.03
1782158400000,564.03,564.42,562.14,562.51
1782162000000,562.51,563.76,562.51,563.59
1782165600000,563.59,563.96,562.37,562.97
1782169200000,562.97,563.13,562.35,562.93
1782172800000,562.93,564.5,562.43,564.02
1782176400000,564.02,564.38,562.7,563.56
1782180000000,563.56,564.83,562.92,564.65
1782183600000,564.65,566.89,563.82,565.63
1782187200000,565.63,565.68,562.26,562.46
1782190800000,562.46,562.96,560.62,561.46
1782194400000,561.46,562.97,560.26,560.52
1782198000000,560.52,561.21,559.39,559.81
1782201600000,559.81,561.77,558.46,559.55
1782205200000,559.55,560.29,557.86,559.26
1782208800000,559.26,560.63,559.07,560.27
1782212400000,560.27,560.56,559.67,559.97
1782216000000,559.97,560.11,557.93,559.26
1782219600000,559.26,572.38,558.59,572.05
1782223200000,572.05,572.05,565.85,566.03
1782226800000,566.03,566.28,562.67,564.54
1782230400000,564.54,568.97,563.56,566.8
1782234000000,566.8,568.06,564.55,565.07
1782237600000,565.07,565.29,561.9,562.99
1782241200000,562.99,564.51,562.32,562.69
1782244800000,562.69,563.68,562.53,563.37
1782248400000,563.37,563.63,562.77,562.97
