t,o,h,l,c
1781499600000,398.95,398.95,397.34,397.59
1781503200000,397.59,397.97,397.28,397.8
1781506800000,397.8,399.75,397.67,398.87
1781510400000,398.87,399.82,398.25,398.39
1781514000000,398.39,398.54,397.03,397.89
1781517600000,397.89,398.03,396.86,396.9
1781521200000,396.9,397.79,395.12,397.66
1781524800000,397.66,397.7,396.16,396.65
1781528400000,396.65,398.87,393.44,398.64
1781532000000,398.64,399.85,397.53,398.34
1781535600000,398.34,401.17,397.64,401.1
1781539200000,401.1,402.04,399,399.46
1781542800000,399.46,400.19,399.19,399.61
1781546400000,399.61,399.83,398.52,398.85
1781550000000,398.85,400.81,398.6,400.02
1781553600000,400.02,400.42,399.65,399.88
1781557200000,399.88,400.04,399.76,399.98
1781560800000,399.98,400.01,399.16,399.51
1781564400000,399.51,399.64,399.3,399.62
1781568000000,399.62,400.51,399.33,400.45
1781571600000,400.45,400.48,399.73,399.86
1781575200000,399.86,399.98,399.39,399.45
1781578800000,399.45,400.11,399.42,399.67
1781582400000,399.67,399.74,398.97,399.12
1781586000000,399.12,399.87,399.07,399.56
1781589600000,399.56,400.33,399.54,400.26
1781593200000,400.26,400.78,400.19,400.71
1781596800000,400.71,401.34,399.67,400.1
1781600400000,400.1,400.4,399.56,399.74
1781604000000,399.74,399.88,395.99,398.51
1781607600000,398.51,398.51,395.94,396.67
1781611200000,396.67,397.79,396.54,397.6
1781614800000,397.6,398.32,391.37,394.94
1781618400000,394.94,395.66,392.31,394.01
1781622000000,394.01,394.7,393.16,393.2
1781625600000,393.2,393.28,391.79,392.05
1781629200000,392.05,392.3,391.03,391.6
1781632800000,391.6,393.77,391.23,393.45
1781636400000,393.45,394.45,392.51,394.16
1781640000000,394.16,394.16,392.96,393.16
1781643600000,393.16,393.29,392.92,393.1
1781647200000,393.1,393.18,392.74,392.96
1781650800000,392.96,393.4,392.76,393.24
1781654400000,393.24,393.82,392.82,393.34
1781658000000,393.34,393.91,393.18,393.88
1781661600000,393.88,394.2,393.7,393.86
1781665200000,393.86,394.37,393.7,394.34
1781668800000,394.34,394.73,394.34,394.51
1781672400000,394.51,394.86,394.31,394.49
1781676000000,394.49,394.57,394.25,394.38
1781679600000,394.38,394.62,393.96,394.15
1781683200000,394.15,394.4,392.83,393.23
1781686800000,393.23,393.27,392.36,392.54
1781690400000,392.54,392.71,392,392.42
1781694000000,392.42,392.68,391.95,392.09
1781697600000,392.09,392.27,391.33,391.35
1781701200000,391.35,391.39,387.08,390.07
1781704800000,390.07,390.16,384.96,385.14
1781708400000,385.14,386.87,385.07,385.69
1781712000000,385.69,386.31,384.38,384.45
1781715600000,384.45,386.29,383.97,386.03
1781719200000,386.03,386.06,381.63,382.13
1781722800000,382.13,382.75,377.66,379.24
1781726400000,379.24,380.78,379.12,380.66
1781730000000,380.66,381.37,380.27,381.1
1781733600000,381.1,382.48,380.99,382.07
1781737200000,382.07,382.74,381.94,382.74
1781740800000,382.74,383.89,381.07,383.24
1781744400000,383.24,383.58,382.69,382.71
1781748000000,382.71,383.3,382.64,383.16
1781751600000,383.16,383.36,382.45,382.71
1781755200000,382.71,382.78,380.99,381.19
1781758800000,381.19,382.31,381.03,382.21
1781762400000,382.21,382.99,382,382.95
1781766000000,382.95,383.09,382.38,382.56
1781769600000,382.56,383.15,381.27,381.29
1781773200000,381.29,381.65,381.26,381.47
1781776800000,381.47,383.16,379.99,380.5
1781780400000,380.5,380.56,377.65,377.8
1781784000000,377.8,379.72,377.24,379.26
1781787600000,379.26,381.17,373.65,376.48
1781791200000,376.48,379.9,375.7,376.96
1781794800000,376.96,378.28,375.15,378.15
1781798400000,378.15,379.98,376.89,379.93
1781802000000,379.93,381.75,379.63,380.15
1781805600000,380.15,380.16,377.76,378.18
1781809200000,378.18,380.7,377.43,379.55
1781812800000,379.55,380.65,379.55,380.21
1781816400000,380.21,380.36,379.92,379.95
1781820000000,379.95,379.95,378.9,379.04
1781823600000,379.04,379.5,378.91,379.44
1781827200000,379.44,380.68,379.37,380.55
1781830800000,380.55,380.6,379.33,379.33
1781834400000,379.33,379.33,377.8,377.8
1781838000000,377.8,378.01,377.67,377.88
1781841600000,377.88,380.11,377.21,377.26
1781845200000,377.26,379.91,377.06,379.91
1781848800000,379.91,379.93,379.25,379.51
1781852400000,379.51,381.62,379.47,380.77
1781856000000,380.77,381.48,380.61,380.77
1781859600000,380.77,381.09,380.19,380.46
1781863200000,380.46,380.56,380,380.41
1781866800000,380.41,380.68,380.22,380.55
1781870400000,380.55,381.15,379.96,380.99
1781874000000,380.99,381.04,380.19,380.36
1781877600000,380.36,380.84,380,380.77
1781881200000,380.77,381.32,380.67,381.32
1781884800000,381.32,381.36,380.33,380.33
1781888400000,380.33,380.82,380.02,380.72
1781892000000,380.72,381.44,380.72,381.42
1781895600000,381.42,381.42,381.08,381.1
1781899200000,381.1,381.48,381.1,381.28
1781902800000,381.28,381.28,380.8,381.03
1781906400000,381.03,381.5,380.7,381.44
1781910000000,381.44,382.24,381.16,382.13
1781913600000,382.13,382.27,381.74,381.74
1781917200000,381.74,381.83,381.36,381.43
1781920800000,381.43,381.95,381.3,381.94
1781924400000,381.94,381.94,381.6,381.77
1781928000000,381.77,382.08,381.75,382.08
1781931600000,382.08,382.23,381.92,382.16
1781935200000,382.16,382.66,382.08,382.64
1781938800000,382.64,382.65,381.66,381.7
1781942400000,381.7,381.92,381.33,381.49
1781946000000,381.49,381.88,381.49,381.88
1781949600000,381.88,381.98,381.62,381.72
1781953200000,381.72,381.86,381.4,381.4
1781956800000,381.4,381.64,381.37,381.44
1781960400000,381.44,381.44,380.32,380.8
1781964000000,380.8,380.89,380.18,380.89
1781967600000,380.89,381.37,380.45,380.58
1781971200000,380.58,380.89,380.47,380.89
1781974800000,380.89,380.89,380.6,380.69
1781978400000,380.69,380.69,380.23,380.23
1781982000000,380.23,380.23,379.74,379.84
1781985600000,379.84,380.49,379.84,380.43
1781989200000,380.43,380.62,380.03,380.49
1781992800000,380.49,380.6,380.19,380.23
1781996400000,380.23,380.43,380.1,380.42
1782000000000,380.42,380.86,380.16,380.86
1782003600000,380.86,380.92,380.15,380.75
1782007200000,380.75,380.8,380.61,380.77
1782010800000,380.77,381.09,380.76,380.84
1782014400000,380.84,381.04,380.76,380.99
1782018000000,380.99,381.34,380.77,381.34
1782021600000,381.34,381.52,380.94,381.23
1782025200000,381.23,381.27,380.73,380.73
1782028800000,380.73,380.75,380.08,380.51
1782032400000,380.51,381.07,380.46,381.06
1782036000000,381.06,381.57,380.9,381.56
1782039600000,381.56,381.57,381.24,381.27
1782043200000,381.27,381.37,381.22,381.37
1782046800000,381.37,381.45,381.19,381.24
1782050400000,381.24,381.27,380.14,380.4
1782054000000,380.4,381.06,380.4,381.03
1782057600000,381.03,381.17,381.03,381.13
1782061200000,381.13,381.14,380.77,380.83
1782064800000,380.83,381.1,380.8,381.09
1782068400000,381.09,381.13,380.96,380.99
1782072000000,380.99,381.02,380.52,380.6
1782075600000,380.6,380.94,380.25,380.31
1782079200000,380.31,380.31,379.57,379.86
1782082800000,379.86,379.86,378.12,378.13
1782086400000,378.13,379.54,377.39,378.04
1782090000000,378.04,378.6,377.46,378
