t,o,h,l,c
1781499600000,1032.38,1033.74,1030.62,1031.75
1781503200000,1031.75,1036,1030.13,1035.22
1781506800000,1035.22,1036.5,1034.22,1034.78
1781510400000,1034.78,1067.65,1034.53,1059.98
1781514000000,1059.98,1061.62,1048.65,1055.7
1781517600000,1055.7,1062.19,1053.57,1055.64
1781521200000,1055.64,1067.35,1054.18,1058.17
1781524800000,1058.17,1066.1,1057.59,1058.99
1781528400000,1058.99,1077.52,1053.29,1055.28
1781532000000,1055.28,1072.17,1053.71,1067.72
1781535600000,1067.72,1077.78,1066.69,1070.4
1781539200000,1070.4,1081.18,1070.16,1074.4
1781542800000,1074.4,1079.65,1068.88,1076.2
1781546400000,1076.2,1097.1,1074.12,1087.96
1781550000000,1087.96,1091.65,1077.64,1087.84
1781553600000,1087.84,1088.65,1078.18,1080.28
1781557200000,1080.28,1085.87,1079.03,1085.5
1781560800000,1085.5,1086.28,1079.62,1081.33
1781564400000,1081.33,1084.71,1078.94,1083.9
1781568000000,1083.9,1084.72,1066.38,1066.62
1781571600000,1066.62,1073.41,1057.53,1068.61
1781575200000,1068.61,1071.89,1064.73,1070.97
1781578800000,1070.97,1084.71,1069.46,1082.25
1781582400000,1082.25,1089,1080.38,1085.41
1781586000000,1085.41,1087.18,1076.72,1077.44
1781589600000,1077.44,1084.25,1076.55,1083.16
1781593200000,1083.16,1084.19,1079.75,1082.38
1781596800000,1082.38,1132.22,1082.24,1129.19
1781600400000,1129.19,1129.99,1117.23,1117.61
1781604000000,1117.61,1129.24,1117.61,1123.66
1781607600000,1123.66,1134.22,1118.67,1121.82
1781611200000,1121.82,1125.51,1095.12,1101.13
1781614800000,1101.13,1110.42,1085.43,1088.96
1781618400000,1088.96,1093.17,1056.54,1061.89
1781622000000,1061.89,1066.58,1021,1040.55
1781625600000,1040.55,1058.14,1040.55,1049.33
1781629200000,1049.33,1053.98,1037.74,1049.04
1781632800000,1049.04,1051.81,1031.44,1034.69
1781636400000,1034.69,1044.31,1021.26,1021.6
1781640000000,1021.6,1032.43,1021.31,1030.76
1781643600000,1030.76,1039.41,1029.44,1037.17
1781647200000,1037.17,1041.92,1035.75,1037.85
1781650800000,1037.85,1038.58,1033.28,1033.86
1781654400000,1033.86,1053.68,1033.32,1046.22
1781658000000,1046.22,1049.82,1039.58,1046.27
1781661600000,1046.27,1052.95,1044.89,1049.46
1781665200000,1049.46,1050.45,1044.42,1049.3
1781668800000,1049.3,1057.18,1049.3,1054.94
1781672400000,1054.94,1071,1054.35,1066.95
1781676000000,1066.95,1069.48,1062.06,1066.63
1781679600000,1066.63,1075.19,1066.19,1070.67
1781683200000,1070.67,1075.89,1049.76,1058.67
1781686800000,1058.67,1063.67,1050.73,1053.41
1781690400000,1053.41,1059.24,1047.4,1053.34
1781694000000,1053.34,1061.06,1044.25,1048.11
1781697600000,1048.11,1061.52,1046.17,1055.75
1781701200000,1055.75,1063.46,1022.05,1022.71
1781704800000,1022.71,1044.79,1014.94,1035.81
1781708400000,1035.81,1059.39,1034.37,1058.97
1781712000000,1058.97,1062.43,1053.77,1057.14
1781715600000,1057.14,1072.82,1052.96,1067.04
1781719200000,1067.04,1091.42,1035.69,1075.76
1781722800000,1075.76,1094.16,1042.59,1044.69
1781726400000,1044.69,1061.8,1043.63,1060.48
1781730000000,1060.48,1069.96,1057.5,1062.02
1781733600000,1062.02,1073.35,1058.27,1072.75
1781737200000,1072.75,1085.15,1072.43,1078.27
1781740800000,1078.27,1085.99,1076.54,1077.84
1781744400000,1077.84,1082.35,1076.21,1077.78
1781748000000,1077.78,1081.76,1076.97,1079.2
1781751600000,1079.2,1087.66,1078.84,1085.75
1781755200000,1085.75,1087.08,1076.32,1082.11
1781758800000,1082.11,1086.68,1078.51,1085.96
1781762400000,1085.96,1088.04,1082.79,1085.43
1781766000000,1085.43,1087.86,1082.98,1087.41
1781769600000,1087.41,1095.49,1085.39,1087.21
1781773200000,1087.21,1093.96,1086.51,1093.26
1781776800000,1093.26,1093.88,1086.27,1086.86
1781780400000,1086.86,1097.18,1086.86,1093.01
1781784000000,1093.01,1099.54,1088.96,1097.9
1781787600000,1097.9,1116.51,1094.15,1106.71
1781791200000,1106.71,1129.7,1104.97,1128.56
1781794800000,1128.56,1133.26,1117.57,1125.18
1781798400000,1125.18,1131.94,1122.61,1128.92
1781802000000,1128.92,1138.89,1125.17,1136.68
1781805600000,1136.68,1146.46,1136.68,1141.83
1781809200000,1141.83,1150.99,1131.85,1136.07
1781812800000,1136.07,1147.21,1135.49,1143.54
1781816400000,1143.54,1154.83,1143.25,1152.25
1781820000000,1152.25,1155.31,1143.73,1146.25
1781823600000,1146.25,1152.27,1145.92,1151.5
1781827200000,1151.5,1153.67,1147.43,1150.54
1781830800000,1150.54,1150.61,1141.49,1142.59
1781834400000,1142.59,1142.59,1130.52,1138.62
1781838000000,1138.62,1139.42,1119.27,1119.93
1781841600000,1119.93,1124.58,1112.46,1114.79
1781845200000,1114.79,1115.48,1106.82,1113.8
1781848800000,1113.8,1121.88,1110.23,1121.88
1781852400000,1121.88,1125.11,1114.65,1120.23
1781856000000,1120.23,1126.62,1118.03,1126.52
1781859600000,1126.52,1127.16,1119.36,1120.09
1781863200000,1120.09,1120.22,1106.09,1109.55
1781866800000,1109.55,1117.57,1108.02,1114.92
1781870400000,1114.92,1120.62,1109.61,1120.62
1781874000000,1120.62,1121.53,1112.78,1116.74
1781877600000,1116.74,1120.45,1116.11,1120.2
1781881200000,1120.2,1122.19,1119.01,1120.21
1781884800000,1120.21,1126.07,1119.59,1120.99
1781888400000,1120.99,1123.18,1120.38,1122
1781892000000,1122,1122.65,1119.65,1120.49
1781895600000,1120.49,1123.54,1120.49,1122.28
1781899200000,1122.28,1126.81,1121.84,1126.81
1781902800000,1126.81,1130.74,1126.59,1130.45
1781906400000,1130.45,1130.59,1125.33,1129.79
1781910000000,1129.79,1137.12,1129.69,1133.2
1781913600000,1133.2,1134.9,1132.82,1133.11
1781917200000,1133.11,1133.11,1127.97,1130.35
1781920800000,1130.35,1135.7,1130.35,1135.46
1781924400000,1135.46,1139.36,1135.03,1138.47
1781928000000,1138.47,1143.79,1138.47,1143.79
1781931600000,1143.79,1147.39,1142.14,1145.78
1781935200000,1145.78,1153.21,1144.44,1153.17
1781938800000,1153.17,1153.35,1139.52,1142.17
1781942400000,1142.17,1149.37,1142.17,1147.12
1781946000000,1147.12,1147.86,1133.93,1138.2
1781949600000,1138.2,1142.14,1134.64,1135.95
1781953200000,1135.95,1141.46,1134.83,1141.46
1781956800000,1141.46,1142.07,1136.33,1138.82
1781960400000,1138.82,1140.84,1131.47,1132.08
1781964000000,1132.08,1140.98,1130.78,1140
1781967600000,1140,1141.06,1137.2,1137.34
1781971200000,1137.34,1139.18,1135.82,1137.47
1781974800000,1137.47,1137.65,1133.82,1134.31
1781978400000,1134.31,1134.42,1132.88,1133.63
1781982000000,1133.63,1135.93,1133.57,1134.13
1781985600000,1134.13,1138.3,1134.13,1138.16
1781989200000,1138.16,1138.16,1134.43,1137.02
1781992800000,1137.02,1137.19,1133.7,1136.91
1781996400000,1136.91,1140.04,1136.74,1138.89
1782000000000,1138.89,1138.95,1133.73,1135.59
1782003600000,1135.59,1141.09,1135.59,1141.01
1782007200000,1141.01,1141.94,1140.03,1140.19
1782010800000,1140.19,1146.31,1139.84,1144.94
1782014400000,1144.94,1146.5,1144.03,1146.07
1782018000000,1146.07,1147.8,1143.7,1147.8
1782021600000,1147.8,1150.49,1145.5,1145.7
1782025200000,1145.7,1149.74,1145.69,1148.82
1782028800000,1148.82,1150.69,1145.51,1145.91
1782032400000,1145.91,1147.88,1143.47,1144.4
1782036000000,1144.4,1148.49,1142.21,1147.1
1782039600000,1147.1,1147.45,1144.55,1145.89
1782043200000,1145.89,1146.46,1143.47,1144.87
1782046800000,1144.87,1145.9,1139.73,1141.39
1782050400000,1141.39,1145.25,1141.39,1143.58
1782054000000,1143.58,1149.71,1143.58,1147.74
1782057600000,1147.74,1148.99,1146,1147.71
1782061200000,1147.71,1148.53,1145.83,1147
1782064800000,1147,1147,1143.08,1143.93
1782068400000,1143.93,1144.44,1141.14,1143.14
1782072000000,1143.14,1144.75,1140.53,1140.55
1782075600000,1140.55,1146.2,1140.19,1145.47
1782079200000,1145.47,1146.59,1140.31,1141.36
1782082800000,1141.36,1141.36,1123.43,1125.45
1782086400000,1125.45,1153.02,1119.33,1152.87
1782090000000,1152.87,1174.7,1149.18,1164.05
1782093600000,1164.05,1168.7,1161.05,1163.47
1782097200000,1163.47,1165.79,1156.33,1162.18
1782100800000,1162.18,1165.06,1143.49,1154.77
1782104400000,1154.77,1160.7,1153.31,1158.47
1782108000000,1158.47,1170.15,1158.31,1169.96
1782111600000,1169.96,1172.35,1166.33,1167.94
1782115200000,1167.94,1172.97,1162.51,1172.19
1782118800000,1172.19,1173.68,1169.9,1170.42
1782122400000,1170.42,1184.96,1170.42,1181.75
1782126000000,1181.75,1192.49,1180.84,1183.71
1782129600000,1183.71,1190.7,1180.85,1185.46
1782133200000,1185.46,1205.26,1171.02,1183.57
1782136800000,1183.57,1196.99,1178.57,1190.99
1782140400000,1190.99,1194.68,1173.03,1180.27
1782144000000,1180.27,1201.46,1179.63,1192.65
1782147600000,1192.65,1202.05,1188.13,1198.63
1782151200000,1198.63,1202.95,1187.07,1190.96
1782154800000,1190.96,1212.94,1188.71,1212.94
1782158400000,1212.94,1246.29,1208.65,1246.02
1782162000000,1246.02,1246.29,1231.48,1237.28
1782165600000,1237.28,1242.09,1224.66,1230.67
1782169200000,1230.67,1231.83,1225.65,1230.45
1782172800000,1230.45,1236.18,1165.4,1206.62
1782176400000,1206.62,1209.7,1174.57,1178.6
1782180000000,1178.6,1188.17,1169.4,1173.78
1782183600000,1173.78,1175.75,1146.65,1175.53
1782187200000,1175.53,1181.85,1152.72,1158.88
1782190800000,1158.88,1163.17,1105.25,1106.01
1782194400000,1106.01,1137.19,1102.89,1128.28
1782198000000,1128.28,1156.89,1120.16,1121.25
1782201600000,1121.25,1126.2,1088.9,1107.06
1782205200000,1107.06,1127.34,1107.06,1117.71
1782208800000,1117.71,1121.83,1096.56,1112.83
1782212400000,1112.83,1137.62,1112.75,1134.32
1782216000000,1134.32,1143.83,1094.56,1097.69
1782219600000,1097.69,1099.89,1055.96,1092.17
1782223200000,1092.17,1125.6,1082.61,1089.9
1782226800000,1089.9,1095.97,1073.69,1082.66
1782230400000,1082.66,1097.6,1076.93,1079.41
1782234000000,1079.41,1081.21,1056.77,1056.92
1782237600000,1056.92,1061.73,1039.17,1047.08
1782241200000,1047.08,1060.84,1044.87,1051.9
1782244800000,1051.9,1071.39,1049.99,1061.1
1782248400000,1061.1,1081.74,1060.5,1078.33
1782252000000,1078.33,1087.61,1064.03,1064.29
1782255600000,1064.29,1070.38,1052.64,1065
1782259200000,1065,1116.03,1065,1098.65
1782262800000,1098.65,1104.68,1083.33,1102.33
1782266400000,1102.33,1102.33,1058.35,1059.95
1782270000000,1059.95,1081.41,1059.57,1076.28
1782273600000,1076.28,1076.87,1059.37,1076.03
1782277200000,1076.03,1099.85,1075.72,1086.11
1782280800000,1086.11,1095.89,1083.23,1090.42
1782284400000,1090.42,1091.56,1081.66,1082.49
1782288000000,1082.49,1107.09,1082.49,1095.81
1782291600000,1095.81,1097.69,1085.59,1092.3
1782295200000,1092.3,1095.69,1086.88,1088.08
1782298800000,1088.08,1103.53,1080.14,1102.44
1782302400000,1102.44,1105.66,1087.57,1088.86
1782306000000,1088.86,1094.36,1033.29,1046.63
1782309600000,1046.63,1058.99,1031.94,1052.34
1782313200000,1052.34,1054.9,1030.81,1043.65
1782316800000,1043.65,1050.17,1037.16,1038.46
1782320400000,1038.46,1044.19,1015.27,1016.4
1782324000000,1016.4,1035.6,1012.89,1014.7
1782327600000,1014.7,1049,993.92,1048.02
1782331200000,1048.02,1217.5,1033.91,1200.65
1782334800000,1200.65,1205.27,1164.88,1191.37
1782338400000,1191.37,1209.25,1185.04,1200.54
1782342000000,1200.54,1221.4,1200.54,1215.06
1782345600000,1215.06,1225.57,1182.15,1192.27
1782349200000,1192.27,1208.94,1191.49,1203.09
1782352800000,1203.09,1210.27,1194.77,1207.15
1782356400000,1207.15,1215.78,1206.42,1214.4
1782360000000,1214.4,1237.04,1213.1,1235.81
1782363600000,1235.81,1251.54,1232.12,1234.55
1782367200000,1234.55,1242.99,1232.91,1238.9
1782370800000,1238.9,1245.12,1234.48,1238.02
1782374400000,1238.02,1238.02,1213.94,1216.34
1782378000000,1216.34,1229.76,1215.6,1217.96
1782381600000,1217.96,1240.53,1217.53,1234.83
1782385200000,1234.83,1246.83,1228.64,1233.26
1782388800000,1233.26,1246.76,1225.56,1243.02
1782392400000,1243.02,1254.42,1139.11,1140.29
1782396000000,1140.29,1184.34,1140.2,1178.31
1782399600000,1178.31,1202.01,1164.61,1194.71
1782403200000,1194.71,1222.58,1194.37,1215.98
